mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	9/16	6/8	3	1	a.i	a	i		i		i							m	1	1	3, 0, 4		3	3	30	49	0.379746835443038	3.0	4.75	0.3870967741935484
7	6	0	0	6/8	3	1	i	a	i		i		i							m	1	1	3, 0, 4		3	3	3	6	0.3333333333333333	0.375	0.75	0.3333333333333333
7	6	3/8	3/8	6/8	3	1	V	a	i		V		V							M	1	1	4, 8, 5		4	4	9	11	0.45	1.125	1.125	0.5
8	7	3/8	3/8	6/8	3	1	i	a	i		i		i							m	1	1	3, 0, 4		3	3	6	12	0.3333333333333333	0.75	1.5	0.3333333333333333
9	8	3/8	3/8	6/8	3	1	iv	a	i		iv		iv							m	1	1	2, -1, 3		2	2	3	3	0.5	0.375	0.375	0.5
9	8	5/8	5/8	6/8	3	1	V6/V	a	i		V6/V		V		6		V			M	1	1	9, 6, 5		5	9	0	3	0.0	0.0	0.375	0.0
10	9	0	0	6/8	3	1	V\\	a	i		V		V						\\	M	1	1	4, 8, 5		4	4	4	23	0.14814814814814814	0.5	3.25	0.13333333333333333
12	11	0	0	6/8	3	1	III.I[I	a	III	I	I		I							M	1	0	0, 4, 1		0	0	0	6	0.0	0.0	1.375	0.0
12	11	3/8	3/8	6/8	3	1	#viio43/i	a	III	I	#viio43/i		#vii	o	43		i			o7	1	0	-1, -4, 5, 2		5	-1	2	6	0.25	0.3125	1.0625	0.22727272727272727
13	12	0	0	6/8	3	1	I]	a	III	I	I		I							M	1	0	0, 4, 1		0	0	0	7	0.0	0.0	1.375	0.0
13	12	3/8	3/8	6/8	3	1	V(64)	a	III		V(64)		V			64				M	1	0	1, 0, 4		1	1	0	8	0.0	0.0	1.25	0.0
14	13	0	0	6/8	3	1	v.iv7	a	v		iv7		iv		7					mm7	1	1	3, 0, 4, 1		3	3	0	8	0.0	0.0	1.25	0.0
14	13	3/8	3/8	6/8	3	1	V(64)	a	v		V(64)		V			64				M	1	1	5, 4, 1		5	5	1	6	0.14285714285714285	0.125	1.0	0.1111111111111111
14	13	5/8	5/8	6/8	3	1	V7	a	v		V7		V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	6	0.0	0.0	0.625	0.0
15	14	0	0	6/8	3	1	i	a	v		i		i							m	1	1	4, 1, 5		4	4	6	17	0.2608695652173913	0.375	2.0625	0.15384615384615385
16	15	0	0	6/8	3	1	VII.viio6	a	VII		viio6		vii	o	6					o	1	0	3, 0, 6		6	3	0	10	0.0	0.0	1.25	0.0
16	15	3/8	3/8	6/8	3	1	I6	a	VII		I6		I		6					M	1	0	5, 2, 1		1	5	1	9	0.1	0.0	1.125	0.0
17	16	0	0	6/8	3	1	viio6	a	VII		viio6		vii	o	6					o	1	0	3, 0, 6		6	3	0	9	0.0	0.0	1.125	0.0
17	16	3/8	3/8	6/8	3	1	I6	a	VII		I6		I		6					M	1	0	5, 2, 1		1	5	0	9	0.0	0.0	1.0625	0.0
18	17	0	0	6/8	3	1	i.#viio6	a	i		#viio6		#vii	o	6					o	1	1	5, 2, 8		8	5	0	9	0.0	0.0	1.125	0.0
18	17	3/8	3/8	6/8	3	1	i6	a	i		i6		i		6					m	1	1	0, 4, 3		3	0	0	9	0.0	0.0	1.125	0.0
19	18	0	0	6/8	3	1	#viio6	a	i		#viio6		#vii	o	6					o	1	1	5, 2, 8		8	5	3	9	0.25	0.1875	0.9375	0.16666666666666666
19	18	3/8	3/8	6/8	3	1	i6	a	i		i6		i		6					m	1	1	0, 4, 3		3	0	0	8	0.0	0.0	1.125	0.0
20	19	0	0	6/8	3	1	iv.V65	a	iv		V65		V		65					Mm7	1	1	7, 4, 1, 3		3	7	1	7	0.125	0.03125	1.75	0.017543859649122806
20	19	3/8	3/8	6/8	3	1	i	a	iv		i		i							m	1	1	2, -1, 3		2	2	2	6	0.25	0.09375	1.6875	0.05263157894736842
21	20	0	0	6/8	3	1	V65/iv	a	iv		V65/iv		V		65		iv			Mm7	1	1	6, 3, 0, 2		2	6	2	8	0.2	0.09375	1.6875	0.05263157894736842
21	20	3/8	3/8	6/8	3	1	iv	a	iv		iv		iv							m	1	1	1, -2, 2		1	1	1	7	0.125	0.03125	1.75	0.017543859649122806
22	21	0	0	6/8	3	1	i6	a	iv		i6		i		6					m	1	1	-1, 3, 2		2	-1	0	8	0.0	0.0	1.25	0.0
22	21	3/8	3/8	6/8	3	1	iv7	a	iv		iv7		iv		7					mm7	1	1	1, -2, 2, -1		1	1	0	8	0.0	0.0	1.25	0.0
