mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	3	1	f#.i				f#	i		i	i							m	1	1	6, 3, 7		6	6	0	9	0.0	0.0	1.0	0.0
1	1	1/4	1/4	3/4	3	1	V43				f#	i		V43	V		43					Mm7	1	1	8, 5, 7, 11		7	8	0	5	0.0	0.0	2.0	0.0
2	2	0	0	3/4	3	1	i				f#	i		i	i							m	1	1	6, 3, 7		6	6	0	9	0.0	0.0	1.0	0.0
2	2	1/4	1/4	3/4	3	1	V43				f#	i		V43	V		43					Mm7	1	1	8, 5, 7, 11		7	8	0	5	0.0	0.0	2.0	0.0
3	3	0	0	3/4	3	1	i				f#	i		i	i							m	1	1	6, 3, 7		6	6	0	8	0.0	0.0	1.0	0.0
3	3	1/4	1/4	3/4	3	1	V(64)				f#	i		V(64)	V			64				M	1	1	7, 6, 3		7	7	0	8	0.0	0.0	1.0	0.0
3	3	1/2	1/2	3/4	3	1	V7				f#	i		V7	V		7					Mm7	1	1	7, 11, 8, 5		7	7	2	12	0.14285714285714285	0.16666666666666666	1.25	0.1176470588235294
4	4	0	0	3/4	3	1	i\\				f#	i		i	i						\\	m	1	1	6, 3, 7		6	6	1	38	0.02564102564102564	0.08333333333333333	11.041666666666666	0.007490636704119849
7	7	0	0	3/4	3	1	V				f#	i		V	V							M	1	1	7, 11, 8		7	7	0	16	0.0	0.0	2.0	0.0
7	7	1/2	1/2	3/4	3	1	V7				f#	i		V7	V		7					Mm7	1	1	7, 11, 8, 5		7	7	0	9	0.0	0.0	1.0	0.0
8	8	0	0	3/4	3	1	i\\				f#	i		i	i						\\	m	1	1	6, 3, 7		6	6	1	38	0.02564102564102564	0.08333333333333333	10.791666666666666	0.007662835249042145
11	11	0	0	3/4	3	1	V(64)				f#	i		V(64)	V			64				M	1	1	7, 6, 3		7	7	2	23	0.08	0.14583333333333334	2.8541666666666665	0.04861111111111111
11	11	1/2	1/2	3/4	3	1	V7				f#	i		V7	V		7					Mm7	1	1	7, 11, 8, 5		7	7	1	14	0.06666666666666667	0.08333333333333333	1.6666666666666667	0.047619047619047616
12	12	0	0	3/4	3	1	V65/iv				f#	i		V65/iv	V		65		iv			Mm7	1	1	10, 7, 4, 6		6	10	0	8	0.0	0.0	4.625	0.0
12	12	1/4	1/4	3/4	3	1	#viio7/iv				f#	i		#viio7/iv	#vii	o	7		iv			o7	1	1	10, 7, 4, 1		10	10	0	4	0.0	0.0	1.25	0.0
13	13	0	0	3/4	3	1	iv				f#	i		iv	iv							m	1	1	5, 2, 6		5	5	1	15	0.0625	0.08333333333333333	1.8541666666666667	0.04301075268817204
13	13	1/4	1/4	3/4	3	1	V(64)				f#	i		V(64)	V			64				M	1	1	7, 6, 3		7	7	1	16	0.058823529411764705	0.08333333333333333	1.9166666666666667	0.041666666666666664
13	13	1/2	1/2	3/4	3	1	V7				f#	i		V7	V		7					Mm7	1	1	7, 11, 8, 5		7	7	1	16	0.058823529411764705	0.08333333333333333	1.9166666666666667	0.041666666666666664
14	14	0	0	3/4	3	1	i\\				f#	i		i	i						\\	m	1	1	6, 3, 7		6	6	0	25	0.0	0.0	6.75	0.0
15	15	1/4	1/4	3/4	3	1	V43				f#	i		V43	V		43					Mm7	1	1	8, 5, 7, 11		7	8	0	9	0.0	0.0	2.0	0.0
