mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	3	1	a.i[i				a	i	i	i	i							m	1	1	3, 0, 4		3	3	4	10	0.2857142857142857	0.125	4.875	0.025
3	3	1/2	1/2	3/4	3	1	V				a	i	i	V	V							M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
4	4	0	0	3/4	3	1	i				a	i	i	i	i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.6875	0.0
4	4	1/4	1/4	3/4	3	1	V	0	-4	/	a	i	i	V	V							M	1	1	4, 8, 5		4	4	0	3	0.0	0.0	1.5	0.0
5	5	0	0	3/4	3	1	i				a	i	i	i	i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.6875	0.0
5	5	1/4	1/4	3/4	3	1	V	0	-4	/	a	i	i	V	V							M	1	1	4, 8, 5		4	4	0	3	0.0	0.0	1.5	0.0
6	6	0	0	3/4	3	1	i				a	i	i	i	i							m	1	1	3, 0, 4		3	3	3	7	0.3	0.25	2.0	0.1111111111111111
7	7	0	0	3/4	3	1	V7				a	i	i	V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	5	0.16666666666666666	0.75	1.3125	0.36363636363636365
7	7	1/4	1/4	3/4	3	1	i				a	i	i	i	i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	1.5	0.0
8	8	0	0	3/4	3	1	V7				a	i	i	V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	5	0.16666666666666666	0.75	1.3125	0.36363636363636365
8	8	1/4	1/4	3/4	3	1	i\\				a	i	i	i	i						\\	m	1	1	3, 0, 4		3	3	1	14	0.06666666666666667	0.125	5.375	0.022727272727272728
10	10	1/4	1/4	3/4	3	1	V				a	i	i	V	V							M	1	1	4, 8, 5		4	4	0	3	0.0	0.0	0.5	0.0
11	11	0	0	3/4	3	1	i				a	i	i	i	i							m	1	1	3, 0, 4		3	3	2	6	0.25	0.125	1.875	0.0625
