mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	d.i	9.99634e-18	-4	/	d	i		i	i							m	1	1	2, -1, 3		2	2	4	4	0.5	0.25	0.25	0.5
1	1	1/4	1/4	4/4	3	1	V64				d	i		V64	V		64					M	1	1	4, 3, 7		3	4	0	4	0.0	0.0	0.5	0.0
1	1	1/2	1/2	4/4	3	1	#viio/iv				d	i		#viio/iv	#vii	o			iv			o	1	1	6, 3, 0		6	6	4	4	0.5	0.25	0.25	0.5
1	1	3/4	3/4	4/4	3	1	iv				d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.5	0.0
2	2	0	0	4/4	3	1	viio7/V				d	i		viio7/V	vii	o	7		V			o7	1	1	8, 5, 2, -1		8	8	4	12	0.25	0.25	0.75	0.25
2	2	1/2	1/2	4/4	3	1	viio65/V				d	i		viio65/V	vii	o	65		V			o7	1	1	5, 2, -1, 8		8	5	4	12	0.25	0.16666666666666666	2.3333333333333335	0.06666666666666667
3	3	1/8	1/8	4/4	3	1	VI				d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	0	6	0.0	0.0	0.25	0.0
3	3	1/4	1/4	4/4	3	1	V				d	i		V	V							M	1	1	3, 7, 4		3	3	0	7	0.0	0.0	0.875	0.0
3	3	1/2	1/2	4/4	3	1	i\\				d	i		i	i						\\	m	1	1	2, -1, 3		2	2	12	35	0.2553191489361702	0.9375	5.1875	0.15306122448979592
5	5	1/2	1/2	4/4	3	1	V				d	i		V	V							M	1	1	3, 7, 4		3	3	0	6	0.0	0.0	1.5	0.0
6	6	0	0	4/4	3	1	viio7				d	i		viio7	vii	o	7					o7	1	1	0, -3, -6, -9		0	0	21	0	1.0	2.25	0.0	1.0
6	6	3/4	3/4	4/4	3	1	V6				d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	6	0.0	0.0	0.75	0.0
7	7	0	0	4/4	3	1	i				d	i		i	i							m	1	1	2, -1, 3		2	2	0	6	0.0	0.0	0.75	0.0
7	7	1/4	1/4	4/4	3	1	V64				d	i		V64	V		64					M	1	1	4, 3, 7		3	4	0	6	0.0	0.0	0.75	0.0
7	7	1/2	1/2	4/4	3	1	#viio7/iv				d	i		#viio7/iv	#vii	o	7		iv			o7	1	1	6, 3, 0, -3		6	6	0	7	0.0	0.0	0.875	0.0
7	7	3/4	3/4	4/4	3	1	iv6				d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	8	0.0	0.0	1.0	0.0
8	8	0	0	4/4	3	1	viio/V				d	i		viio/V	vii	o			V			o	1	1	8, 5, 2		8	8	0	4	0.0	0.0	1.0	0.0
8	8	1/4	1/4	4/4	3	1	V				d	i		V	V							M	1	1	3, 7, 4		3	3	0	4	0.0	0.0	1.0	0.0
8	8	1/2	1/2	4/4	3	1	i				d	i		i	i							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	0.625	0.0
8	8	5/8	5/8	4/4	3	1	viio7/V				d	i		viio7/V	vii	o	7		V			o7	1	1	8, 5, 2, -1		8	8	0	4	0.0	0.0	0.25	0.0
8	8	3/4	3/4	4/4	3	1	viio65/V				d	i		viio65/V	vii	o	65		V			o7	1	1	5, 2, -1, 8		8	5	0	4	0.0	0.0	0.25	0.0
8	8	7/8	7/8	4/4	3	1	viio43/V				d	i		viio43/V	vii	o	43		V			o7	1	1	2, -1, 8, 5		8	2	0	4	0.0	0.0	0.25	0.0
9	9	0	0	4/4	3	1	viio2/V				d	i		viio2/V	vii	o	2		V			o7	1	1	-1, 8, 5, 2		8	-1	0	4	0.0	0.0	0.25	0.0
9	9	1/8	1/8	4/4	3	1	viio7/V				d	i		viio7/V	vii	o	7		V			o7	1	1	8, 5, 2, -1		8	8	0	4	0.0	0.0	0.25	0.0
9	9	1/4	1/4	4/4	3	1	V				d	i		V	V							M	1	1	3, 7, 4		3	3	0	7	0.0	0.0	0.875	0.0
9	9	1/2	1/2	4/4	3	1	i\\				d	i		i	i						\\	m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	1.25	0.0
9	9	7/8	7/8	4/4	3	1	VI.I[I				d	VI	I	I	I							M	1	0	-2, 2, -1		-2	-2	1	24	0.04	0.0625	2.9375	0.020833333333333332
10	10	3/8	3/8	4/4	3	1	viio2				d	VI	I	viio2	vii	o	2					o7	1	0	-6, 3, 0, -3		3	-6	3	4	0.42857142857142855	0.3125	0.4375	0.4166666666666667
10	10	1/2	1/2	4/4	3	1	I]				d	VI	I	I	I							M	1	0	-2, 2, -1		-2	-2	0	7	0.0	0.0	2.25	0.0
10	10	7/8	7/8	4/4	3	1	I6				d	VI		I6	I		6					M	1	0	2, -1, -2		-2	2	2	5	0.2857142857142857	0.125	0.5	0.2
11	11	0	0	4/4	3	1	IV				d	VI		IV	IV							M	1	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.5	0.0
11	11	1/8	1/8	4/4	3	1	viio6				d	VI		viio6	vii	o	6					o	1	0	0, -3, 3		3	0	0	5	0.0	0.0	0.625	0.0
11	11	1/4	1/4	4/4	3	1	vi				d	VI		vi	vi							m	1	0	1, -2, 2		1	1	0	5	0.0	0.0	0.625	0.0
11	11	3/8	3/8	4/4	3	1	V7				d	VI		V7	V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	2	6	0.25	0.0625	0.6875	0.08333333333333333
11	11	1/2	1/2	4/4	3	1	I[I\\				d	VI	I	I	I						\\	M	1	0	-2, 2, -1		-2	-2	1	30	0.03225806451612903	0.0625	3.9375	0.015625
12	12	3/8	3/8	4/4	3	1	viio2				d	VI	I	viio2	vii	o	2					o7	1	0	-6, 3, 0, -3		3	-6	3	4	0.42857142857142855	0.3125	0.4375	0.4166666666666667
12	12	1/2	1/2	4/4	3	1	I]				d	VI	I	I	I							M	1	0	-2, 2, -1		-2	-2	0	13	0.0	0.0	3.0	0.0
13	13	0	0	4/4	3	1	V2/IV				d	VI		V2/IV	V		2		IV			Mm7	1	0	-4, -2, 2, -1		-2	-4	0	6	0.0	0.0	0.75	0.0
13	13	1/8	1/8	4/4	3	1	IV6				d	VI		IV6	IV		6					M	1	0	1, -2, -3		-3	1	0	6	0.0	0.0	0.75	0.0
