mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	3	1	d.i[i						d	i	i	i	i							m	1	1	2, -1, 3		2	2	0	13	0.0	0.0	1.625	0.0
2	2	0	0	2/4	3	1	i(9)						d	i	i	i(9)	i			9				m	1	1	2, -1, 3	4	2	2	0	4	0.0	0.0	0.5	0.0
2	2	1/8	1/8	2/4	3	1	i						d	i	i	i	i							m	1	1	2, -1, 3		2	2	0	8	0.0	0.0	1.0	0.0
2	2	3/8	3/8	2/4	3	1	#viio43(4)						d	i	i	#viio43(4)	#vii	o	43	4				o7	1	1	1, -2, 7, -1		7	1	1	4	0.2	0.125	0.46875	0.21052631578947367
2	2	15/32	15/32	2/4	3	1	#viio43						d	i	i	#viio43	#vii	o	43					o7	1	1	1, -2, 7, 4		7	1	0	1	0.0	0.0	0.03125	0.0
3	3	0	0	2/4	3	1	i	0.449671	3.71406	-1.63594	/		d	i	i	i	i							m	1	1	2, -1, 3		2	2	0	9	0.0	0.0	1.375	0.0
3	3	3/8	3/8	2/4	3	1	#viio43						d	i	i	#viio43	#vii	o	43					o7	1	1	1, -2, 7, 4		7	1	1	4	0.2	0.125	0.5	0.2
4	4	0	0	2/4	3	1	i]						d	i	i	i	i							m	1	1	2, -1, 3		2	2	0	9	0.0	0.0	1.375	0.0
4	4	3/8	3/8	2/4	3	1	iv						d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	6	0.0	0.0	0.75	0.0
5	5	0	0	2/4	3	1	V(64)						d	i		V(64)	V			64				M	1	1	3, 2, -1		3	3	0	10	0.0	0.0	1.75	0.0
5	5	1/4	1/4	2/4	3	1	iv6						d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	2	9	0.18181818181818182	0.125	1.125	0.1
6	6	0	0	2/4	3	1	V(64)						d	i		V(64)	V			64				M	1	1	3, 2, -1		3	3	0	8	0.0	0.0	1.0	0.0
6	6	1/4	1/4	2/4	3	1	V						d	i		V	V							M	1	1	3, 7, 4		3	3	0	8	0.0	0.0	1.0	0.0
7	7	0	0	2/4	3	1	i\\						d	i		i	i						\\	m	1	1	2, -1, 3		2	2	0	18	0.0	0.0	2.25	0.0
8	8	0	0	2/4	3	1	i(9)						d	i		i(9)	i			9				m	1	1	2, -1, 3	4	2	2	0	5	0.0	0.0	0.625	0.0
8	8	1/8	1/8	2/4	3	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	0	15	0.0	0.0	1.875	0.0
9	9	0	0	2/4	3	1	ii%2						d	i		ii%2	ii	%	2					%7	1	1	2, 4, 1, -2		4	2	1	23	0.041666666666666664	0.0625	2.9375	0.020833333333333332
10	10	0	0	2/4	3	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	0	11	0.0	0.0	1.375	0.0
10	10	1/4	1/4	2/4	3	1	V(64)						d	i		V(64)	V			64				M	1	1	3, 2, -1		3	3	0	7	0.0	0.0	0.75	0.0
10	10	3/8	3/8	2/4	3	1	V7						d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	1	6	0.14285714285714285	0.0625	0.6875	0.08333333333333333
11	11	0	0	2/4	3	1	i\\						d	i		i	i						\\	m	1	1	2, -1, 3		2	2	0	19	0.0	0.0	2.5	0.0
12	12	0	0	2/4	3	1	i(9)						d	i		i(9)	i			9				m	1	1	2, -1, 3	4	2	2	0	5	0.0	0.0	0.625	0.0
12	12	1/8	1/8	2/4	3	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	0	15	0.0	0.0	1.875	0.0
13	13	0	0	2/4	3	1	ii%2						d	i		ii%2	ii	%	2					%7	1	1	2, 4, 1, -2		4	2	1	23	0.041666666666666664	0.0625	2.9375	0.020833333333333332
14	14	0	0	2/4	3	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	0	11	0.0	0.0	1.375	0.0
14	14	1/4	1/4	2/4	3	1	V(64)						d	i		V(64)	V			64				M	1	1	3, 2, -1		3	3	0	7	0.0	0.0	0.75	0.0
14	14	3/8	3/8	2/4	3	1	V7						d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	1	6	0.14285714285714285	0.0625	0.6875	0.08333333333333333
15	15	0	0	2/4	3	1	i\\						d	i		i	i						\\	m	1	1	2, -1, 3		2	2	0	10	0.0	0.0	1.375	0.0
15	15	1/4	1/4	2/4	3	1	V6/III						d	i		V6/III	V		6		III			M	1	1	4, 1, 0		0	4	0	4	0.0	0.0	0.5	0.0
15	15	3/8	3/8	2/4	3	1	V7/III						d	i		V7/III	V		7		III			Mm7	1	1	0, 4, 1, -2		0	0	0	5	0.0	0.0	0.625	0.0
16	16	0	0	2/4	3	1	III.I						d	III		I	I							M	1	0	-1, 3, 0		-1	-1	1	9	0.1	0.0625	1.0625	0.05555555555555555
16	16	1/4	1/4	2/4	3	1	vi						d	III		vi	vi							m	1	0	2, -1, 3		2	2	0	5	0.0	0.0	0.625	0.0
16	16	3/8	3/8	2/4	3	1	V43/V						d	III		V43/V	V		43		V			Mm7	1	0	2, -1, 1, 5		1	2	0	5	0.0	0.0	0.625	0.0
17	17	0	0	2/4	3	1	V(4)						d	III		V(4)	V			4				M	1	0	0, -1, 1		0	0	1	9	0.1	0.0625	1.1875	0.05
17	17	1/4	1/4	2/4	3	1	V						d	III		V	V							M	1	0	0, 4, 1		0	0	0	5	0.0	0.0	0.625	0.0
17	17	3/8	3/8	2/4	3	1	I6						d	III		I6	I		6					M	1	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.5	0.0
18	18	0	0	2/4	3	1	V43						d	III		V43	V		43					Mm7	1	0	1, -2, 0, 4		0	1	0	5	0.0	0.0	0.5	0.0
18	18	1/8	1/8	2/4	3	1	I6						d	III		I6	I		6					M	1	0	3, 0, -1		-1	3	1	4	0.2	0.0625	0.4375	0.125
18	18	1/4	1/4	2/4	3	1	V(4)						d	III		V(4)	V			4				M	1	0	0, -1, 1		0	0	0	5	0.0	0.0	0.625	0.0
