mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	3	1	b.i[i	b	i	i	i		i							m	1	1	5, 2, 6		5	5	0	16	0.0	0.0	2.0	0.0
3	3	0	0	2/4	3	1	#viio2	b	i	i	#viio2		#vii	o	2					o7	1	1	1, 10, 7, 4		10	1	4	6	0.4	0.375	0.625	0.375
4	4	0	0	2/4	3	1	i	b	i	i	i		i							m	1	1	5, 2, 6		5	5	2	10	0.16666666666666666	0.125	1.125	0.1
5	5	0	0	2/4	3	1	#viio2	b	i	i	#viio2		#vii	o	2					o7	1	1	1, 10, 7, 4		10	1	4	8	0.3333333333333333	0.375	0.875	0.3
6	6	0	0	2/4	3	1	i	b	i	i	i		i							m	1	1	5, 2, 6		5	5	2	23	0.08	0.125	2.75	0.043478260869565216
8	8	0	0	2/4	3	1	i(9)	b	i	i	i(9)		i			9				m	1	1	5, 2, 6	7	5	5	0	5	0.0	0.0	0.75	0.0
8	8	1/4	1/4	2/4	3	1	i	b	i	i	i		i							m	1	1	5, 2, 6		5	5	0	13	0.0	0.0	1.5	0.0
9	9	1/4	1/4	2/4	3	1	ii%2	b	i	i	ii%2		ii	%	2					%7	1	1	5, 7, 4, 1		7	5	1	8	0.1111111111111111	0.0625	0.8125	0.07142857142857142
10	10	0	0	2/4	3	1	i\\	b	i	i	i		i						\\	m	1	1	5, 2, 6		5	5	2	21	0.08695652173913043	0.125	3.75	0.03225806451612903
12	12	0	0	2/4	3	1	i(9)	b	i	i	i(9)		i			9				m	1	1	5, 2, 6	7	5	5	0	5	0.0	0.0	0.75	0.0
12	12	1/4	1/4	2/4	3	1	i	b	i	i	i		i							m	1	1	5, 2, 6		5	5	0	13	0.0	0.0	1.5	0.0
13	13	1/4	1/4	2/4	3	1	ii%2	b	i	i	ii%2		ii	%	2					%7	1	1	5, 7, 4, 1		7	5	1	8	0.1111111111111111	0.0625	0.8125	0.07142857142857142
14	14	0	0	2/4	3	1	i]\\	b	i	i	i		i						\\	m	1	1	5, 2, 6		5	5	0	9	0.0	0.0	2.375	0.0
15	15	0	0	2/4	3	1	V6	b	i		V6		V		6					M	1	1	10, 7, 6		6	10	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
15	15	1/4	1/4	2/4	3	1	V2(6)	b	i		V2(6)		V		2	6				Mm7	1	1	4, 6, 10, 2		6	4	0	5	0.0	0.0	0.5	0.0
15	15	3/8	3/8	2/4	3	1	V2	b	i		V2		V		2					Mm7	1	1	4, 6, 10, 7		6	4	0	5	0.0	0.0	0.5	0.0
16	16	0	0	2/4	3	1	i(6)	b	i		i(6)		i			6				m	1	1	5, 2, 1		5	5	0	3	0.0	0.0	0.4375	0.0
