mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	0	3/8	3	1	1/8		1/8	1		5	59	B3	3	2
1	1	0	0	0.5	0	0	3/8	2	1	1/8		1/8	1		5	71	B4	4	0
1	1	1/2	1/2	1.0	1/8	1/8	3/8	3	1	1/4		1/4	1		6	54	F#3	3	3
1	1	1/2	1/2	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		6	66	F#4	4	1
2	2	3/2	3/2	0.5	0	0	3/8	3	1	1/8		1/8	1		4	52	E3	3	6
2	2	3/2	3/2	0.5	0	0	3/8	2	1	1/8		1/8	1		4	64	E4	4	4
2	2	2	2	1.0	1/8	1/8	3/8	3	1	1/4		1/4	1		5	47	B2	2	7
2	2	2	2	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		5	59	B3	3	5
3	3	3	3	0.5	0	0	3/8	3	1	1/8		1/8	1		6	42	F#2	2	20
3	3	3	3	0.5	0	0	3/8	3	1	1/8		1/8	1		7	49	C#3	3	20
3	3	3	3	0.5	0	0	3/8	2	2	1/8		1/8	1		10	58	A#3	3	17
3	3	3	3	0.16666666666666666	0	0	3/8	2	1	1/24		1/16	2/3		6	66	F#4	4	8
3	3	19/6	19/6	0.16666666666666666	1/24	1/24	3/8	2	1	1/24		1/16	2/3		6	66	F#4	4	9
3	3	10/3	10/3	0.16666666666666666	1/12	1/12	3/8	2	1	1/24		1/16	2/3		6	66	F#4	4	10
3	3	7/2	7/2	0.5	1/8	1/8	3/8	3	1	1/8		1/8	1		6	42	F#2	2	21
3	3	7/2	7/2	0.5	1/8	1/8	3/8	3	1	1/8		1/8	1		2	50	D3	3	21
3	3	7/2	7/2	0.5	1/8	1/8	3/8	2	2	1/8		1/8	1		5	59	B3	3	18
3	3	7/2	7/2	0.16666666666666666	1/8	1/8	3/8	2	1	1/24		1/16	2/3		6	66	F#4	4	11
3	3	11/3	11/3	0.16666666666666666	1/6	1/6	3/8	2	1	1/24		1/16	2/3		6	66	F#4	4	12
3	3	23/6	23/6	0.16666666666666666	5/24	5/24	3/8	2	1	1/24		1/16	2/3		6	66	F#4	4	13
3	3	4	4	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		6	42	F#2	2	22
3	3	4	4	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		4	52	E3	3	22
3	3	4	4	0.5	1/4	1/4	3/8	2	2	1/8		1/8	1		7	61	C#4	4	19
3	3	4	4	0.16666666666666666	1/4	1/4	3/8	2	1	1/24		1/16	2/3		6	66	F#4	4	14
3	3	25/6	25/6	0.16666666666666666	7/24	7/24	3/8	2	1	1/24		1/16	2/3		8	68	G#4	4	15
3	3	13/3	13/3	0.16666666666666666	1/3	1/3	3/8	2	1	1/24		1/16	2/3		10	70	A#4	4	16
4	4	9/2	9/2	0.375	0	0	3/8	3	1	3/32		1/16	3/2		5	47	B2	2	26
4	4	9/2	9/2	0.375	0	0	3/8	3	1	3/32		1/16	3/2		2	50	D3	3	26
4	4	9/2	9/2	0.375	0	0	3/8	2	1	3/32		1/16	3/2		5	59	B3	3	23
4	4	9/2	9/2	0.375	0	0	3/8	2	1	3/32		1/16	3/2		5	71	B4	4	23
