mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.25	0	9/16	6/8	3	1	1/16		1/16	1		4	52	E3	3	3
1	0	0	0	0.25	0	9/16	6/8	2	1	1/16		1/16	1		4	64	E4	4	0
1	0	1/4	1/4	0.25	1/16	5/8	6/8	3	1	1/16		1/16	1		3	57	A3	3	4
1	0	1/4	1/4	0.25	1/16	5/8	6/8	2	1	1/16		1/16	1		3	69	A4	4	1
1	0	1/2	1/2	0.25	1/8	11/16	6/8	3	1	1/16		1/16	1		0	60	C4	4	5
1	0	1/2	1/2	0.25	1/8	11/16	6/8	2	1	1/16		1/16	1		0	72	C5	5	2
2	1	3/4	3/4	0.5	0	0	6/8	3	1	1/8		1/8	1		4	64	E4	4	13
2	1	3/4	3/4	0.5	0	0	6/8	2	1	1/8		1/8	1		4	76	E5	5	6
2	1	5/4	5/4	0.5	1/8	1/8	6/8	3	1	1/8		1/8	1		0	60	C4	4	14
2	1	5/4	5/4	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		0	72	C5	5	7
2	1	7/4	7/4	0.5	1/4	1/4	6/8	3	1	1/8		1/8	1		3	57	A3	3	15
2	1	7/4	7/4	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		3	69	A4	4	8
2	1	9/4	9/4	0.75	3/8	3/8	6/8	3	1	3/16		1/8	3/2		4	52	E3	3	16
2	1	9/4	9/4	0.75	3/8	3/8	6/8	2	1	3/16		1/8	3/2		4	64	E4	4	9
2	1	3	3	0.25	9/16	9/16	6/8	3	1	1/16		1/16	1		-1	65	F4	4	17
2	1	3	3	0.25	9/16	9/16	6/8	2	1	1/16		1/16	1		-1	77	F5	5	10
2	1	13/4	13/4	0.25	5/8	5/8	6/8	3	1	1/16		1/16	1		4	64	E4	4	18
2	1	13/4	13/4	0.25	5/8	5/8	6/8	2	1	1/16		1/16	1		4	76	E5	5	11
2	1	7/2	7/2	0.25	11/16	11/16	6/8	3	1	1/16		1/16	1		-1	65	F4	4	19
2	1	7/2	7/2	0.25	11/16	11/16	6/8	2	1	1/16		1/16	1		-1	77	F5	5	12
3	2	15/4	15/4	0.5	0	0	6/8	3	1	1/8		1/8	1		4	64	E4	4	27
3	2	15/4	15/4	0.5	0	0	6/8	2	1	1/8		1/8	1		4	76	E5	5	20
3	2	17/4	17/4	0.5	1/8	1/8	6/8	3	1	1/8		1/8	1		0	60	C4	4	28
3	2	17/4	17/4	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		0	72	C5	5	21
3	2	19/4	19/4	0.5	1/4	1/4	6/8	3	1	1/8		1/8	1		3	57	A3	3	29
3	2	19/4	19/4	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		3	69	A4	4	22
3	2	21/4	21/4	0.75	3/8	3/8	6/8	3	1	3/16		1/8	3/2		4	52	E3	3	30
3	2	21/4	21/4	0.75	3/8	3/8	6/8	2	1	3/16		1/8	3/2		4	64	E4	4	23
3	2	6	6	0.25	9/16	9/16	6/8	3	1	1/16		1/16	1		-1	53	F3	3	31
3	2	6	6	0.25	9/16	9/16	6/8	2	1	1/16		1/16	1		-1	65	F4	4	24
3	2	25/4	25/4	0.25	5/8	5/8	6/8	3	1	1/16		1/16	1		4	52	E3	3	32
3	2	25/4	25/4	0.25	5/8	5/8	6/8	2	1	1/16		1/16	1		4	64	E4	4	25
3	2	13/2	13/2	0.25	11/16	11/16	6/8	3	1	1/16		1/16	1		-1	53	F3	3	33
3	2	13/2	13/2	0.25	11/16	11/16	6/8	2	1	1/16		1/16	1		-1	65	F4	4	26
4	3	27/4	27/4	0.5	0	0	6/8	3	1	1/8		1/8	1		1	55	G3	3	40
4	3	27/4	27/4	0.5	0	0	6/8	2	1	1/8		1/8	1		1	67	G4	4	34
4	3	29/4	29/4	0.5	1/8	1/8	6/8	3	1	1/8		1/8	1		4	52	E3	3	41
4	3	29/4	29/4	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		4	64	E4	4	35
4	3	31/4	31/4	0.5	1/4	1/4	6/8	3	1	1/8		1/8	1		2	50	D3	3	42
4	3	31/4	31/4	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		2	62	D4	4	36
4	3	33/4	33/4	0.5	3/8	3/8	6/8	3	1	1/8		1/8	1		0	48	C3	3	43
4	3	33/4	33/4	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		0	60	C4	4	37
4	3	35/4	35/4	0.5	1/2	1/2	6/8	3	1	1/8		1/8	1		5	47	B2	2	44
4	3	35/4	35/4	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		5	59	B3	3	38
4	3	37/4	37/4	0.5	5/8	5/8	6/8	3	1	1/8		1/8	1		3	45	A2	2	45
4	3	37/4	37/4	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	39
5	4	39/4	39/4	0.0	0	0	6/8	2	1	0	grace32	1/32	1		3	57	A3	3	46
5	4	39/4	39/4	0.0	0	0	6/8	2	1	0	grace32	1/32	1		5	59	B3	3	47
5	4	39/4	39/4	0.0	0	0	6/8	3	1	0	grace32	1/32	1		3	45	A2	2	55
5	4	39/4	39/4	0.0	0	0	6/8	3	1	0	grace32	1/32	1		5	47	B2	2	56
5	4	39/4	39/4	1.5	0	0	6/8	3	1	3/8		1/4	3/2		5	47	B2	2	57
5	4	39/4	39/4	1.5	0	0	6/8	2	1	3/8		1/4	3/2		5	59	B3	3	48
5	4	45/4	45/4	0.0	3/8	3/8	6/8	2	1	0	grace32	1/32	1		3	57	A3	3	49
5	4	45/4	45/4	0.0	3/8	3/8	6/8	2	1	0	grace32	1/32	1		5	59	B3	3	50
5	4	45/4	45/4	0.0	3/8	3/8	6/8	3	1	0	grace32	1/32	1		3	45	A2	2	58
5	4	45/4	45/4	0.0	3/8	3/8	6/8	3	1	0	grace32	1/32	1		5	47	B2	2	59
5	4	45/4	45/4	0.75	3/8	3/8	6/8	3	1	3/16		1/8	3/2		3	45	A2	2	60
5	4	45/4	45/4	0.75	3/8	3/8	6/8	2	1	3/16		1/8	3/2		3	57	A3	3	51
5	4	12	12	0.25	9/16	9/16	6/8	3	1	1/16		1/16	1		5	47	B2	2	61
5	4	12	12	0.25	9/16	9/16	6/8	2	1	1/16		1/16	1		5	59	B3	3	52
5	4	49/4	49/4	0.25	5/8	5/8	6/8	3	1	1/16		1/16	1		3	45	A2	2	62
5	4	49/4	49/4	0.25	5/8	5/8	6/8	2	1	1/16		1/16	1		3	57	A3	3	53
5	4	25/2	25/2	0.25	11/16	11/16	6/8	3	1	1/16		1/16	1		5	47	B2	2	63
5	4	25/2	25/2	0.25	11/16	11/16	6/8	2	1	1/16		1/16	1		5	59	B3	3	54
6	5	51/4	51/4	0.0	0	0	6/8	2	1	0	grace32	1/32	1		3	57	A3	3	65
6	5	51/4	51/4	0.0	0	0	6/8	2	1	0	grace32	1/32	1		5	59	B3	3	66
6	5	51/4	51/4	0.0	0	0	6/8	3	1	0	grace32	1/32	1		3	45	A2	2	72
6	5	51/4	51/4	0.0	0	0	6/8	3	1	0	grace32	1/32	1		5	47	B2	2	73
6	5	51/4	51/4	1.5	0	0	6/8	3	1	3/8		1/4	3/2		5	47	B2	2	74
6	5	51/4	51/4	1.5	0	0	6/8	2	1	3/8		1/4	3/2		5	59	B3	3	67
6	5	57/4	57/4	0.0	3/8	3/8	6/8	2	1	0	grace32	1/32	1		3	57	A3	3	68
6	5	57/4	57/4	0.0	3/8	3/8	6/8	2	1	0	grace32	1/32	1		5	59	B3	3	69
6	5	57/4	57/4	0.0	3/8	3/8	6/8	3	1	0	grace32	1/32	1		3	45	A2	2	75
6	5	57/4	57/4	0.0	3/8	3/8	6/8	3	1	0	grace32	1/32	1		5	47	B2	2	76
6	5	57/4	57/4	0.5	3/8	3/8	6/8	3	1	1/8		1/8	1		3	45	A2	2	77
6	5	57/4	57/4	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	70
6	5	61/4	61/4	0.5	5/8	5/8	6/8	3	1	1/8		1/8	1		4	52	E3	3	78
6	5	61/4	61/4	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	64
6	5	61/4	61/4	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		4	64	E4	4	71
7	6	63/4	63/4	0.5	0	0	6/8	3	1	1/8		1/8	1		0	60	C4	4	91
7	6	63/4	63/4	0.5	0	0	6/8	1	1	1/8		1/8	1		0	72	C5	5	79
7	6	63/4	63/4	0.5	0	0	6/8	2	1	1/8		1/8	1		0	72	C5	5	85
7	6	65/4	65/4	0.5	1/8	1/8	6/8	3	1	1/8		1/8	1		5	59	B3	3	92
7	6	65/4	65/4	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		5	71	B4	4	80
7	6	65/4	65/4	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		5	71	B4	4	86
7	6	67/4	67/4	0.5	1/4	1/4	6/8	3	1	1/8		1/8	1		3	57	A3	3	93
7	6	67/4	67/4	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		3	69	A4	4	81
7	6	67/4	67/4	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		3	69	A4	4	87
7	6	69/4	69/4	0.5	3/8	3/8	6/8	3	1	1/8		1/8	1		8	56	G#3	3	94
7	6	69/4	69/4	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		8	68	G#4	4	82
7	6	69/4	69/4	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		8	68	G#4	4	88
7	6	71/4	71/4	0.5	1/2	1/2	6/8	3	1	1/8		1/8	1		5	59	B3	3	95
7	6	71/4	71/4	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		5	71	B4	4	83
7	6	71/4	71/4	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		5	71	B4	4	89
7	6	73/4	73/4	0.5	5/8	5/8	6/8	3	1	1/8		1/8	1		0	60	C4	4	96
7	6	73/4	73/4	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		0	72	C5	5	84
7	6	73/4	73/4	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		0	72	C5	5	90
8	7	75/4	75/4	0.0	0	0	6/8	2	1	0	grace16	1/16	1		5	71	B4	4	103
8	7	75/4	75/4	0.0	0	0	6/8	3	1	0	grace16	1/16	1		5	59	B3	3	110
8	7	75/4	75/4	0.5	0	0	6/8	3	1	1/8		1/8	1		2	62	D4	4	111
8	7	75/4	75/4	0.5	0	0	6/8	1	1	1/8		1/8	1		2	74	D5	5	97
8	7	75/4	75/4	0.5	0	0	6/8	2	1	1/8		1/8	1		2	74	D5	5	104
8	7	77/4	77/4	0.5	1/8	1/8	6/8	3	1	1/8		1/8	1		0	60	C4	4	112
8	7	77/4	77/4	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		0	72	C5	5	98
8	7	77/4	77/4	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		0	72	C5	5	105
8	7	79/4	79/4	0.5	1/4	1/4	6/8	3	1	1/8		1/8	1		5	59	B3	3	113
8	7	79/4	79/4	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		5	71	B4	4	99
8	7	79/4	79/4	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		5	71	B4	4	106
8	7	81/4	81/4	0.5	3/8	3/8	6/8	3	1	1/8		1/8	1		3	57	A3	3	114
8	7	81/4	81/4	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		3	69	A4	4	100
8	7	81/4	81/4	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	69	A4	4	107
8	7	83/4	83/4	0.5	1/2	1/2	6/8	3	1	1/8		1/8	1		0	60	C4	4	115
8	7	83/4	83/4	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		0	72	C5	5	101
8	7	83/4	83/4	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		0	72	C5	5	108
8	7	85/4	85/4	0.5	5/8	5/8	6/8	3	1	1/8		1/8	1		2	62	D4	4	116
