mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.25	0	3/8	2/4	3	1	1/16		1/16	1		-2	58	Bb3	3	2
1	0	0	0.25	0	3/8	2/4	2	1	1/16		1/16	1		1	67	G4	4	0
1	0	1/4	0.25	1/16	7/16	2/4	3	1	1/16		1/16	1		0	60	C4	4	3
1	0	1/4	0.25	1/16	7/16	2/4	2	1	1/16		1/16	1		3	69	A4	4	1
2	1	1/2	0.5	0	0	2/4	3	1	1/8		1/8	1		1	55	G3	3	8
2	1	1/2	0.5	0	0	2/4	3	1	1/8		1/8	1		2	62	D4	4	8
2	1	1/2	0.5	0	0	2/4	2	1	1/8		1/8	1		1	67	G4	4	4
2	1	1/2	0.5	0	0	2/4	2	1	1/8		1/8	1		-2	70	Bb4	4	4
2	1	1	0.5	1/8	1/8	2/4	3	1	1/8		1/8	1		1	55	G3	3	9
2	1	1	0.5	1/8	1/8	2/4	3	1	1/8		1/8	1		2	62	D4	4	9
2	1	1	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		1	67	G4	4	5
2	1	1	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-2	70	Bb4	4	5
2	1	3/2	0.5	1/4	1/4	2/4	3	1	1/8		1/8	1		1	55	G3	3	10
2	1	3/2	0.5	1/4	1/4	2/4	3	1	1/8		1/8	1		2	62	D4	4	10
2	1	3/2	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		1	67	G4	4	6
2	1	3/2	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-2	70	Bb4	4	6
2	1	2	0.5	3/8	3/8	2/4	3	1	1/8		1/8	1		1	55	G3	3	11
2	1	2	0.5	3/8	3/8	2/4	3	1	1/8		1/8	1		2	62	D4	4	11
2	1	2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		1	67	G4	4	7
2	1	2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-2	70	Bb4	4	7
3	2	5/2	1.5	0	0	2/4	3	2	3/8		1/4	3/2		1	55	G3	3	18
3	2	5/2	1.0	0	0	2/4	3	1	1/4		1/4	1		2	62	D4	4	14
3	2	5/2	1.0	0	0	2/4	2	1	1/4		1/4	1		1	67	G4	4	12
3	2	5/2	1.0	0	0	2/4	2	1	1/4		1/4	1		-2	70	Bb4	4	12
