mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.0	0	0	3/4	3	1	0	grace16	1/16	1		9	51	D#3	3	0
1	1	0	0	3.0	0	0	3/4	3	1	3/4		1/2	3/2		3	45	A2	2	1
1	1	0	0	3.0	0	0	3/4	3	1	3/4		1/2	3/2		4	52	E3	3	1
2	2	3	3	0.0	0	0	3/4	3	1	0	grace16	1/16	1		9	51	D#3	3	2
2	2	3	3	3.0	0	0	3/4	3	1	3/4		1/2	3/2		3	45	A2	2	3
2	2	3	3	3.0	0	0	3/4	3	1	3/4		1/2	3/2		4	52	E3	3	3
3	3	6	6	3.0	0	0	3/4	3	1	3/4		1/2	3/2		3	45	A2	2	12
3	3	6	6	3.0	0	0	3/4	3	1	3/4		1/2	3/2		4	52	E3	3	12
3	3	6	6	0.25	0	0	3/4	2	1	1/16		1/16	1		3	69	A4	4	4
3	3	25/4	25/4	0.25	1/16	1/16	3/4	2	1	1/16		1/16	1		0	72	C5	5	5
3	3	13/2	13/2	0.25	1/8	1/8	3/4	2	1	1/16		1/16	1		5	71	B4	4	6
3	3	27/4	27/4	0.25	3/16	3/16	3/4	2	1	1/16		1/16	1		2	74	D5	5	7
3	3	7	7	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		0	72	C5	5	8
3	3	15/2	15/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	69	A4	4	9
3	3	8	8	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		5	71	B4	4	10
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		8	68	G#4	4	11
4	4	9	9	3.0	0	0	3/4	3	1	3/4		1/2	3/2		3	45	A2	2	16
4	4	9	9	3.0	0	0	3/4	3	1	3/4		1/2	3/2		4	52	E3	3	16
4	4	9	9	0.5	0	0	3/4	2	1	1/8		1/8	1		3	69	A4	4	13
4	4	19/2	19/2	0.25	1/8	1/8	3/4	2	1	1/16		1/16	1		0	72	C5	5	14
4	4	10	10	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		4	64	E4	4	15
4	4	10	10	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		8	68	G#4	4	15
4	4	10	10	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		5	71	B4	4	15
5	5	12	12	3.0	0	0	3/4	3	1	3/4		1/2	3/2		3	45	A2	2	20
5	5	12	12	3.0	0	0	3/4	3	1	3/4		1/2	3/2		4	52	E3	3	20
5	5	12	12	0.5	0	0	3/4	2	1	1/8		1/8	1		3	69	A4	4	17
5	5	25/2	25/2	0.25	1/8	1/8	3/4	2	1	1/16		1/16	1		0	72	C5	5	18
5	5	13	13	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		4	64	E4	4	19
5	5	13	13	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		8	68	G#4	4	19
