mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/8		1/8	1		5	59	3	1	
1	1	0	1/8		1/8	1		5	71	2	1	
1	1	1/8	1/4		1/4	1		6	54	3	1	
1	1	1/8	1/4		1/4	1		6	66	2	1	
2	2	0	1/8		1/8	1		4	52	3	1	
2	2	0	1/8		1/8	1		4	64	2	1	
2	2	1/8	1/4		1/4	1		5	47	3	1	
2	2	1/8	1/4		1/4	1		5	59	2	1	
3	3	0	1/8		1/8	1		6	42	3	1	
3	3	0	1/8		1/8	1		7	49	3	1	
3	3	0	1/8		1/8	1		10	58	2	2	
3	3	0	1/24		1/16	2/3		6	66	2	1	
3	3	1/24	1/24		1/16	2/3		6	66	2	1	
3	3	1/12	1/24		1/16	2/3		6	66	2	1	
3	3	1/8	1/8		1/8	1		6	42	3	1	
3	3	1/8	1/8		1/8	1		2	50	3	1	
3	3	1/8	1/8		1/8	1		5	59	2	2	
3	3	1/8	1/24		1/16	2/3		6	66	2	1	
3	3	1/6	1/24		1/16	2/3		6	66	2	1	
3	3	5/24	1/24		1/16	2/3		6	66	2	1	
3	3	1/4	1/8		1/8	1		6	42	3	1	
3	3	1/4	1/8		1/8	1		4	52	3	1	
3	3	1/4	1/8		1/8	1		7	61	2	2	
3	3	1/4	1/24		1/16	2/3		6	66	2	1	
3	3	7/24	1/24		1/16	2/3		8	68	2	1	
3	3	1/3	1/24		1/16	2/3		10	70	2	1	
4	4	0	3/32		1/16	3/2		5	47	3	1	
4	4	0	3/32		1/16	3/2		2	50	3	1	
4	4	0	3/32		1/16	3/2		5	59	2	1	
4	4	0	3/32		1/16	3/2		5	71	2	1	
4	4	3/32	1/32		1/32	1		6	54	3	1	
4	4	3/32	1/32		1/32	1		6	66	2	1	
4	4	1/8	1/4		1/4	1		5	59	3	1	
4	4	1/8	1/4		1/4	1		5	71	2	1	
5	5	0	1/8		1/8	1		5	59	3	1	
5	5	0	3/32		1/16	3/2		5	71	1	1	
5	5	0	1/8		1/8	1		5	71	2	1	
5	5	3/32	1/32		1/32	1		5	71	1	1	
5	5	1/8	1/4		1/4	1		6	54	3	1	
5	5	1/8	3/16		1/8	3/2		6	66	1	1	
5	5	1/8	1/4		1/4	1		6	66	2	1	
5	5	5/16	1/16		1/16	1		6	66	1	1	
6	6	0	1/8		1/8	1		4	52	3	1	
6	6	0	1/8		1/8	1	1	5	59	2	1	
6	6	0	3/32		1/16	3/2		4	64	1	1	
6	6	0	1/8		1/8	1		4	64	2	1	
6	6	0	1/8		1/8	1		1	67	2	1	
6	6	3/32	1/32		1/32	1		1	67	1	1	
6	6	1/8	1/4		1/4	1		5	47	3	1	
6	6	1/8	3/16		1/8	3/2		5	59	1	1	
6	6	1/8	1/4		1/4	1	-1	5	59	2	1	
6	6	1/8	1/4		1/4	1		2	62	2	1	
6	6	1/8	1/4		1/4	1		6	66	2	1	
6	6	5/16	1/16		1/16	1		5	59	1	1	
7	7	0	1/8		1/8	1		6	54	3	1	
7	7	0	1/8		1/8	1		7	61	3	1	
7	7	0	3/32		1/16	3/2		6	66	1	1	
7	7	0	1/8		1/8	1		10	70	2	2	
7	7	0	1/24		1/16	2/3		6	78	2	1	
7	7	1/24	1/24		1/16	2/3		6	78	2	1	
7	7	1/12	1/24		1/16	2/3		6	78	2	1	
7	7	3/32	1/32		1/32	1		6	66	1	1	
7	7	1/8	1/8		1/8	1		6	54	3	1	
7	7	1/8	1/8		1/8	1		2	62	3	1	
7	7	1/8	3/32		1/16	3/2		6	66	1	1	
7	7	1/8	1/8		1/8	1		5	71	2	2	
7	7	1/8	1/24		1/16	2/3		6	78	2	1	
7	7	1/6	1/24		1/16	2/3		6	78	2	1	
7	7	5/24	1/24		1/16	2/3		6	78	2	1	
7	7	7/32	1/32		1/32	1		6	66	1	1	
7	7	1/4	1/8		1/8	1		6	54	3	1	
7	7	1/4	1/8		1/8	1		4	64	3	1	
