mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	11/16	3/4	3	1	c.i[i		c	i	i	i		i							m	1	1	0, -3, 1		0	0
3	2	0	0	3/4	3	1	V2		c	i	i	V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
4	3	0	0	3/4	3	1	#viio65		c	i	i	#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
5	4	0	0	3/4	3	1	i\\		c	i	i	i		i						\\	m	1	1	0, -3, 1		0	0
7	6	0	0	3/4	3	1	V2		c	i	i	V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
8	7	0	0	3/4	3	1	#viio65		c	i	i	#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
9	8	0	0	3/4	3	1	i		c	i	i	i		i							m	1	1	0, -3, 1		0	0
10	9	0	0	3/4	3	1	#viio65		c	i	i	#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
11	10	0	0	3/4	3	1	i]\\		c	i	i	i		i						\\	m	1	1	0, -3, 1		0	0
12	11	0	0	3/4	3	1	V.I6		c	V		I6		I		6					M	1	0	4, 1, 0		0	4
12	11	5/8	5/8	3/4	3	1	#viio65/ii		c	V		#viio65/ii		#vii	o	65		ii			o7	1	0	4, 1, -2, 7		7	4
13	12	0	0	3/4	3	1	ii6(9)		c	V		ii6(9)		ii		6	9				m	1	0	-1, 3, 2	4	2	-1
13	12	1/4	1/4	3/4	3	1	ii		c	V		ii		ii							m	1	0	2, -1, 3		2	2
13	12	5/8	5/8	3/4	3	1	V64/ii		c	V		V64/ii		V		64		ii			M	1	0	4, 3, 7		3	4
14	13	0	0	3/4	3	1	ii6		c	V		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
14	13	1/2	1/2	3/4	3	1	V7		c	V		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
15	14	1/4	1/4	3/4	3	1	I\\		c	V		I		I						\\	M	1	0	0, 4, 1		0	0
15	14	5/8	5/8	3/4	3	1	#viio65/ii		c	V		#viio65/ii		#vii	o	65		ii			o7	1	0	4, 1, -2, 7		7	4
16	15	0	0	3/4	3	1	ii6		c	V		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
16	15	1/2	1/2	3/4	3	1	V7		c	V		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
17	16	1/4	1/4	3/4	3	1	I\\		c	V		I		I						\\	M	1	0	0, 4, 1		0	0
18	17	1/4	1/4	3/4	3	1	I6		c	V		I6		I		6					M	1	0	4, 1, 0		0	4
19	18	0	0	3/4	3	1	iv		c	V		iv		iv							m	1	0	-1, -4, 0		-1	-1
20	19	0	0	3/4	3	1	VI.V65		c	VI		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
21	20	0	0	3/4	3	1	I(#2)		c	VI		I(#2)		I			#2				M	1	0	0, 9, 1		0	0
21	20	1/4	1/4	3/4	3	1	I		c	VI		I		I							M	1	0	0, 4, 1		0	0
22	21	0	0	3/4	3	1	V2/IV		c	VI		V2/IV		V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
22	21	1/4	1/4	3/4	3	1	IV6		c	VI		IV6		IV		6					M	1	0	3, 0, -1		-1	3
22	21	1/2	1/2	3/4	3	1	It6		c	VI		It6	It	vii	o	6	b3	V			It	1	0	-4, 0, 6		6	-4
23	22	0	0	3/4	3	1	V		c	VI		V		V							M	1	0	1, 5, 2		1	1
23	22	1/2	1/2	3/4	3	1	i		c	VI		i		i							m	1	0	0, -3, 1		0	0
24	23	0	0	3/4	3	1	V		c	VI		V		V							M	1	0	1, 5, 2		1	1
26	25	0	0	3/4	3	1	I		c	VI		I		I							M	1	0	0, 4, 1		0	0
27	26	0	0	3/4	3	1	i.viio/V		c	i		viio/V		vii	o			V			o	1	1	6, 3, 0		6	6
27	26	1/2	1/2	3/4	3	1	V		c	i		V		V							M	1	1	1, 5, 2		1	1
28	27	0	0	3/4	3	1	iio		c	i		iio		ii	o						o	1	1	2, -1, -4		2	2
30	29	0	0	3/4	3	1	V7\\		c	i		V7		V		7				\\	Mm7	1	1	1, 5, 2, -1		1	1
30	29	5/8	5/8	3/4	3	1	i[i		c	i	i	i		i							m	1	1	0, -3, 1		0	0
32	31	0	0	3/4	3	1	V2		c	i	i	V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
33	32	0	0	3/4	3	1	#viio65		c	i	i	#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
34	33	0	0	3/4	3	1	i		c	i	i	i		i							m	1	1	0, -3, 1		0	0
35	34	0	0	3/4	3	1	#viio65		c	i	i	#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
36	35	0	0	3/4	3	1	i]\\		c	i	i	i		i						\\	m	1	1	0, -3, 1		0	0
37	36	0	0	3/4	3	1	I.I6	V6/IV	c	I		I6		I		6					M	1	0	4, 1, 0		0	4
37	36	5/8	5/8	3/4	3	1	V+6/IV		c	I		V+6/IV		V	+	6		IV			+	1	0	4, 8, 0		0	4
38	37	0	0	3/4	3	1	IV(6#4#2)		c	I		IV(6#4#2)		IV			6#4#2				M	1	0	-1, 8, 12, 2		-1	-1
38	37	1/4	1/4	3/4	3	1	IV		c	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
39	38	0	0	3/4	3	1	ii		c	I		ii		ii							m	1	0	2, -1, 3		2	2
39	38	1/2	1/2	3/4	3	1	V7		c	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
40	39	1/4	1/4	3/4	3	1	I\\		c	I		I		I						\\	M	1	0	0, 4, 1		0	0
41	40	0	0	3/4	3	1	i.ii%65		c	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
41	40	1/2	1/2	3/4	3	1	ii%43		c	i		ii%43		ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
