mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5/8	6/8	1	1	.A.I	A	I		I	I						M	0	0	0, 4, 1		0	0
4	3	0	0	6/8	1	1	V43/vi	A	I		V43/vi	V		43		vi		Mm7	0	0	5, 2, 4, 8		4	5
4	3	3/8	3/8	6/8	1	1	V2/vi	A	I		V2/vi	V		2		vi		Mm7	0	0	2, 4, 8, 5		4	2
5	4	0	0	6/8	1	1	vi	A	I		vi	vi						m	0	0	3, 0, 4		3	3
5	4	3/8	3/8	6/8	1	1	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	5	0	0	6/8	1	1	I\\	A	I		I	I					\\	M	0	0	0, 4, 1		0	0
9	8	0	0	6/8	1	1	V65(9)	A	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
9	8	3/8	3/8	6/8	1	1	V43	A	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
10	9	0	0	6/8	1	1	V65(9)	A	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
10	9	3/8	3/8	6/8	1	1	V43	A	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
10	9	5/8	5/8	6/8	1	1	V7/vi	A	I		V7/vi	V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
11	10	0	0	6/8	1	1	vi	A	I		vi	vi						m	0	0	3, 0, 4		3	3
11	10	3/8	3/8	6/8	1	1	vi6	A	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
12	11	0	0	6/8	1	1	V(64)	A	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
12	11	3/8	3/8	6/8	1	1	V7(6)	A	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1	1
12	11	5/8	5/8	6/8	1	1	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
13	12	0	0	6/8	1	1	I	A	I		I	I						M	0	0	0, 4, 1		0	0
13	12	3/8	3/8	6/8	1	1	V7(6)	A	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1	1
13	12	5/8	5/8	6/8	1	1	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
14	13	0	0	6/8	1	1	I\\	A	I		I	I					\\	M	0	0	0, 4, 1		0	0
17	16	0	0	6/8	1	1	V65(9)	A	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
17	16	3/8	3/8	6/8	1	1	V43	A	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
18	17	0	0	6/8	1	1	V65(9)	A	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
18	17	3/8	3/8	6/8	1	1	V43	A	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
18	17	5/8	5/8	6/8	1	1	V7/vi	A	I		V7/vi	V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
19	18	0	0	6/8	1	1	vi	A	I		vi	vi						m	0	0	3, 0, 4		3	3
19	18	3/8	3/8	6/8	1	1	vi6	A	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
20	19	0	0	6/8	1	1	V(64)	A	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
20	19	3/8	3/8	6/8	1	1	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
21	20	0	0	6/8	1	1	I	A	I		I	I						M	0	0	0, 4, 1		0	0
21	20	3/8	3/8	6/8	1	1	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
22	21	0	0	6/8	1	1	I\\	A	I		I	I					\\	M	0	0	0, 4, 1		0	0
23	22	0	0	6/8	1	1	i	A	I		i	i						m	0	0	0, -3, 1		0	0
25	24	0	0	6/8	1	1	V	A	I		V	V						M	0	0	1, 5, 2		1	1
25	24	3/8	3/8	6/8	1	1	V6	A	I		V6	V		6				M	0	0	5, 2, 1		1	5
26	25	0	0	6/8	1	1	ii[V(964)	A	I	ii	V(964)	V			964			M	0	0	1, 0, 4	3	1	1
26	25	1/4	1/4	6/8	1	1	V(64)	A	I	ii	V(64)	V			64			M	0	0	1, 0, 4		1	1
27	26	0	0	6/8	1	1	V7/ii	A	I	ii	V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
27	26	3/8	3/8	6/8	1	1	V7/V]	A	I	ii	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
28	27	0	0	6/8	1	1	V	A	I		V	V						M	0	0	1, 5, 2		1	1
28	27	3/8	3/8	6/8	1	1	V6	A	I		V6	V		6				M	0	0	5, 2, 1		1	5
28	27	5/8	5/8	6/8	1	1	V	A	I		V	V						M	0	0	1, 5, 2		1	1
29	28	0	0	6/8	1	1	V(42)	A	I		V(42)	V			42			M	0	0	3, 0, 2		1	3
29	28	3/8	3/8	6/8	1	1	V(#4#2)	A	I		V(#4#2)	V			#4#2			M	0	0	1, 10, 7		1	1
30	29	0	0	6/8	1	1	V	A	I		V	V						M	0	0	1, 5, 2		1	1
31	30	0	0	6/8	1	1	V+	A	I		V+	V	+					+	0	0	1, 5, 9		1	1
32	31	0	0	6/8	1	1	I	A	I		I	I						M	0	0	0, 4, 1		0	0
34	33	0	0	6/8	1	1	V65(9)	A	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
34	33	3/8	3/8	6/8	1	1	V43	A	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
35	34	0	0	6/8	1	1	V65(9)	A	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
35	34	3/8	3/8	6/8	1	1	V43	A	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
