mc	mn	onset	label
1	1	0	.D.I
1	1	3/4	I6
2	2	0	I
2	2	3/4	I6
3	3	0	ii%65
3	3	3/4	ii%43
4	4	0	V65/V
4	4	3/4	V43/V
5	5	0	V(64)
6	6	0	V(4)
6	6	3/4	V
7	7	0	I
7	7	3/4	I6
8	8	0	I
8	8	3/4	I6
9	9	0	ii%65
9	9	3/4	ii%43
10	10	0	ii%65
10	10	3/4	ii%43
11	11	0	V65/V
11	11	3/4	V43/V
12	12	0	V(64)
12	12	3/4	viio43/ii
13	13	0	V7(9)
13	13	3/4	V7(b9)
14	14	0	V(64)
14	14	3/4	V7
15	15	0	I64(11)
15	15	3/8	I64\\
16	16	0	i64
17	17	0	V(4)
17	17	3/4	V
17	17	9/8	IV
17	17	11/8	viio6
18	18	0	I(9)
18	18	1/4	I\\
19	19	11/8	IV.I6
20	20	0	I
20	20	5/8	#viio/ii
20	20	3/4	V43
21	21	0	V6
21	21	1/8	I
21	21	1/4	V43
21	21	3/8	I6
21	21	5/8	V43
21	21	3/4	I(#2)
21	21	7/8	I
22	22	0	I6
22	22	5/8	#viio/ii
22	22	3/4	V43
23	23	0	V6
23	23	1/8	I
23	23	1/4	V43
23	23	3/8	I6
23	23	5/8	V43
23	23	3/4	I(#2)
23	23	7/8	I
24	24	0	V[V2/ii
24	24	3/4	ii
25	25	0	V7
25	25	3/4	I
26	26	0	I.V43
26	26	1/4	I(#7)
26	26	3/8	V2
26	26	1/2	I
26	26	5/8	V64
26	26	3/4	I(9)
26	26	9/8	I]\\
29	29	0	V7(b9)
29	29	3/4	V7
30	30	0	V7(b9)
30	30	3/4	V7
31	31	0	I
31	31	3/4	I6
32	32	0	I(11)
32	32	3/8	I
32	32	3/4	I6
33	33	0	ii%65
33	33	3/4	ii%43
34	34	0	ii%65
34	34	3/4	ii%43
35	35	0	V65/V
35	35	3/4	V43/V
36	36	0	V(b64)
36	36	3/4	V65/bVI
37	37	0	.bVI\\
37	37	9/8	iv6
38	38	0	V(64)
38	38	9/8	IV
39	39	0	V(64)
39	39	3/8	IV6
39	39	3/4	V(4)
39	39	9/8	V
40	40	0	I\\
40	40	3/4	I6
41	41	0	.bVI
41	41	3/4	V65/bVI
42	42	0	.bVI(#9)
42	42	3/8	.bVI
42	42	9/8	viio65/V
43	43	0	V(64)
43	43	9/8	IV
44	44	0	V(64)
44	44	3/8	IV6
44	44	3/4	V(64)
44	44	9/8	V(b64)
45	45	0	V(4)
45	45	3/4	V
46	46	0	I[I\\
47	47	0	I64
47	47	9/8	I6
48	48	0	I]
