mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6/8	1	1	.Eb.I[I	Eb	I	I	I		I						M	0	0	0, 4, 1		0	0
7	7	0	0	6/8	1	1	V2	Eb	I	I	V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	3/8	3/8	6/8	1	1	I	Eb	I	I	I		I						M	0	0	0, 4, 1		0	0
8	8	0	0	6/8	1	1	V2	Eb	I	I	V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
8	8	3/8	3/8	6/8	1	1	I]	Eb	I	I	I		I						M	0	0	0, 4, 1		0	0
9	9	0	0	6/8	1	1	V	Eb	I		V		V						M	0	0	1, 5, 2		1	1
9	9	3/8	3/8	6/8	1	1	I	Eb	I		I		I						M	0	0	0, 4, 1		0	0
10	10	0	0	6/8	1	1	V	Eb	I		V		V						M	0	0	1, 5, 2		1	1
10	10	3/8	3/8	6/8	1	1	I	Eb	I		I		I						M	0	0	0, 4, 1		0	0
11	11	0	0	6/8	1	1	V	Eb	I		V		V						M	0	0	1, 5, 2		1	1
11	11	3/8	3/8	6/8	1	1	I	Eb	I		I		I						M	0	0	0, 4, 1		0	0
12	12	0	0	6/8	1	1	V	Eb	I		V		V						M	0	0	1, 5, 2		1	1
12	12	3/8	3/8	6/8	1	1	V7/IV	Eb	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
13	13	0	0	6/8	1	1	V7/bVII	Eb	I		V7/bVII		V		7		bVII		Mm7	0	0	-1, 3, 0, -3		-1	-1
15	15	0	0	6/8	1	1	.bVII	Eb	I		bVII		bVII						M	0	0	-2, 2, -1		-2	-2
17	17	0	0	6/8	1	1	V43/V	Eb	I		V43/V		V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
18	18	0	0	6/8	1	1	.Ger6	Eb	I		Ger6	Ger	vii	o	65	b3	V		M	0	0	-4, 0, -3, 6		6	-4
19	19	0	0	6/8	1	1	V(64)	Eb	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
20	20	0	0	6/8	1	1	V(964)	Eb	I		V(964)		V			964			M	0	0	1, 0, 4	3	1	1
20	20	1/4	1/4	6/8	1	1	V(64)	Eb	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
21	21	3/8	3/8	6/8	1	1	#viio43/ii	Eb	I		#viio43/ii		#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
21	21	5/8	5/8	6/8	1	1	V2/ii	Eb	I		V2/ii		V		2		ii		Mm7	0	0	1, 3, 7, 4		3	1
22	22	0	0	6/8	1	1	V7(9)	Eb	I		V7(9)		V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
22	22	3/8	3/8	6/8	1	1	V7(964)	Eb	I		V7(964)		V		7	964			Mm7	0	0	1, 0, 4, -1	3	1	1
