mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	2/4	3	1	b.i[i	b	i	i	i		i							m	1	1	0, -3, 1		0	0
3	3	4	2.0	0	0	2/4	3	1	#viio2	b	i	i	#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
4	4	6	2.0	0	0	2/4	3	1	i	b	i	i	i		i							m	1	1	0, -3, 1		0	0
5	5	8	2.0	0	0	2/4	3	1	#viio2	b	i	i	#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
6	6	10	4.0	0	0	2/4	3	1	i	b	i	i	i		i							m	1	1	0, -3, 1		0	0
8	8	14	1.0	0	0	2/4	3	1	i(9)	b	i	i	i(9)		i			9				m	1	1	0, -3, 1	2	0	0
8	8	15	2.0	1/4	1/4	2/4	3	1	i	b	i	i	i		i							m	1	1	0, -3, 1		0	0
9	9	17	1.0	1/4	1/4	2/4	3	1	ii%2	b	i	i	ii%2		ii	%	2					%7	1	1	0, 2, -1, -4		2	0
10	10	18	4.0	0	0	2/4	3	1	i\\	b	i	i	i		i						\\	m	1	1	0, -3, 1		0	0
12	12	22	1.0	0	0	2/4	3	1	i(9)	b	i	i	i(9)		i			9				m	1	1	0, -3, 1	2	0	0
12	12	23	2.0	1/4	1/4	2/4	3	1	i	b	i	i	i		i							m	1	1	0, -3, 1		0	0
13	13	25	1.0	1/4	1/4	2/4	3	1	ii%2	b	i	i	ii%2		ii	%	2					%7	1	1	0, 2, -1, -4		2	0
14	14	26	2.0	0	0	2/4	3	1	i]\\	b	i	i	i		i						\\	m	1	1	0, -3, 1		0	0
15	15	28	1.0	0	0	2/4	3	1	V6	b	i		V6		V		6					M	1	1	5, 2, 1		1	5
15	15	29	0.5	1/4	1/4	2/4	3	1	V2(6)	b	i		V2(6)		V		2	6				Mm7	1	1	-1, 1, 5, -3		1	-1
15	15	59/2	0.5	3/8	3/8	2/4	3	1	V2	b	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
16	16	30	0.5	0	0	2/4	3	1	i(6)	b	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
16	16	61/2	0.5	1/8	1/8	2/4	3	1	i	b	i		i		i							m	1	1	0, -3, 1		0	0
16	16	31	0.5	1/4	1/4	2/4	3	1	i6(#4)	b	i		i6(#4)		i		6	#4				m	1	1	-3, 6, 0		0	-3
16	16	63/2	0.5	3/8	3/8	2/4	3	1	i6	b	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
17	17	32	1.0	0	0	2/4	3	1	iv6	b	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
