mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.c.i	c	i		i	i							m	1	1	0, -3, 1		0	0
2	2	0	V/iv	c	i		V/iv	V					iv		M	1	1	0, 4, 1		0	0
2	2	1/4	V7/iv	c	i		V7/iv	V			7		iv		Mm7	1	1	0, 4, 1, -2		0	0
3	3	0	IV64	c	i		IV64	IV			64				M	1	1	0, -1, 3		-1	0
4	4	0	iv64	c	i		iv64	iv			64				m	1	1	0, -1, -4		-1	0
5	5	0	I	c	i		I	I							M	1	1	0, 4, 1		0	0
5	5	3/8	i	c	i		i	i							m	1	1	0, -3, 1		0	0
6	6	0	V\\	c	i		V	V						\\	M	1	1	1, 5, 2		1	1
7	7	0	i[i	c	i	i	i	i							m	1	1	0, -3, 1		0	0
7	7	3/8	V/iv	c	i	i	V/iv	V					iv		M	1	1	0, 4, 1		0	0
8	8	0	iv(4)	c	i	i	iv(4)	iv				4			m	1	1	-1, -2, 0		-1	-1
8	8	3/16	iv	c	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
9	9	0	V2	c	i	i	V2	V			2				Mm7	1	1	-1, 1, 5, 2		1	-1
10	10	0	i	c	i	i	i	i							m	1	1	0, -3, 1		0	0
11	11	0	iv	c	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
12	12	0	i]	c	i	i	i	i							m	1	1	0, -3, 1		0	0
13	13	0	V(64)/III	c	i		V(64)/III	V				64	III		M	1	1	-2, -3, 1		-2	-2
13	13	3/8	ii65/III	c	i		ii65/III	ii			65		III		mm7	1	1	-4, 0, -3, -1		-1	-4
14	14	0	III6	c	i		III6	III			6				M	1	1	1, -2, -3		-3	1
14	14	1/8	ii65/III	c	i		ii65/III	ii			65		III		mm7	1	1	-4, 0, -3, -1		-1	-4
14	14	1/4	V(64)/III	c	i		V(64)/III	V				64	III		M	1	1	-2, -3, 1		-2	-2
14	14	3/8	V7/III	c	i		V7/III	V			7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
15	15	0	III\\	c	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
16	16	0	i	c	i		i	i							m	1	1	0, -3, 1		0	0
17	17	0	#viio43/iv	c	i		#viio43/iv	#vii		o	43		iv		o7	1	1	-2, -5, 4, 1		4	-2
17	17	1/4	V2/iv	c	i		V2/iv	V			2		iv		Mm7	1	1	-2, 0, 4, 1		0	-2
18	18	0	IV6	c	i		IV6	IV			6				M	1	1	3, 0, -1		-1	3
18	18	1/8	IV6(+#4)	c	i		IV6(+#4)	IV			6	+#4			M	1	1	3, 0, -1	5	-1	3
18	18	1/4	IV6	c	i		IV6	IV			6				M	1	1	3, 0, -1		-1	3
19	19	0	V2(4)/III	c	i		V2(4)/III	V			2	4	III		Mm7	1	1	-4, -2, -3, -1		-2	-4
19	19	1/4	V2(b9)/III	c	i		V2(b9)/III	V			2	b9	III		Mm7	1	1	-4, -2, 2, -1	-7	-2	-4
