mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	5/8	.A.V		A	I		V	V						M	0	0	1, 5, 2		1	1
2	1	0	I		A	I		I	I						M	0	0	0, 4, 1		0	0
3	2	0	vi(4)		A	I		vi(4)	vi			4			m	0	0	3, 2, 4		3	3
3	2	1/4	vi		A	I		vi	vi						m	0	0	3, 0, 4		3	3
3	2	5/8	V7/vi		A	I		V7/vi	V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
4	3	0	ii6		A	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
4	3	3/8	V7		A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	I\\		A	I		I	I					\\	M	0	0	0, 4, 1		0	0
5	4	5/8	V		A	I		V	V						M	0	0	1, 5, 2		1	1
6	5	0	I		A	I		I	I						M	0	0	0, 4, 1		0	0
7	6	0	vi(4)		A	I		vi(4)	vi			4			m	0	0	3, 2, 4		3	3
7	6	1/4	vi		A	I		vi	vi						m	0	0	3, 0, 4		3	3
8	7	0	ii6		A	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
8	7	3/8	V7		A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	I		A	I		I	I						M	0	0	0, 4, 1		0	0
10	9	0	IV64		A	I		IV64	IV		64				M	0	0	0, -1, 3		-1	0
11	10	0	I		A	I		I	I						M	0	0	0, 4, 1		0	0
12	11	0	ii6		A	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
12	11	3/8	V7		A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
13	12	0	I		A	I		I	I						M	0	0	0, 4, 1		0	0
13	12	3/8	I6		A	I		I6	I		6				M	0	0	4, 1, 0		0	4
14	13	0	ii6(6)		A	I		ii6(6)	ii		6	6			m	0	0	-1, 5, 2		2	-1
