mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.b.i[i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
3	3	0	#viio2	b	i	i	#viio2	#vii		o	2				o7	1	1	-4, 5, 2, -1		5	-4
4	4	0	i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
5	5	0	#viio2	b	i	i	#viio2	#vii		o	2				o7	1	1	-4, 5, 2, -1		5	-4
6	6	0	i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
8	8	0	i(9)	b	i	i	i(9)	i				9			m	1	1	0, -3, 1	2	0	0
8	8	1/4	i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
9	9	1/4	ii%2	b	i	i	ii%2	ii		%	2				%7	1	1	0, 2, 1, 8		2	0
10	10	0	i\\	b	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
12	12	0	i(9)	b	i	i	i(9)	i				9			m	1	1	0, -3, 1	2	0	0
12	12	1/4	i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
13	13	1/4	ii%2	b	i	i	ii%2	ii		%	2				%7	1	1	0, 2, 1, 8		2	0
14	14	0	i]\\	b	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
15	15	0	V6	b	i		V6	V			6				M	1	1	5, 2, 1		1	5
15	15	1/4	V2(6)	b	i		V2(6)	V			2	6			Mm7	1	1	-1, 1, 5, -3		1	-1
15	15	3/8	V2	b	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1	-1
16	16	0	i(6)	b	i		i(6)	i				6			m	1	1	0, -3, -4		0	0
16	16	1/8	i	b	i		i	i							m	1	1	0, -3, 1		0	0
16	16	1/4	i6(#4)	b	i		i6(#4)	i			6	#4			m	1	1	-3, 6, 0		0	-3
16	16	3/8	i6	b	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
17	17	0	iv6	b	i		iv6	iv			6				m	1	1	-4, 0, -1		-1	-4
17	17	1/4	iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
17	17	3/8	#viio/V	b	i		#viio/V	#vii		o			V		o	1	1	13, 10, 7		13	13
18	18	0	V	b	i		V	V							M	1	1	1, 5, 2		1	1
19	19	0	V6	b	i		V6	V			6				M	1	1	5, 2, 1		1	5
19	19	1/4	V2(6)	b	i		V2(6)	V			2	6			Mm7	1	1	-1, 1, 5, -3		1	-1
19	19	3/8	V2	b	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1	-1
20	20	0	i(6)	b	i		i(6)	i				6			m	1	1	0, -3, -4		0	0
20	20	1/8	i	b	i		i	i							m	1	1	0, -3, 1		0	0
20	20	1/4	i6(#4)	b	i		i6(#4)	i			6	#4			m	1	1	-3, 6, 0		0	-3
20	20	3/8	i6	b	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
21	21	0	iv6	b	i		iv6	iv			6				m	1	1	-4, 0, -1		-1	-4
21	21	1/4	iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
21	21	3/8	#viio/V	b	i		#viio/V	#vii		o			V		o	1	1	13, 10, 7		13	13
22	22	0	V\\	b	i		V	V						\\	M	1	1	1, 5, 2		1	1
23	23	3/8	#viio2	b	i		#viio2	#vii		o	2				o7	1	1	-4, 5, 2, -1		5	-4
24	24	0	viio7/VII	b	i		viio7/VII	vii		o	7		VII		o7	1	1	3, 0, -3, -6		3	3
25	25	0	VII	b	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
25	25	1/4	VII(b6)	b	i		VII(b6)	VII				b6			M	1	1	-2, 2, -6		-2	-2
25	25	3/8	VII	b	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
26	26	0	viio7/VII	b	i		viio7/VII	vii		o	7		VII		o7	1	1	3, 0, -3, -6		3	3
27	27	0	VII	b	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
27	27	1/4	VII(b6)	b	i		VII(b6)	VII				b6			M	1	1	-2, 2, -6		-2	-2
