mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.c.i	c	i		i	i						m	1	1	0, -3, 1		0	0
5	5	0	0	4/4	1	1	iv	c	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
5	5	1/4	1/4	4/4	1	1	V6/iv	c	i		V6/iv	V		6		iv		M	1	1	4, 1, 0		0	4
5	5	1/2	1/2	4/4	1	1	iv	c	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
6	6	0	0	4/4	1	1	V64/iv	c	i		V64/iv	V		64		iv		M	1	1	1, 0, 4		0	1
6	6	1/4	1/4	4/4	1	1	iv	c	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
6	6	1/2	1/2	4/4	1	1	III64/iv	c	i		III64/iv	III		64		iv		M	1	1	-3, -4, 0		-4	-3
6	6	3/4	3/4	4/4	1	1	VI/iv	c	i		VI/iv	VI				iv		M	1	1	-5, -1, -4		-5	-5
7	7	0	0	4/4	1	1	V(64)	c	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
7	7	1/2	1/2	4/4	1	1	V	c	i		V	V						M	1	1	1, 5, 2		1	1
8	8	0	0	4/4	1	1	i\\	c	i		i	i					\\	m	1	1	0, -3, 1		0	0
9	9	0	0	4/4	1	1	VI	c	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
9	9	1/4	1/4	4/4	1	1	iio64	c	i		iio64	ii	o	64				o	1	1	-4, 2, -1		2	-4
9	9	3/4	3/4	4/4	1	1	iv64	c	i		iv64	iv		64				m	1	1	0, -1, -4		-1	0
10	10	0	0	4/4	1	1	V	c	i		V	V						M	1	1	1, 5, 2		1	1
10	10	1/2	1/2	4/4	1	1	i6	c	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
10	10	3/4	3/4	4/4	1	1	V7	c	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
11	11	0	0	4/4	1	1	i	c	i		i	i						m	1	1	0, -3, 1		0	0
13	13	0	0	4/4	1	1	iv7(9)	c	i		iv7(9)	iv		7	9			mm7	1	1	-1, -4, 0, -3	1	-1	-1
13	13	1/4	1/4	4/4	1	1	iio6	c	i		iio6	ii	o	6				o	1	1	-1, -4, 2		2	-1
13	13	3/4	3/4	4/4	1	1	iio43	c	i		iio43	ii	o	43				o7	1	1	-4, -7, 2, -1		2	-4
14	14	0	0	4/4	1	1	V	c	i		V	V						M	1	1	1, 5, 2		1	1
14	14	1/4	1/4	4/4	1	1	V2	c	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
14	14	1/2	1/2	4/4	1	1	i6	c	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
14	14	3/4	3/4	4/4	1	1	V7	c	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
15	15	0	0	4/4	1	1	i	c	i		i	i						m	1	1	0, -3, 1		0	0
16	16	0	0	4/4	1	1	viio	c	i		viio	vii	o					o	1	1	-2, -5, -8		-2	-2
17	17	0	0	4/4	1	1	i	c	i		i	i						m	1	1	0, -3, 1		0	0
18	18	0	0	4/4	1	1	viio	c	i		viio	vii	o					o	1	1	-2, -5, -8		-2	-2
19	19	0	0	4/4	1	1	i	c	i		i	i						m	1	1	0, -3, 1		0	0
19	19	3/4	3/4	4/4	1	1	V43	c	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
20	20	0	0	4/4	1	1	i6	c	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
