mc	mn	onset	label
1	1	0	.c.i
1	1	1/8	V43
1	1	1/4	i6
1	1	3/8	V6/iv
2	2	0	iv(4)
2	2	1/8	ii%7
2	2	1/4	i6
2	2	3/8	i
3	3	0	.bII
3	3	1/8	VI6
3	3	1/4	V6
3	3	3/8	V7
4	4	0	VI
4	4	1/8	.bII6
4	4	1/4	V(64)
4	4	3/8	V7
5	5	0	i\\
5	5	1/8	i6
5	5	1/4	i64
5	5	3/8	i
6	6	0	i
6	6	1/8	V6
6	6	1/4	i
6	6	3/8	i64
7	7	0	V2/iv
7	7	1/8	iv6
7	7	1/4	i64
7	7	3/8	i6
8	8	0	ii%65
8	8	1/8	ii%43
8	8	1/4	V
8	8	3/8	#viio43
9	9	0	i6
9	9	1/8	#viio6
9	9	1/4	i\\
9	9	3/8	i6
10	10	0	i
10	10	1/8	V6
10	10	1/4	i
10	10	3/8	i64
11	11	0	V2/iv
11	11	1/8	iv6
11	11	1/4	i64
11	11	3/8	i6
12	12	0	III.vii%65
12	12	1/8	vii%43
12	12	1/4	I6
12	12	3/8	IV6
13	13	0	V(64)
13	13	1/8	V7
13	13	1/4	I\\
13	13	3/8	I6
14	14	0	vii%65
14	14	1/8	viio43
14	14	1/4	I6
14	14	3/8	IV6
14	14	7/16	iv6
15	15	0	V(64)
15	15	1/8	V7
15	15	1/4	I\\
15	15	3/8	V+6
16	16	0	I(13)
16	16	1/8	V+6
16	16	1/4	I
16	16	3/8	V+6
17	17	0	I(13)
17	17	1/8	V+6
17	17	1/4	I
17	17	3/8	V+6
18	18	0	I
18	18	1/8	i.#viio43
18	18	1/4	I6
18	18	3/8	#viio43
19	19	0	I6(9)
19	19	1/8	#viio43(+2)
19	19	1/4	I6
19	19	3/8	V+6/IV
20	20	0	IV(13)
20	20	1/8	V+6/IV
20	20	1/4	IV
20	20	3/8	V+6/IV
21	21	0	IV(13)
21	21	1/8	V+6/IV
21	21	1/4	IV
21	21	3/8	V+6/IV
22	22	0	IV
22	22	1/8	#viio43/ii
22	22	1/4	V6/V
22	22	3/8	.It6/V
23	23	0	V(9)/V
23	23	1/8	V/V
23	23	1/4	V65
23	23	3/8	V7
24	24	0	VI
24	24	1/8	i6
24	24	1/4	ii%65
24	24	3/8	V
25	25	0	i
25	25	1/8	V6
25	25	1/4	i
25	25	3/8	i64
26	26	0	V2/iv
26	26	1/8	iv6
26	26	1/4	i64
26	26	3/8	i6
27	27	0	ii%65
27	27	1/8	ii%43
27	27	1/4	V
27	27	3/8	#viio43
28	28	0	i6
28	28	1/8	#viio6
28	28	1/4	i\\
28	28	3/8	V2/iv
29	29	0	iv6
29	29	1/8	V64/iv
29	29	1/4	iv6
29	29	3/8	V64/iv
30	30	0	iv6
30	30	1/8	V64(b9)/iv
30	30	1/4	iv6
30	30	3/8	V64/iv
31	31	0	iv6
31	31	1/8	ii%65
31	31	1/4	V(64)
31	31	3/8	ii%43
32	32	0	V(64)
32	32	1/8	i
32	32	1/4	V
32	32	3/8	V6
33	33	0	#viio43/iv
33	33	1/8	#viio2/iv
33	33	1/4	V/iv
33	33	3/8	V2/iv
34	34	0	iv6
34	34	1/8	V64/iv
34	34	1/4	iv6
34	34	3/8	V64/iv
35	35	0	iv6
35	35	1/8	V64(b9)
35	35	1/4	iv6
35	35	3/8	V64/iv
36	36	0	iv6
36	36	1/8	V(64)
36	36	1/4	viio7/V
36	36	3/8	viio65/V
37	37	0	V(64)
37	37	1/8	i
37	37	1/4	V
37	37	3/8	V6
38	38	0	i\\
38	38	1/8	V43(+4)
38	38	1/4	i6
38	38	3/8	V6/iv
39	39	0	iv(4)
39	39	1/8	ii%7
39	39	1/4	i
40	40	0	.bII
40	40	1/8	VI6
40	40	1/4	V6
40	40	3/8	V7
41	41	0	VI
41	41	1/8	.bII6
41	41	1/4	V(64)
41	41	3/8	V
42	42	0	VI
42	42	1/8	iv
42	42	1/4	i6
42	42	3/8	ii%7
43	43	0	i\\
