mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	15.75	0	9/16	6/8	3	1	a.i	a	i		i		i							m	1	1	0, -3, 1		0	0
7	6	63/4	1.5	0	0	6/8	3	1	i	a	i		i		i							m	1	1	0, -3, 1		0	0
7	6	69/4	3.0	3/8	3/8	6/8	3	1	V	a	i		V		V							M	1	1	1, 5, 2		1	1
8	7	81/4	3.0	3/8	3/8	6/8	3	1	i	a	i		i		i							m	1	1	0, -3, 1		0	0
9	8	93/4	1.0	3/8	3/8	6/8	3	1	iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
9	8	97/4	0.5	5/8	5/8	6/8	3	1	V6/V	a	i		V6/V		V		6		V			M	1	1	6, 3, 2		2	6
10	9	99/4	6.0	0	0	6/8	3	1	V\\	a	i		V		V						\\	M	1	1	1, 5, 2		1	1
12	11	123/4	1.5	0	0	6/8	3	1	III.I[I	a	III	I	I		I							M	1	0	0, 4, 1		0	0
12	11	129/4	1.5	3/8	3/8	6/8	3	1	ivo6	a	III	I	ivo6		iv	o	6					o	1	0	-4, -7, -1		-1	-4
13	12	135/4	1.5	0	0	6/8	3	1	I]	a	III	I	I		I							M	1	0	0, 4, 1		0	0
13	12	141/4	1.5	3/8	3/8	6/8	3	1	V(64)	a	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
14	13	147/4	1.5	0	0	6/8	3	1	v.iv7	a	v		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
14	13	153/4	1.0	3/8	3/8	6/8	3	1	V(64)	a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
14	13	157/4	0.5	5/8	5/8	6/8	3	1	V7	a	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	14	159/4	3.0	0	0	6/8	3	1	i	a	v		i		i							m	1	1	0, -3, 1		0	0
16	15	171/4	1.5	0	0	6/8	3	1	VII.viio6	a	VII		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
16	15	177/4	1.5	3/8	3/8	6/8	3	1	I6	a	VII		I6		I		6					M	1	0	4, 1, 0		0	4
17	16	183/4	1.5	0	0	6/8	3	1	viio6	a	VII		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
17	16	189/4	1.5	3/8	3/8	6/8	3	1	I6	a	VII		I6		I		6					M	1	0	4, 1, 0		0	4
18	17	195/4	1.5	0	0	6/8	3	1	i.#viio6	a	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
18	17	201/4	1.5	3/8	3/8	6/8	3	1	i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
19	18	207/4	1.5	0	0	6/8	3	1	#viio6	a	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
19	18	213/4	1.5	3/8	3/8	6/8	3	1	i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
20	19	219/4	1.5	0	0	6/8	3	1	iv.V65	a	iv		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
20	19	225/4	1.5	3/8	3/8	6/8	3	1	i	a	iv		i		i							m	1	1	0, -3, 1		0	0
21	20	231/4	1.5	0	0	6/8	3	1	V65/iv	a	iv		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
21	20	237/4	1.5	3/8	3/8	6/8	3	1	iv	a	iv		iv		iv							m	1	1	-1, -4, 0		-1	-1
22	21	243/4	1.5	0	0	6/8	3	1	i6	a	iv		i6		i		6					m	1	1	-3, 1, 0		0	-3
22	21	249/4	1.5	3/8	3/8	6/8	3	1	iv7	a	iv		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
23	22	255/4	1.0	0	0	6/8	3	1	V(64)	a	iv		V(64)		V			64				M	1	1	1, 0, -3		1	1
23	22	259/4	0.5	1/4	1/4	6/8	3	1	V7	a	iv		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
23	22	261/4	1.0	3/8	3/8	6/8	3	1	i\\	a	iv		i		i						\\	m	1	1	0, -3, 1		0	0
23	22	265/4	6.5	5/8	5/8	6/8	3	1	i.V	a	i		V		V							M	1	1	1, 5, 2		1	1
26	25	291/4	1.5	0	0	6/8	3	1	i	a	i		i		i							m	1	1	0, -3, 1		0	0
