mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.g.i		g	i		i	i						m	1	1	0, -3, 1		0	0
1	1	1/8	1/8	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
1	1	1/4	1/4	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
1	1	3/8	3/8	3/4	1	1	I6		g	i		I6	I		6				M	1	1	4, 1, 0		0	4
1	1	1/2	1/2	3/4	1	1	V2		g	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
1	1	5/8	5/8	3/4	1	1	V(#7)		g	i		V(#7)	V			#7			M	1	1	1, 5, 2	6	1	1
2	2	0	0	3/4	1	1	V		g	i		V	V						M	1	1	1, 5, 2		1	1
3	3	0	0	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
3	3	1/8	1/8	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
3	3	1/4	1/4	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
3	3	3/8	3/8	3/4	1	1	I6		g	i		I6	I		6				M	1	1	4, 1, 0		0	4
3	3	1/2	1/2	3/4	1	1	V2		g	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
3	3	5/8	5/8	3/4	1	1	V(#7)		g	i		V(#7)	V			#7			M	1	1	1, 5, 2	6	1	1
4	4	0	0	3/4	1	1	V		g	i		V	V						M	1	1	1, 5, 2		1	1
5	5	0	0	3/4	1	1	iv		g	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
5	5	1/8	1/8	3/4	1	1	i64		g	i		i64	i		64				m	1	1	1, 0, -3		0	1
5	5	1/4	1/4	3/4	1	1	iv6		g	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
5	5	3/8	3/8	3/4	1	1	IV6		g	i		IV6	IV		6				M	1	1	3, 0, -1		-1	3
5	5	1/2	1/2	3/4	1	1	i2		g	i		i2	i		2				mm7	1	1	-2, 0, -3, 1		0	-2
5	5	5/8	5/8	3/4	1	1	i(#7)		g	i		i(#7)	i			#7			m	1	1	0, -3, 1	5	0	0
6	6	0	0	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
7	7	0	0	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
7	7	1/8	1/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
7	7	1/4	1/4	3/4	1	1	V2		g	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
7	7	3/8	3/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
7	7	1/2	1/2	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
7	7	5/8	5/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
8	8	0	0	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
9	9	0	0	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
9	9	1/8	1/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
9	9	1/4	1/4	3/4	1	1	V2		g	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
9	9	3/8	3/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
9	9	1/2	1/2	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
9	9	5/8	5/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
10	10	0	0	3/4	1	1	i\\		g	i		i	i					\\	m	1	1	0, -3, 1		0	0
11	11	0	0	3/4	1	1	V		g	i		V	V						M	1	1	1, 5, 2		1	1
11	11	1/4	1/4	3/4	1	1	i64		g	i		i64	i		64				m	1	1	1, 0, -3		0	1
11	11	3/8	3/8	3/4	1	1	V6		g	i		V6	V		6				M	1	1	5, 2, 1		1	5
11	11	1/2	1/2	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
11	11	5/8	5/8	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
12	12	0	0	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
12	12	1/8	1/8	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
12	12	1/4	1/4	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
12	12	3/8	3/8	3/4	1	1	V43		g	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
12	12	1/2	1/2	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
12	12	5/8	5/8	3/4	1	1	V6/v		g	i		V6/v	V		6		v		M	1	1	6, 3, 2		2	6
13	13	0	0	3/4	1	1	v		g	i		v	v						m	1	1	1, -2, 2		1	1
13	13	1/8	1/8	3/4	1	1	V64/v		g	i		V64/v	V		64		v		M	1	1	3, 2, 6		2	3
13	13	1/4	1/4	3/4	1	1	v6		g	i		v6	v		6				m	1	1	-2, 2, 1		1	-2
13	13	3/8	3/8	3/4	1	1	V7(+4)/v		g	i		V7(+4)/v	V		7	+4	v		Mm7	1	1	2, 6, 3, 0	1	2	2
13	13	1/2	1/2	3/4	1	1	v		g	i		v	v						m	1	1	1, -2, 2		1	1
14	14	0	0	3/4	1	1	V		g	i		V	V						M	1	1	1, 5, 2		1	1
14	14	1/4	1/4	3/4	1	1	i64		g	i		i64	i		64				m	1	1	1, 0, -3		0	1
14	14	3/8	3/8	3/4	1	1	V6		g	i		V6	V		6				M	1	1	5, 2, 1		1	5
14	14	1/2	1/2	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
14	14	5/8	5/8	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
15	15	0	0	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
15	15	1/8	1/8	3/4	1	1	V64		g	i		V64	V		64				M	1	1	2, 1, 5		1	2
15	15	1/4	1/4	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
15	15	3/8	3/8	3/4	1	1	V43		g	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
15	15	1/2	1/2	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
15	15	5/8	5/8	3/4	1	1	v.V6		g	v		V6	V		6				M	1	1	5, 2, 1		1	5
16	16	0	0	3/4	1	1	i		g	v		i	i						m	1	1	0, -3, 1		0	0
16	16	1/8	1/8	3/4	1	1	V64		g	v		V64	V		64				M	1	1	2, 1, 5		1	2
16	16	1/4	1/4	3/4	1	1	i6		g	v		i6	i		6				m	1	1	-3, 1, 0		0	-3
16	16	3/8	3/8	3/4	1	1	V7(+4)		g	v		V7(+4)	V		7	+4			Mm7	1	1	1, 5, 2, -1	0	1	1
16	16	1/2	1/2	3/4	1	1	i		g	v		i	i						m	1	1	0, -3, 1		0	0
16	16	5/8	5/8	3/4	1	1	i6		g	v		i6	i		6				m	1	1	-3, 1, 0		0	-3
17	17	0	0	3/4	1	1	V7/V		g	v		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
17	17	1/8	1/8	3/4	1	1	i6		g	v		i6	i		6				m	1	1	-3, 1, 0		0	-3
17	17	1/4	1/4	3/4	1	1	V7/V		g	v		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
17	17	3/8	3/8	3/4	1	1	i6		g	v		i6	i		6				m	1	1	-3, 1, 0		0	-3
17	17	1/2	1/2	3/4	1	1	V7		g	v		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
17	17	5/8	5/8	3/4	1	1	V		g	v		V	V						M	1	1	1, 5, 2		1	1
18	18	0	0	3/4	1	1	i		g	v		i	i						m	1	1	0, -3, 1		0	0
18	18	1/8	1/8	3/4	1	1	V(64)		g	v		V(64)	V			64			M	1	1	1, 0, -3		1	1
18	18	1/4	1/4	3/4	1	1	V7		g	v		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
18	18	3/8	3/8	3/4	1	1	V		g	v		V	V						M	1	1	1, 5, 2		1	1
18	18	1/2	1/2	3/4	1	1	i		g	v		i	i						m	1	1	0, -3, 1		0	0
18	18	5/8	5/8	3/4	1	1	i6		g	v		i6	i		6				m	1	1	-3, 1, 0		0	-3
19	19	0	0	3/4	1	1	V7/V		g	v		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
19	19	1/8	1/8	3/4	1	1	i6		g	v		i6	i		6				m	1	1	-3, 1, 0		0	-3
19	19	1/4	1/4	3/4	1	1	V7/V		g	v		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
19	19	3/8	3/8	3/4	1	1	i6		g	v		i6	i		6				m	1	1	-3, 1, 0		0	-3
19	19	1/2	1/2	3/4	1	1	V7		g	v		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
19	19	5/8	5/8	3/4	1	1	V		g	v		V	V						M	1	1	1, 5, 2		1	1
20	20	0	0	3/4	1	1	i		g	v		i	i						m	1	1	0, -3, 1		0	0
20	20	1/8	1/8	3/4	1	1	V(64)		g	v		V(64)	V			64			M	1	1	1, 0, -3		1	1
20	20	1/4	1/4	3/4	1	1	V7		g	v		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
20	20	3/8	3/8	3/4	1	1	V		g	v		V	V						M	1	1	1, 5, 2		1	1
20	20	1/2	1/2	3/4	1	1	i\\		g	v		i	i					\\	m	1	1	0, -3, 1		0	0
20	20	5/8	5/8	3/4	1	1	i.i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
21	21	0	0	3/4	1	1	#viio43(+2)		g	i		#viio43(+2)	#vii	o	43	+2			o7	1	1	-1, -4, 5, 2	0	5	-1
21	21	1/8	1/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
21	21	1/4	1/4	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
21	21	3/8	3/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
21	21	1/2	1/2	3/4	1	1	#viio43(+2)		g	i		#viio43(+2)	#vii	o	43	+2			o7	1	1	-1, -4, 5, 2	0	5	-1
21	21	5/8	5/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
22	22	0	0	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
22	22	1/8	1/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
22	22	1/4	1/4	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
22	22	3/8	3/8	3/4	1	1	i6		g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
22	22	1/2	1/2	3/4	1	1	V(64)		g	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
22	22	5/8	5/8	3/4	1	1	V7		g	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
23	23	0	0	3/4	1	1	V(64)		g	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
23	23	1/8	1/8	3/4	1	1	V7		g	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
23	23	1/4	1/4	3/4	1	1	V(64)		g	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
23	23	3/8	3/8	3/4	1	1	V7(+4)		g	i		V7(+4)	V		7	+4			Mm7	1	1	1, 5, 2, -1	0	1	1
23	23	1/2	1/2	3/4	1	1	i		g	i		i	i						m	1	1	0, -3, 1		0	0
