mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.E.I[I		E	I	I	I		I							M	0	0	0, 4, 1		0	0
1	1	1/8	1/8	3/4	1	1	V		E	I	I	V		V							M	0	0	1, 5, 2		1	1
1	1	1/4	1/4	3/4	1	1	I		E	I	I	I		I							M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	3/4	1	1	V7		E	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
1	1	5/8	5/8	3/4	1	1	I]		E	I	I	I		I							M	0	0	0, 4, 1		0	0
2	2	0	0	3/4	1	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1
3	3	0	0	3/4	1	1	I[I		E	I	I	I		I							M	0	0	0, 4, 1		0	0
3	3	1/8	1/8	3/4	1	1	V		E	I	I	V		V							M	0	0	1, 5, 2		1	1
3	3	1/4	1/4	3/4	1	1	I		E	I	I	I		I							M	0	0	0, 4, 1		0	0
3	3	1/2	1/2	3/4	1	1	V7		E	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	5/8	5/8	3/4	1	1	I]		E	I	I	I		I							M	0	0	0, 4, 1		0	0
4	4	0	0	3/4	1	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1
4	4	1/8	1/8	3/4	1	1	vi	IV6	E	I		vi		vi							m	0	0	3, 0, 4		3	3
4	4	1/4	1/4	3/4	1	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1
4	4	3/8	3/8	3/4	1	1	IV(2)		E	I		IV(2)		IV			2				M	0	0	1, 3, 0		-1	1
4	4	1/2	1/2	3/4	1	1	I64		E	I		I64		I		64					M	0	0	1, 0, 4		0	1
4	4	5/8	5/8	3/4	1	1	#viio7/vi		E	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
5	5	0	0	3/4	1	1	vi		E	I		vi		vi							m	0	0	3, 0, 4		3	3
5	5	1/8	1/8	3/4	1	1	#viio7/vi		E	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
5	5	1/4	1/4	3/4	1	1	vi		E	I		vi		vi							m	0	0	3, 0, 4		3	3
5	5	3/8	3/8	3/4	1	1	#viio7/vi		E	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
5	5	1/2	1/2	3/4	1	1	vi		E	I		vi		vi							m	0	0	3, 0, 4		3	3
5	5	5/8	5/8	3/4	1	1	#viio43/ii		E	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
6	6	0	0	3/4	1	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	6	1/8	1/8	3/4	1	1	V64/ii		E	I		V64/ii		V		64		ii			M	0	0	4, 3, 7		3	4
6	6	1/4	1/4	3/4	1	1	ii		E	I		ii		ii							m	0	0	2, -1, 3		2	2
6	6	3/8	3/8	3/4	1	1	ii2		E	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
6	6	1/2	1/2	3/4	1	1	viio		E	I		viio		vii	o						o	0	0	5, 2, -1		5	5
6	6	5/8	5/8	3/4	1	1	ii43		E	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
7	7	0	0	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	1/4	1/4	3/4	1	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1
8	8	0	0	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	1/4	1/4	3/4	1	1	V\\		E	I		V		V						\\	M	0	0	1, 5, 2		1	1
8	8	5/8	5/8	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
9	9	1/2	1/2	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	5/8	5/8	3/4	1	1	I64		E	I		I64		I		64					M	0	0	1, 0, 4		0	1
10	10	0	0	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
10	10	5/8	5/8	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	0	0	3/4	1	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
11	11	1/2	1/2	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	0	3/4	1	1	I\\		E	I		I		I						\\	M	0	0	0, 4, 1		0	0
12	12	1/2	1/2	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	0	0	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
13	13	1/2	1/2	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
13	13	5/8	5/8	3/4	1	1	I64		E	I		I64		I		64					M	0	0	1, 0, 4		0	1
14	14	0	0	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
14	14	5/8	5/8	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	0	0	3/4	1	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
15	15	1/2	1/2	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	3/4	1	1	I\\		E	I		I		I						\\	M	0	0	0, 4, 1		0	0
17	17	0	0	3/4	1	1	V65/V		E	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
17	17	1/2	1/2	3/4	1	1	V2		E	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	18	0	0	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	18	3/16	3/16	3/4	1	1	V43(4)		E	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
18	18	1/4	1/4	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
18	18	5/8	5/8	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
19	19	0	0	3/4	1	1	IV		E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
19	19	3/8	3/8	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
19	19	1/2	1/2	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
19	19	5/8	5/8	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
20	20	0	0	3/4	1	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1
20	20	7/16	7/16	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
20	20	1/2	1/2	3/4	1	1	V\\		E	I		V		V						\\	M	0	0	1, 5, 2		1	1
21	21	0	0	3/4	1	1	V65/V		E	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
21	21	1/2	1/2	3/4	1	1	V2		E	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
22	22	0	0	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
22	22	3/16	3/16	3/4	1	1	V43(4)		E	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
22	22	1/4	1/4	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
22	22	5/8	5/8	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	3/8	3/8	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
23	23	1/2	1/2	3/4	1	1	V43	viio6	E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
23	23	11/16	11/16	3/4	1	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1
24	24	0	0	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
24	24	1/4	1/4	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	24	1/2	1/2	3/4	1	1	I\\		E	I		I		I						\\	M	0	0	0, 4, 1		0	0
25	25	0	0	3/4	1	1	i.i[i		E	i	i	i		i							m	0	1	0, -3, 1		0	0
25	25	1/8	1/8	3/4	1	1	V		E	i	i	V		V							M	0	1	1, 5, 2		1	1
25	25	1/4	1/4	3/4	1	1	i		E	i	i	i		i							m	0	1	0, -3, 1		0	0
25	25	1/2	1/2	3/4	1	1	V7		E	i	i	V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
25	25	5/8	5/8	3/4	1	1	i]		E	i	i	i		i							m	0	1	0, -3, 1		0	0
26	26	0	0	3/4	1	1	V		E	i		V		V							M	0	1	1, 5, 2		1	1
27	27	0	0	3/4	1	1	i[i		E	i	i	i		i							m	0	1	0, -3, 1		0	0
27	27	1/8	1/8	3/4	1	1	V		E	i	i	V		V							M	0	1	1, 5, 2		1	1
27	27	1/4	1/4	3/4	1	1	i		E	i	i	i		i							m	0	1	0, -3, 1		0	0
27	27	1/2	1/2	3/4	1	1	V7		E	i	i	V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
27	27	5/8	5/8	3/4	1	1	i]		E	i	i	i		i							m	0	1	0, -3, 1		0	0
28	28	0	0	3/4	1	1	V\\		E	i		V		V						\\	M	0	1	1, 5, 2		1	1
29	29	0	0	3/4	1	1	i		E	i		i		i							m	0	1	0, -3, 1		0	0
31	31	0	0	3/4	1	1	V(4)		E	i		V(4)		V			4				M	0	1	1, 0, 2		1	1
31	31	1/4	1/4	3/4	1	1	V(42)		E	i		V(42)		V			42				M	0	1	-4, 0, 2		1	-4
31	31	1/2	1/2	3/4	1	1	V7		E	i		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
32	32	0	0	3/4	1	1	i\\		E	i		i		i						\\	m	0	1	0, -3, 1		0	0
32	32	5/8	5/8	3/4	1	1	V		E	i		V		V							M	0	1	1, 5, 2		1	1
33	33	0	0	3/4	1	1	i		E	i		i		i							m	0	1	0, -3, 1		0	0
35	35	0	0	3/4	1	1	V(4)		E	i		V(4)		V			4				M	0	1	1, 0, 2		1	1
35	35	1/4	1/4	3/4	1	1	V(42)		E	i		V(42)		V			42				M	0	1	-4, 0, 2		1	-4
35	35	1/2	1/2	3/4	1	1	V7		E	i		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
36	36	0	0	3/4	1	1	i\\		E	i		i		i						\\	m	0	1	0, -3, 1		0	0
37	37	0	0	3/4	1	1	I.V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
38	38	0	0	3/4	1	1	I64		E	I		I64		I		64					M	0	0	1, 0, 4		0	1
39	39	0	0	3/4	1	1	I64(13)		E	I		I64(13)		I		64	13				M	0	0	1, 0, 4	3	0	1
39	39	1/4	1/4	3/4	1	1	IV		E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
39	39	3/8	3/8	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
39	39	1/2	1/2	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
39	39	5/8	5/8	3/4	1	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
40	40	0	0	3/4	1	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1
40	40	7/16	7/16	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
40	40	1/2	1/2	3/4	1	1	V\\		E	I		V		V						\\	M	0	0	1, 5, 2		1	1
41	41	0	0	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
42	42	0	0	3/4	1	1	I64		E	I		I64		I		64					M	0	0	1, 0, 4		0	1
43	43	0	0	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
43	43	1/2	1/2	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	0	0	3/4	1	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0
44	44	1/4	1/4	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	1/2	1/2	3/4	1	1	I\\		E	I		I		I						\\	M	0	0	0, 4, 1		0	0
45	45	0	0	3/4	1	1	.bVI[bVI		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
45	45	1/8	1/8	3/4	1	1	viio2		E	I	bVI	viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
45	45	1/4	1/4	3/4	1	1	VI		E	I	bVI	VI		VI							M	0	0	3, 7, 4		3	3
45	45	3/8	3/8	3/4	1	1	.Ger6		E	I	bVI	Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
45	45	1/2	1/2	3/4	1	1	V		E	I	bVI	V		V							M	0	0	1, 5, 2		1	1
45	45	5/8	5/8	3/4	1	1	ii%43]		E	I	bVI	ii%43		ii	%	43					%7	0	0	-4, 0, 2, -1		2	-4
46	46	0	0	3/4	1	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1
46	46	5/8	5/8	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
47	47	0	0	3/4	1	1	.bVI[bVI		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
47	47	1/8	1/8	3/4	1	1	viio2(+b4)		E	I	bVI	viio2(+b4)		vii	o	2	+b4				o7	0	0	-4, 5, 2, -1	-3	5	-4
47	47	1/4	1/4	3/4	1	1	VI		E	I	bVI	VI		VI							M	0	0	3, 7, 4		3	3
47	47	3/8	3/8	3/4	1	1	.Ger6		E	I	bVI	Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
47	47	1/2	1/2	3/4	1	1	V		E	I	bVI	V		V							M	0	0	1, 5, 2		1	1
47	47	5/8	5/8	3/4	1	1	.bVI]		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
48	48	0	0	3/4	1	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1
48	48	11/16	11/16	3/4	1	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	49	0	0	3/4	1	1	.bVI[bVI		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
49	49	1/8	1/8	3/4	1	1	viio2(+b4)		E	I	bVI	viio2(+b4)		vii	o	2	+b4				o7	0	0	-4, 5, 2, -1	-3	5	-4
49	49	1/4	1/4	3/4	1	1	.bVI		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
49	49	3/8	3/8	3/4	1	1	viio2(+b4)		E	I	bVI	viio2(+b4)		vii	o	2	+b4				o7	0	0	-4, 5, 2, -1	-3	5	-4
49	49	1/2	1/2	3/4	1	1	.bVI		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
49	49	5/8	5/8	3/4	1	1	V64		E	I	bVI	V64		V		64					M	0	0	2, 1, 5		1	2
50	50	0	0	3/4	1	1	.bVI		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
50	50	1/8	1/8	3/4	1	1	.bii64		E	I	bVI	bii64		bii		64					m	0	0	-4, -5, -8		-5	-4
50	50	1/4	1/4	3/4	1	1	.bVI		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
50	50	3/8	3/8	3/4	1	1	viio2/bVI		E	I	bVI	viio2/bVI		vii	o	2		bVI			o7	0	0	-8, 1, -2, -5		1	-8
50	50	1/2	1/2	3/4	1	1	.bVI		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
50	50	5/8	5/8	3/4	1	1	viio2/bVI		E	I	bVI	viio2/bVI		vii	o	2		bVI			o7	0	0	-8, 1, -2, -5		1	-8
51	51	0	0	3/4	1	1	.bVI		E	I	bVI	bVI		bVI							M	0	0	-4, 0, -3		-4	-4
51	51	1/8	1/8	3/4	1	1	#viio6(b6)/ii		E	I	bVI	#viio6(b6)/ii		#vii	o	6	b6	ii			o	0	0	4, -4, 7		7	4
51	51	1/4	1/4	3/4	1	1	iio6		E	I	bVI	iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
51	51	3/8	3/8	3/4	1	1	#viio6(b6)/ii		E	I	bVI	#viio6(b6)/ii		#vii	o	6	b6	ii			o	0	0	4, -4, 7		7	4
51	51	1/2	1/2	3/4	1	1	iio6		E	I	bVI	iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
51	51	5/8	5/8	3/4	1	1	#viio6(b6)/ii		E	I	bVI	#viio6(b6)/ii		#vii	o	6	b6	ii			o	0	0	4, -4, 7		7	4
52	52	0	0	3/4	1	1	iio6		E	I	bVI	iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
52	52	1/8	1/8	3/4	1	1	V7/bII		E	I	bVI	V7/bII		V		7		bII			Mm7	0	0	-4, 0, -3, -6		-4	-4
52	52	1/4	1/4	3/4	1	1	iio6		E	I	bVI	iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
52	52	3/8	3/8	3/4	1	1	V7/bII		E	I	bVI	V7/bII		V		7		bII			Mm7	0	0	-4, 0, -3, -6		-4	-4
52	52	1/2	1/2	3/4	1	1	iio6		E	I	bVI	iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
52	52	5/8	5/8	3/4	1	1	.Ger6]		E	I	bVI	Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
53	53	0	0	3/4	1	1	V[I64		E	I	V	I64		I		64					M	0	0	1, 0, 4		0	1
53	53	1/8	1/8	3/4	1	1	iv6		E	I	V	iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
53	53	1/4	1/4	3/4	1	1	viio6/V		E	I	V	viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
