mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	18.0	0	0	6/8	3	1	Eb.I[I	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
7	7	18	18	1.5	0	0	6/8	3	1	V2	Eb	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	39/2	39/2	1.5	3/8	3/8	6/8	3	1	I	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
8	8	21	21	1.5	0	0	6/8	3	1	V2	Eb	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
8	8	45/2	45/2	1.5	3/8	3/8	6/8	3	1	I]	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
9	9	24	24	1.5	0	0	6/8	3	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
9	9	51/2	51/2	1.5	3/8	3/8	6/8	3	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
10	10	27	27	1.5	0	0	6/8	3	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
10	10	57/2	57/2	1.5	3/8	3/8	6/8	3	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
11	11	30	30	1.5	0	0	6/8	3	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
11	11	63/2	63/2	1.5	3/8	3/8	6/8	3	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
12	12	33	33	1.5	0	0	6/8	3	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
12	12	69/2	69/2	1.5	3/8	3/8	6/8	3	1	V7/IV	Eb	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
13	13	36	36	6.0	0	0	6/8	3	1	V7/bVII	Eb	I		V7/bVII		V		7		bVII			Mm7	0	0	-1, 3, 0, -3		-1	-1
15	15	42	42	6.0	0	0	6/8	3	1	bVII	Eb	I		bVII		bVII							M	0	0	-2, 2, -1		-2	-2
17	17	48	48	3.0	0	0	6/8	3	1	V43/V	Eb	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
18	18	51	51	3.0	0	0	6/8	3	1	Ger6	Eb	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
19	19	54	54	3.0	0	0	6/8	3	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
20	20	57	57	1.0	0	0	6/8	3	1	V(964)	Eb	I		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
20	20	58	58	3.5	1/4	1/4	6/8	3	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
21	21	123/2	123/2	1.0	3/8	3/8	6/8	3	1	#viio43/ii	Eb	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
21	21	125/2	125/2	0.5	5/8	5/8	6/8	3	1	V2/ii	Eb	I		V2/ii		V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
22	22	63	63	1.5	0	0	6/8	3	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
22	22	129/2	129/2	1.5	3/8	3/8	6/8	3	1	V7(964)	Eb	I		V7(964)		V		7	964				Mm7	0	0	1, 0, 4, -1	3	1	1
23	23	66	66	1.0	0	0	6/8	3	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
23	23	67	67	0.5	1/4	1/4	6/8	3	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	23	135/2	135/2	1.0	3/8	3/8	6/8	3	1	V7(9)	Eb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
23	23	137/2	137/2	0.5	5/8	5/8	6/8	3	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	24	69	69	9.0	0	0	6/8	3	1	I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
27	27	78	78	8.5	0	0	6/8	3	1	bIII.vi	Eb	bIII		vi		vi							m	0	0	3, 0, 4		3	3
29	29	173/2	173/2	0.5	5/8	5/8	6/8	3	1	vii%7/V	Eb	bIII		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
30	30	87	87	4.5	0	0	6/8	3	1	V	Eb	bIII		V		V							M	0	0	1, 5, 2		1	1
31	31	183/2	183/2	1.5	3/8	3/8	6/8	3	1	Fr6	Eb	bIII		Fr6	Fr	V		43	b5	V			Fr	0	0	-4, 0, 2, 6		2	-4
32	32	93	93	1.5	0	0	6/8	3	1	V(4)	Eb	bIII		V(4)		V			4				M	0	0	1, 0, 2		1	1
32	32	189/2	189/2	1.0	3/8	3/8	6/8	3	1	V	Eb	bIII		V		V							M	0	0	1, 5, 2		1	1
32	32	191/2	191/2	0.5	5/8	5/8	6/8	3	1	V7	Eb	bIII		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
33	33	96	96	3.0	0	0	6/8	3	1	I\\	Eb	bIII		I		I						\\	M	0	0	0, 4, 1		0	0
34	34	99	99	3.0	0	0	6/8	3	1	I(6#4#2)	Eb	bIII		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
35	35	102	102	3.0	0	0	6/8	3	1	I	Eb	bIII		I		I							M	0	0	0, 4, 1		0	0
36	36	105	105	3.0	0	0	6/8	3	1	I(6#4#2)	Eb	bIII		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
37	37	108	108	2.5	0	0	6/8	3	1	I	Eb	bIII		I		I							M	0	0	0, 4, 1		0	0
37	37	221/2	221/2	1.5	5/8	5/8	6/8	3	1	I.V[V7	Eb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
38	38	112	112	0.5	1/4	1/4	6/8	3	1	V7(b9)	Eb	I	V	V7(b9)		V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
38	38	225/2	225/2	1.0	3/8	3/8	6/8	3	1	V7	Eb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
38	38	227/2	227/2	0.5	5/8	5/8	6/8	3	1	V7(b9)	Eb	I	V	V7(b9)		V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
39	39	114	114	3.0	0	0	6/8	3	1	V(64)	Eb	I	V	V(64)		V			64				M	0	0	1, 0, 4		1	1
40	40	117	117	3.0	0	0	6/8	3	1	V7	Eb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
41	41	120	120	3.0	0	0	6/8	3	1	V(64)	Eb	I	V	V(64)		V			64				M	0	0	1, 0, 4		1	1
42	42	123	123	1.0	0	0	6/8	3	1	V7	Eb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
42	42	124	124	0.5	1/4	1/4	6/8	3	1	V7(9)	Eb	I	V	V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
42	42	249/2	249/2	1.0	3/8	3/8	6/8	3	1	V7	Eb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
42	42	251/2	251/2	0.5	5/8	5/8	6/8	3	1	V7(9)	Eb	I	V	V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
43	43	126	126	3.0	0	0	6/8	3	1	V(64)	Eb	I	V	V(64)		V			64				M	0	0	1, 0, 4		1	1
44	44	129	129	3.0	0	0	6/8	3	1	V7/V	Eb	I	V	V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
45	45	132	132	3.0	0	0	6/8	3	1	V7]	Eb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	46	135	135	18.0	0	0	6/8	3	1	I[I\\	Eb	I	I	I		I						\\	M	0	0	0, 4, 1		0	0
52	52	153	153	1.5	0	0	6/8	3	1	V2	Eb	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
