mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
2	1	1/2	1.0	0	0	3/4	1	1	0	.A.I	dcml
2	1	3/2	1.5	1/4	1/4	3/4	1	1	0	V	dcml
2	1	3	0.5	5/8	5/8	3/4	1	1	0	V7/IV	dcml
3	2	7/2	0.75	0	0	3/4	1	1	0	IV	dcml
3	2	17/4	2.25	3/16	3/16	3/4	1	1	0	I	dcml
4	3	13/2	0.75	0	0	3/4	1	1	0	V7(6)	dcml
4	3	29/4	0.25	3/16	3/16	3/4	1	1	0	V7	dcml
4	3	15/2	2.0	1/4	1/4	3/4	1	1	0	I	dcml
5	4	19/2	0.75	0	0	3/4	1	1	0	V7(6)	dcml
5	4	41/4	0.25	3/16	3/16	3/4	1	1	0	V7	dcml
5	4	21/2	1.5	1/4	1/4	3/4	1	1	0	I\\	dcml
5	4	12	1.5	5/8	5/8	3/4	1	1	0	I	dcml
6	5	27/2	1.5	1/4	1/4	3/4	1	1	0	V	dcml
6	5	15	0.5	5/8	5/8	3/4	1	1	0	V7/IV	dcml
7	6	31/2	0.75	0	0	3/4	1	1	0	IV	dcml
7	6	65/4	2.25	3/16	3/16	3/4	1	1	0	I	dcml
8	7	37/2	0.75	0	0	3/4	1	1	0	V7(6)	dcml
8	7	77/4	0.25	3/16	3/16	3/4	1	1	0	V7	dcml
8	7	39/2	2.0	1/4	1/4	3/4	1	1	0	I	dcml
9	8	43/2	0.75	0	0	3/4	1	1	0	V7(6)	dcml
9	8	89/4	0.25	3/16	3/16	3/4	1	1	0	V7	dcml
9	8	45/2	2.0	1/4	1/4	3/4	1	1	0	I\\	dcml
10	9	49/2	0.75	0	0	3/4	1	1	0	V(96)	dcml
10	9	101/4	0.25	3/16	3/16	3/4	1	1	0	V7	dcml
10	9	51/2	1.5	1/4	1/4	3/4	1	1	0	I\\	dcml
10	9	27	1.25	5/8	5/8	3/4	1	1	0	vi	dcml
11	10	113/4	1.75	3/16	3/16	3/4	1	1	0	ii6	dcml
11	10	30	0.5	5/8	5/8	3/4	1	1	0	V64/ii	dcml
12	11	61/2	1.0	0	0	3/4	1	1	0	ii	dcml
12	11	63/2	2.0	1/4	1/4	3/4	1	1	0	vi	dcml
13	12	67/2	0.75	0	0	3/4	1	1	0	V6/vi	dcml
13	12	137/4	0.25	3/16	3/16	3/4	1	1	0	V65/vi	dcml
13	12	69/2	2.0	1/4	1/4	3/4	1	1	0	vi	dcml
14	13	73/2	0.75	0	0	3/4	1	1	0	V7(6)	dcml
14	13	149/4	0.25	3/16	3/16	3/4	1	1	0	V7	dcml
