mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	0	0	0.5	0	5/8	6/8	1	1	0	.A.	
2	1	1/2	6.0	0	0	6/8	1	1	0	I	dcml
4	3	13/2	1.5	0	0	6/8	1	1	0	V43/vi	dcml
4	3	8	1.5	3/8	3/8	6/8	1	1	0	V7/vi	dcml
5	4	19/2	1.5	0	0	6/8	1	1	0	vi	dcml
5	4	11	1.5	3/8	3/8	6/8	1	1	0	V7	dcml
6	5	25/2	9.0	0	0	6/8	1	1	0	I\\	dcml
9	8	43/2	1.5	0	0	6/8	1	1	0	V65(9)	dcml
9	8	23	1.5	3/8	3/8	6/8	1	1	0	V43	dcml
10	9	49/2	1.5	0	0	6/8	1	1	0	V65(9)	dcml
10	9	26	1.0	3/8	3/8	6/8	1	1	0	V43	dcml
10	9	27	0.5	5/8	5/8	6/8	1	1	0	V7/vi	dcml
11	10	55/2	3.0	0	0	6/8	1	1	0	vi	dcml
12	11	61/2	1.5	0	0	6/8	1	1	0	V(64)	dcml
12	11	32	1.0	3/8	3/8	6/8	1	1	0	V7(6)	dcml
12	11	33	0.5	5/8	5/8	6/8	1	1	0	V	dcml
13	12	67/2	1.5	0	0	6/8	1	1	0	I	dcml
13	12	35	1.0	3/8	3/8	6/8	1	1	0	V7(6)	dcml
13	12	36	0.5	5/8	5/8	6/8	1	1	0	V	dcml
14	13	73/2	9.0	0	0	6/8	1	1	0	I\\	dcml
17	16	91/2	1.5	0	0	6/8	1	1	0	V65(9)	dcml
17	16	47	1.5	3/8	3/8	6/8	1	1	0	V43	dcml
18	17	97/2	1.5	0	0	6/8	1	1	0	V65(9)	dcml
18	17	50	1.0	3/8	3/8	6/8	1	1	0	V43	dcml
18	17	51	0.5	5/8	5/8	6/8	1	1	0	V7/vi	dcml
19	18	103/2	3.0	0	0	6/8	1	1	0	vi	dcml
20	19	109/2	1.5	0	0	6/8	1	1	0	V(64)	dcml
20	19	56	1.5	3/8	3/8	6/8	1	1	0	V7	dcml
21	20	115/2	1.5	0	0	6/8	1	1	0	I	dcml
21	20	59	1.5	3/8	3/8	6/8	1	1	0	V7	dcml
22	21	121/2	3.0	0	0	6/8	1	1	0	I\\	dcml
23	22	127/2	6.0	0	0	6/8	1	1	0	i	dcml
25	24	139/2	3.0	0	0	6/8	1	1	0	V	dcml
26	25	145/2	1.0	0	0	6/8	1	1	0	V(6)	dcml
26	25	147/2	2.0	1/4	1/4	6/8	1	1	0	V	dcml
27	26	151/2	1.0	0	0	6/8	1	1	0	V/ii	dcml
27	26	153/2	0.5	1/4	1/4	6/8	1	1	0	V7/ii	dcml
27	26	77	1.5	3/8	3/8	6/8	1	1	0	V7/V	dcml
28	27	157/2	3.0	0	0	6/8	1	1	0	V	dcml
29	28	163/2	1.5	0	0	6/8	1	1	0	V(42)	dcml
29	28	83	1.5	3/8	3/8	6/8	1	1	0	vo	dcml
30	29	169/2	3.0	0	0	6/8	1	1	0	V	dcml
31	30	175/2	3.0	0	0	6/8	1	1	0	V+	dcml
32	31	181/2	6.0	0	0	6/8	1	1	0	I	dcml
34	33	193/2	1.5	0	0	6/8	1	1	0	V65(9)	dcml
34	33	98	1.5	3/8	3/8	6/8	1	1	0	V43	dcml
35	34	199/2	1.5	0	0	6/8	1	1	0	V65(9)	dcml
35	34	101	1.0	3/8	3/8	6/8	1	1	0	V43	dcml
35	34	102	0.5	5/8	5/8	6/8	1	1	0	V7/vi	dcml
36	35	205/2	3.0	0	0	6/8	1	1	0	vi	dcml
37	36	211/2	1.5	0	0	6/8	1	1	0	V(64)	dcml
37	36	107	1.5	3/8	3/8	6/8	1	1	0	V7	dcml
38	37	217/2	1.5	0	0	6/8	1	1	0	I\\	dcml
38	37	110	1.5	3/8	3/8	6/8	1	1	0	V43/vi	dcml
39	38	223/2	3.0	0	0	6/8	1	1	0	vi	dcml
40	39	229/2	1.5	0	0	6/8	1	1	0	V(64)	dcml
40	39	116	1.5	3/8	3/8	6/8	1	1	0	V7	dcml
41	40	235/2	1.5	0	0	6/8	1	1	0	I	dcml
41	40	119	1.5	3/8	3/8	6/8	1	1	0	V7	dcml
42	41	241/2	9.0	0	0	6/8	1	1	0	I\\	dcml
