rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	harmony_version	annotated_key	annotators	reviewers	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	composed_end	composed_start	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument
MS3	n14	45	44	1: -3	1: 3/4	57	2.1.0	c	Alexander Faschon	Adrian Nagel										2018-12-17	3.02	Microsoft Windows			3.6.2	31-80 (G1-Ab5)	1828	1827	60-77 (C4-F5)	Oboe	47-80 (B2-Ab5)	Klavier	31-60 (G1-C4)	Klavier
MS3	n15	43	43	1: -3	1: 2/4	169	2.1.0	c	Alexander Faschon	Adrian Nagel										2018-12-17	3.02	Microsoft Windows			3.6.2	36-91 (C2-G6)	1828	1827	60-79 (C4-G5)	Oboe	59-91 (B3-G6)	Klavier	36-72 (C2-C5)	Klavier
MS3	n16	48	47	1: -3	1: 3/4	101	2.1.0	Eb	Alexander Faschon	Adrian Nagel										2018-12-17	3.02	Microsoft Windows			3.6.2	31-83 (G1-Cb6)	1828	1827	58-79 (Bb3-G5)	Oboe	44-83 (Ab2-Cb6)	Klavier	31-68 (G1-Ab4)	Klavier
MS3	n17	49	49	1: 2	1: 12/8	112	2.1.0	D	Alexander Faschon	Adrian Nagel										2018-12-17	3.02	Microsoft Windows			3.6.2	33-84 (A1-C6)	1828	1827	62-76 (D4-E5)	Oboe	53-84 (F3-C6)	Klavier	33-62 (A1-D4)	Klavier
MS3	n18	19	19	1: -1	1: 4/4	61	2.1.0	d	Alexander Faschon	Adrian Nagel										2018-12-17	3.02	Microsoft Windows			3.6.2	29-86 (F1-D6)	1828	1827	61-76 (C#4-E5)	Oboe	50-86 (D3-D6)	Klavier	29-68 (F1-G#4)	Klavier
MS3	n19	44	43	1: 3	1: 6/8	66	2.1.0	A	Alexander Faschon	Adrian Nagel										2018-12-20	3.02	Microsoft Windows			3.6.2	40-88 (E2-E6)	1828	1827	63-76 (D#4-E5)	Oboe	64-88 (E4-E6)	Klavier	40-64 (E2-E4)	Klavier
MS3	n20	84	83	1: -2, 23: 1, 42: -2	1: 2/4	167	2.1.0	g	Alexander Faschon	Adrian Nagel										2018-12-20	3.02	Microsoft Windows			3.6.2	31-79 (G1-G5)	1828	1827	66-79 (F#4-G5)	Oboe	54-76 (F#3-E5)	Klavier	31-64 (G1-E4)	Klavier
MS3	n21	32	32	1: -1	1: 4/4	153	2.1.0	F	Alexander Faschon	Adrian Nagel										2018-12-20	3.02	Microsoft Windows			3.6.2	36-82 (C2-Bb5)	1828	1827	64-77 (E4-F5)	Oboe	52-82 (E3-Bb5)	Klavier	36-66 (C2-F#4)	Klavier
MS3	n22	46	46	1: 0, 15: 3, 43: 0	1: 2/4	80	2.1.0	a	Alexander Faschon	Adrian Nagel										2018-12-20	3.02	Microsoft Windows			3.6.2	40-88 (E2-E6)	1828	1827	60-81 (C4-A5)	Oboe	57-88 (A3-E6)	Klavier	40-65 (E2-F4)	Klavier
MS3	n23	33	32	1: 3	1: 3/4	87	2.1.0	A	Alexander Faschon	Adrian Nagel										2018-12-20	3.02	Microsoft Windows			3.6.2	35-77 (B1-F5)	1828	1827	69-77 (A4-F5)	Oboe	50-65 (D3-F4)	Klavier	35-52 (B1-E3)	Klavier
MS3	n24	61	61	1: 0	1: 3/4	79	2.1.0	a	Alexander Faschon	Adrian Nagel										2018-12-20	3.02	Microsoft Windows			3.6.2	45-81 (A2-A5)	1828	1827	64-77 (E4-F5)	Oboe	59-81 (B3-A5)	Klavier	45-60 (A2-C4)	Klavier
