mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	0.5	0	0	2/4	1	1	3	c.i.	
1	1	1/2	0.5	1/8	1/8	2/4	1	1	0	V43	dcml
1	1	1	0.5	1/4	1/4	2/4	1	1	0	i6	dcml
1	1	3/2	0.5	3/8	3/8	2/4	1	1	0	I6	dcml
2	2	2	0.5	0	0	2/4	1	1	0	iv(4)	dcml
2	2	5/2	0.5	1/8	1/8	2/4	1	1	0	ii%	dcml
2	2	3	1.0	1/4	1/4	2/4	1	1	0	i6	dcml
3	3	4	0.5	0	0	2/4	1	1	0	.bII	dcml
3	3	9/2	0.5	1/8	1/8	2/4	1	1	0	VI6	dcml
3	3	5	0.5	1/4	1/4	2/4	1	1	0	V64	dcml
3	3	11/2	0.5	3/8	3/8	2/4	1	1	0	V7	dcml
4	4	6	0.5	0	0	2/4	1	1	0	VI	dcml
4	4	13/2	0.5	1/8	1/8	2/4	1	1	0	.bII6	dcml
4	4	7	0.5	1/4	1/4	2/4	1	1	0	V(64)	dcml
4	4	15/2	0.5	3/8	3/8	2/4	1	1	0	V7	dcml
5	5	8	2.0	0	0	2/4	1	1	0	i\\	dcml
6	6	10	0.5	0	0	2/4	1	1	0	i	dcml
6	6	21/2	0.5	1/8	1/8	2/4	1	1	0	V6	dcml
6	6	11	0.5	1/4	1/4	2/4	1	1	0	i	dcml
6	6	23/2	0.5	3/8	3/8	2/4	1	1	0	V	dcml
7	7	12	0.5	0	0	2/4	1	1	0	V2/iv	dcml
7	7	25/2	0.5	1/8	1/8	2/4	1	1	0	iv6	dcml
7	7	13	1.0	1/4	1/4	2/4	1	1	0	i64	dcml
8	8	14	1.0	0	0	2/4	1	1	0	iv(6)	dcml
8	8	15	0.5	1/4	1/4	2/4	1	1	0	V	dcml
8	8	31/2	0.5	3/8	3/8	2/4	1	1	0	iv(6)	dcml
9	9	16	0.5	0	0	2/4	1	1	0	i6	dcml
9	9	33/2	0.5	1/8	1/8	2/4	1	1	0	V43	dcml
9	9	17	1.0	1/4	1/4	2/4	1	1	0	i\\	dcml
10	10	18	0.5	0	0	2/4	1	1	0	i	dcml
10	10	37/2	0.5	1/8	1/8	2/4	1	1	0	V6	dcml
10	10	19	1.0	1/4	1/4	2/4	1	1	0	i	dcml
11	11	20	0.5	0	0	2/4	1	1	0	V2/iv	dcml
11	11	41/2	0.5	1/8	1/8	2/4	1	1	0	iv6	dcml
11	11	21	1.0	1/4	1/4	2/4	1	1	0	i64	dcml
12	12	22	1.0	0	0	2/4	1	1	0	ii(6)/III	dcml
12	12	23	0.5	1/4	1/4	2/4	1	1	0	vi64/III	dcml
12	12	47/2	0.5	3/8	3/8	2/4	1	1	0	IV6/III	dcml
13	13	24	0.5	0	0	2/4	1	1	0	V(4)/III	dcml
13	13	49/2	0.5	1/8	1/8	2/4	1	1	0	V7/III	dcml
13	13	25	1.0	1/4	1/4	2/4	1	1	0	III\\	dcml
14	14	26	0.5	0	0	2/4	1	1	0	.III.ii	dcml
14	14	53/2	0.5	1/8	1/8	2/4	1	1	0	viio43	dcml
14	14	27	0.5	1/4	1/4	2/4	1	1	0	I6	dcml
14	14	55/2	0.5	3/8	3/8	2/4	1	1	0	IV6	dcml
15	15	28	0.5	0	0	2/4	1	1	0	V(64)	dcml
15	15	57/2	0.5	1/8	1/8	2/4	1	1	0	V7	dcml
15	15	29	0.5	1/4	1/4	2/4	1	1	0	I\\	dcml
15	15	59/2	0.5	3/8	3/8	2/4	1	1	0	V+64	dcml
16	16	30	0.5	0	0	2/4	1	1	0	I	dcml
16	16	61/2	0.5	1/8	1/8	2/4	1	1	0	V+64	dcml
16	16	31	0.5	1/4	1/4	2/4	1	1	0	I	dcml
16	16	63/2	0.5	3/8	3/8	2/4	1	1	0	V+64	dcml
17	17	32	0.5	0	0	2/4	1	1	0	I(6)	dcml
17	17	65/2	0.5	1/8	1/8	2/4	1	1	0	V+64	dcml
17	17	33	0.5	1/4	1/4	2/4	1	1	0	I	dcml
17	17	67/2	0.5	3/8	3/8	2/4	1	1	0	V+64	dcml
18	18	34	0.5	0	0	2/4	1	1	0	I	dcml
18	18	69/2	0.5	1/8	1/8	2/4	1	1	0	viio64/VI	dcml
18	18	35	0.5	1/4	1/4	2/4	1	1	0	V6/II	dcml
18	18	71/2	0.5	3/8	3/8	2/4	1	1	0	II	dcml
19	19	36	0.5	0	0	2/4	1	1	0	V6/II	dcml
19	19	73/2	0.5	1/8	1/8	2/4	1	1	0	II	dcml
19	19	37	0.5	1/4	1/4	2/4	1	1	0	V6/II	dcml
19	19	75/2	0.5	3/8	3/8	2/4	1	1	0	V+64/II	dcml
20	20	38	0.5	0	0	2/4	1	1	0	II	dcml
20	20	77/2	0.5	1/8	1/8	2/4	1	1	0	V+64/II	dcml
20	20	39	0.5	1/4	1/4	2/4	1	1	0	II	dcml
20	20	79/2	0.5	3/8	3/8	2/4	1	1	0	V+64/II	dcml
21	21	40	0.5	0	0	2/4	1	1	0	II(6)	dcml
21	21	81/2	0.5	1/8	1/8	2/4	1	1	0	V+64/II	dcml
21	21	41	0.5	1/4	1/4	2/4	1	1	0	II	dcml
