mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	4.0	0	0	4/4	1	1	0	.d.i	dcml
2	2	4	5.5	0	0	4/4	1	1	0	viio43/V	dcml
3	3	19/2	0.5	3/8	3/8	4/4	1	1	0	V	dcml
3	3	10	2.0	1/2	1/2	4/4	1	1	0	i\\	dcml
4	4	12	2.0	0	0	4/4	1	1	0	i	dcml
4	4	14	2.0	1/2	1/2	4/4	1	1	0	V	dcml
5	5	16	2.0	0	0	4/4	1	1	0	I	dcml
5	5	18	2.0	1/2	1/2	4/4	1	1	0	V	dcml
6	6	20	4.0	0	0	4/4	1	1	0	viio	dcml
7	7	24	1.0	0	0	4/4	1	1	0	I	dcml
7	7	25	1.0	1/4	1/4	4/4	1	1	0	V	dcml
7	7	26	1.0	1/2	1/2	4/4	1	1	0	viio	dcml
7	7	27	1.0	3/4	3/4	4/4	1	1	0	iv	dcml
8	8	28	1.0	0	0	4/4	1	1	0	V/V	dcml
8	8	29	1.0	1/4	1/4	4/4	1	1	0	V	dcml
8	8	30	0.5	1/2	1/2	4/4	1	1	0	i	dcml
8	8	61/2	0.5	5/8	5/8	4/4	1	1	0	viio/V	dcml
8	8	31	0.5	3/4	3/4	4/4	1	1	0	viio65/V	dcml
8	8	63/2	0.5	7/8	7/8	4/4	1	1	0	viio43/V	dcml
9	9	32	0.5	0	0	4/4	1	1	0	viio2/V	dcml
9	9	65/2	1.0	1/8	1/8	4/4	1	1	0	viio/V	dcml
9	9	67/2	0.5	3/8	3/8	4/4	1	1	0	V	dcml
9	9	34	1.5	1/2	1/2	4/4	1	1	0	i\\	dcml
9	9	71/2	2.0	7/8	7/8	4/4	1	1	0	.VI.I	dcml
10	10	75/2	0.25	3/8	3/8	4/4	1	1	0	I(b64)	dcml
10	10	151/4	1.75	7/16	7/16	4/4	1	1	0	I	dcml
10	10	79/2	0.5	7/8	7/8	4/4	1	1	0	I6	dcml
11	11	40	0.5	0	0	4/4	1	1	0	ii6	dcml
11	11	81/2	0.5	1/8	1/8	4/4	1	1	0	ii	dcml
11	11	41	0.5	1/4	1/4	4/4	1	1	0	vi	dcml
11	11	83/2	0.5	3/8	3/8	4/4	1	1	0	V7	dcml
11	11	42	3.5	1/2	1/2	4/4	1	1	0	I\\	dcml
12	12	91/2	0.5	3/8	3/8	4/4	1	1	0	I(b64)	dcml
12	12	46	2.0	1/2	1/2	4/4	1	1	0	I	dcml
13	13	48	0.5	0	0	4/4	1	1	0	V2/IV	dcml
13	13	97/2	0.5	1/8	1/8	4/4	1	1	0	IV6	dcml
13	13	49	1.0	1/4	1/4	4/4	1	1	0	V43(b5)/V	dcml
13	13	50	2.0	1/2	1/2	4/4	1	1	0	I\\	dcml
14	14	52	6.0	0	0	4/4	1	1	0	.i.viio	dcml
15	15	58	2.0	1/2	1/2	4/4	1	1	0	viio	dcml
16	16	60	3.5	0	0	4/4	1	1	0	viio2/iv	dcml
16	16	127/2	0.5	7/8	7/8	4/4	1	1	0	iv64	dcml
17	17	64	4.0	0	0	4/4	1	1	0	V65	dcml
18	18	68	1.5	0	0	4/4	1	1	0	viio/V	dcml
18	18	139/2	0.5	3/8	3/8	4/4	1	1	0	V	dcml
18	18	70	0.5	1/2	1/2	4/4	1	1	0	i\\	dcml
18	18	141/2	0.5	5/8	5/8	4/4	1	1	0	viio/V	dcml
18	18	71	0.5	3/4	3/4	4/4	1	1	0	viio65/V	dcml
18	18	143/2	0.5	7/8	7/8	4/4	1	1	0	viio43/V	dcml
19	19	72	0.5	0	0	4/4	1	1	0	viio2/V	dcml
19	19	145/2	1.0	1/8	1/8	4/4	1	1	0	viio/V	dcml
19	19	147/2	0.5	3/8	3/8	4/4	1	1	0	V	dcml
19	19	74	2.0	1/2	1/2	4/4	1	1	0	i\\	dcml
