mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	1.5	0	0	3/8	1	1	0	.h.i	
2	2	3/2	1.5	0	0	3/8	1	1	0	iv	dcml
3	3	3	0.5	0	0	3/8	1	1	0	V	dcml
3	3	7/2	0.5	1/8	1/8	3/8	1	1	0	V(64)	dcml
3	3	4	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
4	4	9/2	1.5	0	0	3/8	1	1	0	i\\	dcml
5	5	6	1.5	0	0	3/8	1	1	0	i	dcml
6	6	15/2	0.5	0	0	3/8	1	1	0	iv	dcml
6	6	8	1.0	1/8	1/8	3/8	1	1	0	i	dcml
7	7	9	0.5	0	0	3/8	1	1	0	V	dcml
7	7	19/2	0.5	1/8	1/8	3/8	1	1	0	V(64)	dcml
7	7	10	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
8	8	21/2	1.5	0	0	3/8	1	1	0	i\\	dcml
9	9	12	1.5	0	0	3/8	1	1	0	V	dcml
10	10	27/2	2.0	0	0	3/8	1	1	0	VI	dcml
11	11	31/2	1.0	1/8	1/8	3/8	1	1	0	V7/III	dcml
12	12	33/2	1.5	0	0	3/8	1	1	0	III\\	dcml
13	13	18	1.0	0	0	3/8	1	1	0	V(64)	dcml
13	13	19	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
14	14	39/2	1.5	0	0	3/8	1	1	0	i\\	dcml
15	15	21	1.0	0	0	3/8	1	1	0	V(64)	dcml
15	15	22	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
16	16	45/2	1.5	0	0	3/8	1	1	0	i\\	dcml
17	17	24	1.5	0	0	3/8	1	1	0	i	dcml
18	18	51/2	0.5	0	0	3/8	1	1	0	iv	dcml
18	18	26	1.0	1/8	1/8	3/8	1	1	0	i	dcml
19	19	27	0.5	0	0	3/8	1	1	0	V	dcml
19	19	55/2	0.5	1/8	1/8	3/8	1	1	0	V(64)	dcml
19	19	28	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
20	20	57/2	1.5	0	0	3/8	1	1	0	i\\	dcml
21	21	30	1.5	0	0	3/8	1	1	0	V	dcml
22	22	63/2	2.0	0	0	3/8	1	1	0	VI	dcml
23	23	67/2	1.0	1/8	1/8	3/8	1	1	0	V7/III	dcml
24	24	69/2	1.5	0	0	3/8	1	1	0	III\\	dcml
25	25	36	1.0	0	0	3/8	1	1	0	V(64)	dcml
25	25	37	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
26	26	75/2	1.5	0	0	3/8	1	1	0	i\\	dcml
27	27	39	1.0	0	0	3/8	1	1	0	V(64)	dcml
27	27	40	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
28	28	81/2	1.5	0	0	3/8	1	1	0	i\\	dcml
29	29	42	1.5	0	0	3/8	1	1	0	V(9)/iv	dcml
30	30	87/2	2.0	0	0	3/8	1	1	0	iv	dcml
31	31	91/2	0.5	1/8	1/8	3/8	1	1	0	V64(9)	dcml
31	31	46	0.5	1/4	1/4	3/8	1	1	0	V64	dcml
32	32	93/2	1.0	0	0	3/8	1	1	0	I\\	dcml
32	32	95/2	0.5	1/4	1/4	3/8	1	1	0	V7/bII	dcml
33	33	48	1.0	0	0	3/8	1	1	0	.bII	dcml
33	33	49	0.5	1/4	1/4	3/8	1	1	0	V7/bII	dcml
34	34	99/2	1.0	0	0	3/8	1	1	0	.bII	dcml
34	34	101/2	0.5	1/4	1/4	3/8	1	1	0	.bII6	dcml
35	35	51	1.0	0	0	3/8	1	1	0	V(64)	dcml
35	35	52	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
36	36	105/2	1.0	0	0	3/8	1	1	0	i\\	dcml
36	36	107/2	0.5	1/4	1/4	3/8	1	1	0	V7/bII	dcml
37	37	54	1.0	0	0	3/8	1	1	0	.bII64	dcml
37	37	55	0.5	1/4	1/4	3/8	1	1	0	V7/bII	dcml
38	38	111/2	1.0	0	0	3/8	1	1	0	.bII	dcml
38	38	113/2	0.5	1/4	1/4	3/8	1	1	0	.bII6	dcml
39	39	57	1.0	0	0	3/8	1	1	0	V(64)	dcml
39	39	58	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
40	40	117/2	1.5	0	0	3/8	1	1	0	i\\	dcml
41	41	60	0.5	0	0	3/8	1	1	0	iv	dcml
41	41	121/2	1.0	1/8	1/8	3/8	1	1	0	i	dcml
42	42	123/2	0.5	0	0	3/8	1	1	0	V	dcml
42	42	62	0.5	1/8	1/8	3/8	1	1	0	V(64)	dcml
42	42	125/2	0.5	1/4	1/4	3/8	1	1	0	V7	dcml
43	43	63	1.5	0	0	3/8	1	1	0	i\\	dcml
