mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
2	1	1/2	3.0	0	0	6/8	1	1	0	.A.I	dcml
3	2	7/2	1.0	0	0	6/8	1	1	0	vi(4)	dcml
3	2	9/2	1.5	1/4	1/4	6/8	1	1	0	vi	dcml
3	2	6	0.5	5/8	5/8	6/8	1	1	0	V7/vi	dcml
4	3	13/2	1.5	0	0	6/8	1	1	0	ii6	dcml
4	3	8	1.5	3/8	3/8	6/8	1	1	0	V2	dcml
5	4	19/2	3.0	0	0	6/8	1	1	0	I\\	dcml
6	5	25/2	3.0	0	0	6/8	1	1	0	I	dcml
7	6	31/2	3.0	0	0	6/8	1	1	0	vi	dcml
8	7	37/2	3.0	0	0	6/8	1	1	0	V2	dcml
9	8	43/2	3.0	0	0	6/8	1	1	0	I	dcml
10	9	49/2	3.0	0	0	6/8	1	1	0	IV64	dcml
11	10	55/2	3.0	0	0	6/8	1	1	0	I	dcml
12	11	61/2	1.5	0	0	6/8	1	1	0	V2(2)	dcml
12	11	32	1.5	3/8	3/8	6/8	1	1	0	V7	dcml
13	12	67/2	3.0	0	0	6/8	1	1	0	I	dcml
14	13	73/2	1.5	0	0	6/8	1	1	0	ii6	dcml
14	13	38	1.5	3/8	3/8	6/8	1	1	0	V7	dcml
15	14	79/2	3.0	0	0	6/8	1	1	0	I\\	dcml
16	15	85/2	3.0	0	0	6/8	1	1	0	.i.v6	dcml
17	16	91/2	1.0	0	0	6/8	1	1	0	v6	dcml
17	16	93/2	0.5	1/4	1/4	6/8	1	1	0	v(9b6#4)	dcml
17	16	47	3.0	3/8	3/8	6/8	1	1	0	v6	dcml
18	17	50	1.5	3/8	3/8	6/8	1	1	0	V7/iv	dcml
19	18	103/2	1.0	0	0	6/8	1	1	0	iv	dcml
19	18	105/2	0.5	1/4	1/4	6/8	1	1	0	iv(9b6#4)	dcml
19	18	53	1.5	3/8	3/8	6/8	1	1	0	iv6	dcml
20	19	109/2	3.0	0	0	6/8	1	1	0	vii6	dcml
21	20	115/2	1.0	0	0	6/8	1	1	0	vii6	dcml
21	20	117/2	0.5	1/4	1/4	6/8	1	1	0	vii(9b6#4)	dcml
