mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	3.0	0	0	3/4	1	1	0	.E.I	dcml
2	2	3	3.0	0	0	3/4	1	1	0	V	dcml
3	3	6	3.0	0	0	3/4	1	1	0	I	dcml
4	4	9	3.0	0	0	3/4	1	1	0	V	dcml
5	5	12	0.5	0	0	3/4	1	1	0	vi	dcml
5	5	25/2	0.5	1/8	1/8	3/4	1	1	0	viio64(vi)	
5	5	13	0.5	1/4	1/4	3/4	1	1	0	vi	dcml
5	5	27/2	0.5	3/8	3/8	3/4	1	1	0	viio64/vi	dcml
5	5	14	1.0	1/2	1/2	3/4	1	1	0	vi	dcml
6	6	15	0.5	0	0	3/4	1	1	0	ii6	dcml
6	6	31/2	0.5	1/8	1/8	3/4	1	1	0	V64/ii	dcml
6	6	16	0.5	1/4	1/4	3/4	1	1	0	ii	dcml
6	6	33/2	0.5	3/8	3/8	3/4	1	1	0	ii2	dcml
6	6	17	0.5	1/2	1/2	3/4	1	1	0	viio	dcml
6	6	35/2	0.5	5/8	5/8	3/4	1	1	0	IV6(6)	dcml
7	7	18	5.5	0	0	3/4	1	1	0	V	dcml
8	8	47/2	2.5	5/8	5/8	3/4	1	1	0	I	dcml
9	9	26	0.5	1/2	1/2	3/4	1	1	0	I6	dcml
9	9	53/2	0.5	5/8	5/8	3/4	1	1	0	I64	dcml
10	10	27	2.5	0	0	3/4	1	1	0	I	dcml
10	10	59/2	0.5	5/8	5/8	3/4	1	1	0	I6	dcml
11	11	30	2.0	0	0	3/4	1	1	0	V(4)	dcml
11	11	32	1.0	1/2	1/2	3/4	1	1	0	V7	dcml
12	12	33	2.5	0	0	3/4	1	1	0	I\\	dcml
12	12	71/2	0.5	5/8	5/8	3/4	1	1	0	V	dcml
13	13	36	2.0	0	0	3/4	1	1	0	I	dcml
13	13	38	0.5	1/2	1/2	3/4	1	1	0	I6	dcml
13	13	77/2	0.5	5/8	5/8	3/4	1	1	0	I64	dcml
14	14	39	2.5	0	0	3/4	1	1	0	I	dcml
14	14	83/2	0.5	5/8	5/8	3/4	1	1	0	I6	dcml
15	15	42	2.0	0	0	3/4	1	1	0	V(4)	dcml
15	15	44	1.0	1/2	1/2	3/4	1	1	0	V	dcml
16	16	45	3.0	0	0	3/4	1	1	0	I	dcml
17	17	48	2.0	0	0	3/4	1	1	0	V65/V	dcml
17	17	50	1.0	1/2	1/2	3/4	1	1	0	V2	dcml
18	18	51	1.0	0	0	3/4	1	1	0	I6	dcml
18	18	52	5.0	1/4	1/4	3/4	1	1	0	I	dcml
20	20	57	3.0	0	0	3/4	1	1	0	V	dcml
21	21	60	2.0	0	0	3/4	1	1	0	V65/V	dcml
21	21	62	1.0	1/2	1/2	3/4	1	1	0	V2	dcml
22	22	63	1.0	0	0	3/4	1	1	0	I6	dcml
22	22	64	4.0	1/4	1/4	3/4	1	1	0	I	dcml
23	23	68	0.75	1/2	1/2	3/4	1	1	0	V43	dcml
23	23	275/4	0.25	11/16	11/16	3/4	1	1	0	V7	dcml
24	24	69	1.0	0	0	3/4	1	1	0	I\\	dcml
24	24	70	1.0	1/4	1/4	3/4	1	1	0	V7	dcml
24	24	71	1.0	1/2	1/2	3/4	1	1	0	I	dcml
25	25	72	3.0	0	0	3/4	1	1	0	.i.i	dcml
26	26	75	3.0	0	0	3/4	1	1	0	V	dcml
27	27	78	3.0	0	0	3/4	1	1	0	I	dcml
28	28	81	3.0	0	0	3/4	1	1	0	V	dcml
29	29	84	6.0	0	0	3/4	1	1	0	i	dcml
31	31	90	1.0	0	0	3/4	1	1	0	V(4)	dcml
