mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	2.0	0	0	2/4	1	1	0	.b.i	dcml
2	2	2	2.0	0	0	2/4	1	1	0	i	dcml
3	3	4	2.0	0	0	2/4	1	1	0	iv64	dcml
4	4	6	2.0	0	0	2/4	1	1	0	i	dcml
5	5	8	2.0	0	0	2/4	1	1	0	i(94)	dcml
6	6	10	4.0	0	0	2/4	1	1	0	i	dcml
8	8	14	1.0	0	0	2/4	1	1	0	i(9)	dcml
8	8	15	2.0	1/4	1/4	2/4	1	1	0	i	dcml
9	9	17	0.5	1/4	1/4	2/4	1	1	0	iv64	dcml
9	9	35/2	0.5	3/8	3/8	2/4	1	1	0	ii%2	dcml
10	10	18	2.0	0	0	2/4	1	1	0	i\\	dcml
11	11	20	2.0	0	0	2/4	1	1	0	i	dcml
12	12	22	1.0	0	0	2/4	1	1	0	i(9)	dcml
12	12	23	1.0	1/4	1/4	2/4	1	1	0	i	dcml
13	13	24	1.0	0	0	2/4	1	1	0	i	dcml
13	13	25	0.5	1/4	1/4	2/4	1	1	0	iv64	dcml
13	13	51/2	0.5	3/8	3/8	2/4	1	1	0	ii%2	dcml
14	14	26	2.0	0	0	2/4	1	1	0	i\\	dcml
15	15	28	1.0	0	0	2/4	1	1	0	V6	dcml
15	15	29	0.5	1/4	1/4	2/4	1	1	0	V2(6)	dcml
15	15	59/2	0.5	3/8	3/8	2/4	1	1	0	V2	dcml
16	16	30	0.5	0	0	2/4	1	1	0	i(6)	dcml
16	16	61/2	0.5	1/8	1/8	2/4	1	1	0	i	dcml
16	16	31	0.5	1/4	1/4	2/4	1	1	0	i6(#4)	dcml
16	16	63/2	0.5	3/8	3/8	2/4	1	1	0	i6(#7)	dcml
17	17	32	2.0	0	0	2/4	1	1	0	iv6	dcml
18	18	34	2.0	0	0	2/4	1	1	0	i64-V	dcml
19	19	36	1.0	0	0	2/4	1	1	0	V6	dcml
19	19	37	0.5	1/4	1/4	2/4	1	1	0	V2(6)	dcml
19	19	75/2	0.5	3/8	3/8	2/4	1	1	0	V2	dcml
20	20	38	1.0	0	0	2/4	1	1	0	i(6)	dcml
20	20	39	0.5	1/4	1/4	2/4	1	1	0	i6(#4)	dcml
20	20	79/2	0.5	3/8	3/8	2/4	1	1	0	i6(#7)	dcml
21	21	40	2.0	0	0	2/4	1	1	0	iv64	dcml
22	22	42	3.5	0	0	2/4	1	1	0	i64-V	dcml
23	23	91/2	0.5	3/8	3/8	2/4	1	1	0	.Ger6	dcml
24	24	46	2.0	0	0	2/4	1	1	0	viio/VII	dcml
25	25	48	1.0	0	0	2/4	1	1	0	VII	dcml
25	25	49	0.5	1/4	1/4	2/4	1	1	0	VII(6)	dcml
25	25	99/2	0.5	3/8	3/8	2/4	1	1	0	VII	dcml
26	26	50	2.0	0	0	2/4	1	1	0	viio/VII	dcml
27	27	52	1.0	0	0	2/4	1	1	0	VII	dcml
27	27	53	0.5	1/4	1/4	2/4	1	1	0	VII(6)	dcml
27	27	107/2	0.5	3/8	3/8	2/4	1	1	0	VII	dcml
28	28	54	0.5	0	0	2/4	1	1	0	VII	dcml
28	28	109/2	0.5	1/8	1/8	2/4	1	1	0	V65/VII	dcml
28	28	55	0.5	1/4	1/4	2/4	1	1	0	VII2	dcml
28	28	111/2	0.5	3/8	3/8	2/4	1	1	0	V7	dcml
29	29	56	1.0	0	0	2/4	1	1	0	.bII.V	dcml
29	29	57	0.5	1/4	1/4	2/4	1	1	0	V(b64)	dcml
29	29	115/2	0.5	3/8	3/8	2/4	1	1	0	V7(4)	dcml
30	30	58	0.5	0	0	2/4	1	1	0	V	dcml
30	30	117/2	1.5	1/8	1/8	2/4	1	1	0	V7	dcml
31	31	60	1.5	0	0	2/4	1	1	0	V(64)	dcml
31	31	123/2	0.5	3/8	3/8	2/4	1	1	0	V7	dcml
32	32	62	1.5	0	0	2/4	1	1	0	V(64)	dcml
32	32	127/2	0.5	3/8	3/8	2/4	1	1	0	V(#6)	dcml
33	33	64	0.5	0	0	2/4	1	1	0	V(6)	dcml
33	33	129/2	0.25	1/8	1/8	2/4	1	1	0	V7	dcml
33	33	259/4	0.25	3/16	3/16	2/4	1	1	0	V(64)	dcml
33	33	65	0.5	1/4	1/4	2/4	1	1	0	V(6)	dcml
33	33	131/2	0.5	3/8	3/8	2/4	1	1	0	V7	dcml
34	34	66	4.0	0	0	2/4	1	1	0	i\\	dcml
36	36	70	2.0	0	0	2/4	1	1	0	viio/VI	dcml
37	37	72	1.0	0	0	2/4	1	1	0	VI	dcml
37	37	73	0.5	1/4	1/4	2/4	1	1	0	VI(b6)	dcml
37	37	147/2	0.5	3/8	3/8	2/4	1	1	0	VI	dcml
38	38	74	2.0	0	0	2/4	1	1	0	viio/VII	dcml
39	39	76	2.0	0	0	2/4	1	1	0	VII	dcml
40	40	78	0.5	0	0	2/4	1	1	0	VII	dcml
40	40	157/2	0.5	1/8	1/8	2/4	1	1	0	V65/VII	dcml
40	40	79	0.5	1/4	1/4	2/4	1	1	0	VII2	dcml
40	40	159/2	0.5	3/8	3/8	2/4	1	1	0	V7	dcml
41	41	80	1.0	0	0	2/4	1	1	0	.bII.V	dcml
41	41	81	0.5	1/4	1/4	2/4	1	1	0	V(b64)	dcml
41	41	163/2	0.5	3/8	3/8	2/4	1	1	0	V7(4)	dcml
42	42	82	0.5	0	0	2/4	1	1	0	V	dcml
42	42	165/2	1.0	1/8	1/8	2/4	1	1	0	V7	dcml
42	42	167/2	0.5	3/8	3/8	2/4	1	1	0	V	dcml
43	43	84	1.5	0	0	2/4	1	1	0	V(64)	dcml
43	43	171/2	0.5	3/8	3/8	2/4	1	1	0	V7	dcml
44	44	86	1.5	0	0	2/4	1	1	0	V(64)	dcml
44	44	175/2	0.5	3/8	3/8	2/4	1	1	0	V(#6)	dcml
45	45	88	0.5	0	0	2/4	1	1	0	.i.V(6)	dcml
45	45	177/2	0.25	1/8	1/8	2/4	1	1	0	V7	dcml
45	45	355/4	0.25	3/16	3/16	2/4	1	1	0	V(64)	dcml
45	45	89	0.5	1/4	1/4	2/4	1	1	0	V(6)	dcml
45	45	179/2	0.5	3/8	3/8	2/4	1	1	0	V7	dcml
46	46	90	6.0	0	0	2/4	1	1	0	i\\	dcml
