mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
87	87	346	1.0	1/2	1/2	4/4	1	1	0	i6	dcml
87	87	347	1.0	3/4	3/4	4/4	1	1	0	V65(b9)/iv	dcml
88	88	348	4.0	0	0	4/4	1	1	0	iv	dcml
89	89	352	1.0	0	0	4/4	1	1	0	V(4)	dcml
89	89	353	3.0	1/4	1/4	4/4	1	1	0	V(64)	dcml
90	90	356	1.0	0	0	4/4	1	1	0	V7(b9)	dcml
90	90	357	3.0	1/4	1/4	4/4	1	1	0	V7	dcml
91	91	360	2.0	0	0	4/4	1	1	0	viio2	dcml
91	91	362	1.0	1/2	1/2	4/4	1	1	0	viio	dcml
91	91	363	1.0	3/4	3/4	4/4	1	1	0	viio65	dcml
92	92	364	1.0	0	0	4/4	1	1	0	viio43	dcml
92	92	365	3.0	1/4	1/4	4/4	1	1	0	viio65	dcml
93	93	368	1.0	0	0	4/4	1	1	0	iio6(#7)	dcml
93	93	369	3.0	1/4	1/4	4/4	1	1	0	iio6	dcml
94	94	372	4.0	0	0	4/4	1	1	0	viio43	dcml
95	95	376	2.0	0	0	4/4	1	1	0	iio6	dcml
95	95	378	1.0	1/2	1/2	4/4	1	1	0	iio	dcml
95	95	379	1.0	3/4	3/4	4/4	1	1	0	VI6	dcml
96	96	380	1.0	0	0	4/4	1	1	0	V65	dcml
96	96	381	1.0	1/4	1/4	4/4	1	1	0	viio	dcml
96	96	382	1.0	1/2	1/2	4/4	1	1	0	V6	dcml
96	96	383	1.0	3/4	3/4	4/4	1	1	0	viio7	dcml
97	97	384	1.0	0	0	4/4	1	1	0	i	dcml
97	97	385	1.0	1/4	1/4	4/4	1	1	0	V43	dcml
97	97	386	1.0	1/2	1/2	4/4	1	1	0	i6	dcml
97	97	387	1.0	3/4	3/4	4/4	1	1	0	V65(b9)/iv	dcml
98	98	388	3.0	0	0	4/4	1	1	0	iv	dcml
98	98	391	1.0	3/4	3/4	4/4	1	1	0	iv(6)	dcml
99	99	392	1.0	0	0	4/4	1	1	0	V(4)	dcml
99	99	393	3.0	1/4	1/4	4/4	1	1	0	V(6)	dcml
100	100	396	1.0	0	0	4/4	1	1	0	V7(b9)	dcml
100	100	397	3.0	1/4	1/4	4/4	1	1	0	V7	dcml
101	101	400	4.0	0	0	4/4	1	1	0	viio43	dcml
102	102	404	1.0	0	0	4/4	1	1	0	V7	dcml
102	102	405	1.0	1/4	1/4	4/4	1	1	0	V7(b9)	dcml
102	102	406	1.0	1/2	1/2	4/4	1	1	0	V(6)	dcml
102	102	407	1.0	3/4	3/4	4/4	1	1	0	V7	dcml
103	103	408	28.0	0	0	4/4	1	1	0	i\\	dcml
