mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	3.0	0	0	12/8	1	1	0	.D.I	dcml
1	1	3	3.0	3/4	3/4	12/8	1	1	0	I6	dcml
2	2	6	3.0	0	0	12/8	1	1	0	I	dcml
2	2	9	3.0	3/4	3/4	12/8	1	1	0	I6	dcml
3	3	12	3.0	0	0	12/8	1	1	0	iv(6)	dcml
3	3	15	3.0	3/4	3/4	12/8	1	1	0	iv6(6)	dcml
4	4	18	3.0	0	0	12/8	1	1	0	V65/V	dcml
4	4	21	3.0	3/4	3/4	12/8	1	1	0	V43/V	dcml
5	5	24	6.0	0	0	12/8	1	1	0	V(64)	dcml
6	6	30	3.0	0	0	12/8	1	1	0	V(4)	dcml
6	6	33	3.0	3/4	3/4	12/8	1	1	0	V	dcml
7	7	36	3.0	0	0	12/8	1	1	0	I	dcml
7	7	39	3.0	3/4	3/4	12/8	1	1	0	I6	dcml
8	8	42	3.0	0	0	12/8	1	1	0	I	dcml
8	8	45	3.0	3/4	3/4	12/8	1	1	0	I6	dcml
9	9	48	3.0	0	0	12/8	1	1	0	iv(6)	dcml
9	9	51	3.0	3/4	3/4	12/8	1	1	0	iv6(6)	dcml
10	10	54	3.0	0	0	12/8	1	1	0	iv(6)	dcml
10	10	57	3.0	3/4	3/4	12/8	1	1	0	iv6(6)	dcml
11	11	60	3.0	0	0	12/8	1	1	0	V65/V	dcml
11	11	63	3.0	3/4	3/4	12/8	1	1	0	V43/V	dcml
12	12	66	3.0	0	0	12/8	1	1	0	V(64)	dcml
12	12	69	3.0	3/4	3/4	12/8	1	1	0	viio43/ii?	
13	13	72	3.0	0	0	12/8	1	1	0	V7(9)	dcml
13	13	75	3.0	3/4	3/4	12/8	1	1	0	V7(b9)	dcml
14	14	78	3.0	0	0	12/8	1	1	0	V(64)	dcml
14	14	81	3.0	3/4	3/4	12/8	1	1	0	V7	dcml
15	15	84	6.0	0	0	12/8	1	1	0	I64	dcml
16	16	90	6.0	0	0	12/8	1	1	0	i64	dcml
17	17	96	3.0	0	0	12/8	1	1	0	V(4)	dcml
17	17	99	9.0	3/4	3/4	12/8	1	1	0	V	dcml
19	19	108	6.0	0	0	12/8	1	1	0	.IV.V	dcml
20	20	114	2.5	0	0	12/8	1	1	0	I	dcml
20	20	233/2	0.5	5/8	5/8	12/8	1	1	0	viio/ii	dcml
20	20	117	3.0	3/4	3/4	12/8	1	1	0	ii(4)	dcml
21	21	120	0.5	0	0	12/8	1	1	0	V6	dcml
21	21	241/2	0.5	1/8	1/8	12/8	1	1	0	I	dcml
21	21	121	0.5	1/4	1/4	12/8	1	1	0	V43	dcml
21	21	243/2	1.0	3/8	3/8	12/8	1	1	0	I6	dcml
21	21	245/2	0.5	5/8	5/8	12/8	1	1	0	V43	dcml
21	21	123	0.5	3/4	3/4	12/8	1	1	0	I(#2)	dcml
21	21	247/2	2.5	7/8	7/8	12/8	1	1	0	I	dcml
22	22	126	2.5	0	0	12/8	1	1	0	I6	dcml
22	22	257/2	0.5	5/8	5/8	12/8	1	1	0	viio/ii	dcml
22	22	129	3.0	3/4	3/4	12/8	1	1	0	ii(4)	dcml
23	23	132	0.5	0	0	12/8	1	1	0	V6	dcml
23	23	265/2	0.5	1/8	1/8	12/8	1	1	0	I	dcml
23	23	133	0.5	1/4	1/4	12/8	1	1	0	V43	dcml
23	23	267/2	1.0	3/8	3/8	12/8	1	1	0	I6	dcml
23	23	269/2	0.5	5/8	5/8	12/8	1	1	0	V43	dcml
23	23	135	0.5	3/4	3/4	12/8	1	1	0	I(#2)	dcml
23	23	271/2	2.5	7/8	7/8	12/8	1	1	0	I	dcml
24	24	138	3.0	0	0	12/8	1	1	0	V2/ii	dcml
24	24	141	6.0	3/4	3/4	12/8	1	1	0	V7	dcml
25	25	147	3.0	3/4	3/4	12/8	1	1	0	V(64)	dcml
26	26	150	3.0	0	0	12/8	1	1	0	V(9#7)	dcml
26	26	153	15.0	3/4	3/4	12/8	1	1	0	V	dcml
29	29	168	12.0	0	0	12/8	1	1	0	V7(b9)	dcml
31	31	180	3.0	0	0	12/8	1	1	0	I	dcml
31	31	183	3.0	3/4	3/4	12/8	1	1	0	I6	dcml
32	32	186	3.0	0	0	12/8	1	1	0	I	dcml
32	32	189	3.0	3/4	3/4	12/8	1	1	0	I6	dcml
33	33	192	3.0	0	0	12/8	1	1	0	iv(6)	dcml
33	33	195	3.0	3/4	3/4	12/8	1	1	0	iv6(6)	dcml
34	34	198	3.0	0	0	12/8	1	1	0	iv(6)	dcml
34	34	201	3.0	3/4	3/4	12/8	1	1	0	iv6(6)	dcml
35	35	204	3.0	0	0	12/8	1	1	0	V65/V	dcml
