mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
8	7	239/12	239/12	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	40	ber's										
8	7	81/4	81/4	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	41	Haupt		ornamentShortTrill								
8	7	247/12	247/12	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	42											
8	7	251/12	251/12	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	43	ge-										
8	7	73/4	73/4	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	44											
9	8	85/4	85/4	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	45	-streu-		ornamentShortTrill								
9	8	22	22	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	46											
9	8	89/4	89/4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	47	-et;										
9	8	95/4	95/4	0.0	5/8	5/8	Spanner	3/4	2	1	0															1
9	8	95/4	95/4	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	48									7		1
9	8	85/4	85/4	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	49											
10	9	97/4	97/4	0.0	0	0	Spanner	3/4	2	1	0															
10	9	97/4	97/4	0.0	0	0	Spanner	3/4	2	1	0														1	
10	9	97/4	97/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	50									8	1	
10	9	101/4	101/4	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	51									9	1	
10	9	307/12	307/12	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	52									9	1	
10	9	311/12	311/12	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	53									9	1	
10	9	105/4	105/4	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	54									9	1	
10	9	319/12	319/12	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	55									9	1	
10	9	323/12	323/12	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	56										1	
10	9	97/4	97/4	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	57											
11	10	119/4	119/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	58	da										
11	10	109/4	109/4	0.0	0	0	Spanner	3/4	2	1	0															
11	10	109/4	109/4	0.0	0	0	Chord	3/4	2	1	0	grace32	1/32	1	59											
11	10	109/4	109/4	0.0	0	0	Chord	3/4	2	1	0	grace32	1/32	1	60											
11	10	109/4	109/4	0.0	0	0	Chord	3/4	2	1	0	grace32	1/32	1	61											
11	10	109/4	109/4	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	62									10		
11	10	28	28	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	63									10		
11	10	113/4	113/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	64											
11	10	109/4	109/4	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	65											
12	11	121/4	121/4	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	66	glaubt'										
12	11	127/4	127/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	67	ich										
12	11	129/4	129/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	68	schon										
12	11	131/4	131/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	69	ein										
12	11	121/4	121/4	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	70											
12	11	121/4	121/4	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	71									11		
12	11	129/4	129/4	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	72									12		
