mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=50	50.0	𝅘𝅥	50.0	1.0			
1	1	0	0	0.0	0	0	Dynamic	3/4	3	1	0						pp									
1	1	0	0	0.0	0	0	Chord	3/4	3	1	0	grace16	1/16	1	0											
1	1	0	0	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	1											
2	2	3	3	0.0	0	0	Chord	3/4	3	1	0	grace16	1/16	1	2											
2	2	3	3	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	3											
3	3	6	6	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	4									0		
3	3	25/4	25/4	0.0	1/16	1/16	Dynamic	3/4	2	1	0						pp							0		
3	3	25/4	25/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	5									0		
3	3	13/2	13/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	6									0		
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	7									0		
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	8									0		
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	9									0		
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	10									0		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	11											
3	3	6	6	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	12											
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	13									1		
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	14											
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	15			articAccentAbove								
4	4	9	9	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	16											
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	17									2		
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	18											
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	19			articAccentAbove								
5	5	12	12	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	20											
6	6	15	15	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	21									3		
6	6	61/4	61/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	22									3		
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	23									3		
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	24									3		
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	25									3		
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	26									3		
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	27									3		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	28											
6	6	15	15	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	29											
7	7	18	18	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	30			articAccentAbove						4		
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	31											
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	32											
7	7	18	18	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	33											
