mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	crescendo_line
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥.=88	132.0	𝅘𝅥.	88.0	0.0					
1	1	0	0	0.0	0	0	Dynamic	6/8	2	1	0					p												
1	1	0	0	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	0			articStaccatoAbove											
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	1			articStaccatoAbove											
1	1	1	1	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	2			articStaccatoAbove											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	3			articStaccatoAbove											
1	1	2	2	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	4			articStaccatoAbove											
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	5			articStaccatoAbove											
1	1	0	0	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	6														
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	7														
2	2	3	3	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	8														
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	9														
2	2	4	4	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	10														
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	11														
2	2	5	5	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	12														
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	13														
2	2	3	3	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	14														
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	15														
3	3	6	6	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	16														
3	3	27/4	27/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	17														
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	18														
3	3	15/2	15/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	19														
3	3	33/4	33/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	20														
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	21														
3	3	6	6	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	22														
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	23														
3	3	7	7	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	24														
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	25														
3	3	8	8	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	26														
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	27														
3	3	6	6	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	28														
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	29														
4	4	9	9	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	30										0				
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	31										0				
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	32										0				
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	33										0				
4	4	11	11	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	34										0				
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	35														
4	4	9	9	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	36														
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	37														
4	4	10	10	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	38														
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	39														
4	4	11	11	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	40														
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	41														
4	4	9	9	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	42														
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	43														
5	5	12	12	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	44														
5	5	51/4	51/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	45														
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	46														
5	5	27/2	27/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	47														
5	5	57/4	57/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	48														
