mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	crescendo_line
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	49														
5	5	12	12	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	50														
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	51														
5	5	13	13	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	52														
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	53														
5	5	14	14	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	54														
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	55														
5	5	12	12	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	56														
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	57														
6	6	15	15	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	58										1				
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	59										1				
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	60										1				
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	61										1				
6	6	17	17	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	62										1				
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	63														
6	6	15	15	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	64														
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	65														
6	6	16	16	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	66														
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	67														
6	6	17	17	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	68														
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	69														
6	6	15	15	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	70														
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	71														
7	7	18	18	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	72														
7	7	75/4	75/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	73														
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	74														
7	7	39/2	39/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	75														
7	7	81/4	81/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	76														
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	77														
7	7	18	18	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	78														
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	79														
7	7	19	19	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	80														
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	81														
7	7	20	20	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	82														
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	83														
7	7	18	18	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	84														
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	85														
8	8	21	21	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	86														
8	8	87/4	87/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	87														
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	88														
8	8	45/2	45/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	89														
8	8	93/4	93/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	90														
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	91														
8	8	21	21	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	92														
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	93														
8	8	22	22	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	94														
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	95														
8	8	23	23	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	96														
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	97														
8	8	21	21	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	98														
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	99														
9	9	26	26	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	100	Von													
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	101	der													
9	9	24	24	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	102														
9	9	99/4	99/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	103														
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	104														
9	9	51/2	51/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	105														
9	9	105/4	105/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	106														
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	107														
9	9	24	24	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	108														
9	9	99/4	99/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	109														
9	9	25	25	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	110														
9	9	51/2	51/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	111														
9	9	105/4	105/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	112														
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	113														
10	10	27	27	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	114	Stra-													
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	115	-sse													
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	116	her													
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	117	ein													
10	10	27	27	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	118														
10	10	111/4	111/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	119														
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	120														
10	10	57/2	57/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	121														
10	10	117/4	117/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	122														
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	123														
10	10	27	27	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	124														
10	10	111/4	111/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	125														
10	10	28	28	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	126														
10	10	57/2	57/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	127														
10	10	117/4	117/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	128														
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	129														
11	11	30	30	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	130	Post-													
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	131	-horn													
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	132	klingt.													
11	11	30	30	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	133														
11	11	123/4	123/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	134														
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	135														
11	11	63/2	63/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	136														
11	11	129/4	129/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	137														
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	138														
11	11	30	30	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	139														
11	11	123/4	123/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	140														
11	11	31	31	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	141														
11	11	63/2	63/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	142														
11	11	129/4	129/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	143														
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	144														
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	145	Was													
12	12	33	33	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	146														
12	12	135/4	135/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	147														
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	148														
12	12	69/2	69/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	149														
12	12	141/4	141/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	150														
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	151														
12	12	33	33	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	152														
12	12	135/4	135/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	153														
12	12	34	34	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	154														
12	12	69/2	69/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	155														
12	12	141/4	141/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	156														
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	157														
13	13	36	36	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	158	hat													
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	159	es,													
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	160	dass													
13	13	38	38	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	161	es													
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	162	so													
13	13	36	36	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	163														
13	13	147/4	147/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	164														
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	165														
13	13	75/2	75/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																	0
13	13	75/2	75/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	166														0
13	13	153/4	153/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	167														0
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	168														0
13	13	36	36	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	169														
13	13	147/4	147/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	170														
13	13	37	37	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	171														
13	13	75/2	75/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	172														
13	13	153/4	153/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	173														
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	174														
14	14	39	39	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	175	hoch													
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	176	auf-													
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	177	-springt,													
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	178	mein													
14	14	39	39	0.0	0	0	Spanner	6/8	2	1	0																	
14	14	39	39	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	179														
14	14	159/4	159/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	180														
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	181														
14	14	81/2	81/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	182														
14	14	165/4	165/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	183														
14	14	83/2	83/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																0	
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	184													0	
14	14	39	39	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	185														
14	14	159/4	159/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	186														
14	14	40	40	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	187														
14	14	81/2	81/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	188														
14	14	165/4	165/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	189														
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	190														
15	15	42	42	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	191	Herz?													
15	15	42	42	0.0	0	0	Spanner	6/8	2	1	0																	
15	15	42	42	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	192														
15	15	171/4	171/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	193														
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	194														
15	15	87/2	87/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	195														
15	15	177/4	177/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	196														
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	197														
15	15	42	42	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	198														
15	15	171/4	171/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	199														
15	15	43	43	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	200														
15	15	87/2	87/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	201														
15	15	177/4	177/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	202														
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	203														
16	16	45	45	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	204														
16	16	45	45	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	205														
16	16	183/4	183/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	206														
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	207														
16	16	93/2	93/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	208														
16	16	189/4	189/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	209														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	210														
16	16	45	45	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	211														
16	16	183/4	183/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	212														
16	16	46	46	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	213														
16	16	93/2	93/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	214														
16	16	189/4	189/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	215														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	216														
17	17	48	48	0.0	0	0	Dynamic	6/8	2	1	0					p												
17	17	48	48	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	217														
17	17	195/4	195/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	218														
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	219														
17	17	99/2	99/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	220														
17	17	201/4	201/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	221														
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	222														
17	17	48	48	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	223														
17	17	195/4	195/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	224														
17	17	49	49	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	225														
17	17	99/2	99/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	226														
17	17	201/4	201/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	227														
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	228														
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	229	was													
18	18	51	51	0.0	0	0	Dynamic	6/8	2	1	0					p												
18	18	51	51	0.0	0	0	StaffText	6/8	2	1	0							decresc.										
18	18	51	51	0.0	0	0	Spanner	6/8	2	1	0														0			
18	18	51	51	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	230											0			
18	18	207/4	207/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	231											0			
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	232											0			
18	18	105/2	105/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	233											0			
18	18	213/4	213/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	234											0			
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	235											0			
18	18	51	51	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	236														
18	18	207/4	207/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	237														
18	18	52	52	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	238														
18	18	105/2	105/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	239														
18	18	213/4	213/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	240														
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	241														
19	19	54	54	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	242	hat													
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	243	es,													
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	244	dass													
19	19	56	56	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	245	es													
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	246	so													
19	19	54	54	0.0	0	0	Dynamic	6/8	2	1	0					pp												
19	19	54	54	0.0	0	0	Spanner	6/8	2	1	0																	
19	19	54	54	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	247														
19	19	219/4	219/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	248														
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	249														
19	19	111/2	111/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	250														
19	19	225/4	225/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	251														
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	252														
19	19	54	54	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	253														
19	19	219/4	219/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	254														
19	19	55	55	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	255														
19	19	111/2	111/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	256														
19	19	225/4	225/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	257														
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	258														
20	20	57	57	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	259	hoch													
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	260	auf-													
20	20	117/2	117/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	261	-springt,													
20	20	57	57	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	262														
20	20	231/4	231/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	263														
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	264														
20	20	117/2	117/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16	1/8	3/2	265														
20	20	237/4	237/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	266														
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	267														
20	20	57	57	0.75	0	0	Chord	6/8	3	1	3/16	1/8	3/2	268														
20	20	231/4	231/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16	1/16	1	269														
20	20	58	58	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	270														
20	20	117/2	117/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16	1/8	3/2	271														
20	20	237/4	237/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	272														
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	273														
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	274	mein									2				
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	275														
