mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0									𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0					
1	0	0	0	0.0	0	5/8	Dynamic	3/4	2	1	0						pp												
1	0	0	0	0.5	0	5/8	Chord	3/4	3	1	1/8		1/8	1	0														
2	1	1	1	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1			articAccentAbove											
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2														
2	1	3	3	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	3														
2	1	1/2	1/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	4														
2	1	2	2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	5			articAccentAbove											
2	1	5/2	5/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	6														
2	1	3	3	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	7			articAccentAbove											
3	2	7/2	7/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	8														
3	2	5	5	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	9			articAccentAbove											
3	2	11/2	11/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	10														
3	2	7/2	7/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	11														
3	2	4	4	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	12														
3	2	9/2	9/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	13														
3	2	6	6	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	14														
4	3	7	7	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	15														
4	3	15/2	15/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	16														
4	3	13/2	13/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	17														
4	3	8	8	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	18														
4	3	17/2	17/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	19														
4	3	9	9	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	20														
5	4	19/2	19/2	0.0	0	0	Dynamic	3/4	1	1	0						p												
5	4	19/2	19/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	21														
5	4	11	11	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	22														
