mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
5	4	23/2	23/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	23														
5	4	12	12	0.0	5/8	5/8	Dynamic	3/4	2	1	0						pp												
5	4	19/2	19/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	24														
5	4	10	10	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	25														
5	4	21/2	21/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	26														
5	4	12	12	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	27														
6	5	25/2	25/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	28	Hie													
6	5	13	13	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	29	und													
6	5	27/2	27/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	30	da													
6	5	15	15	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	31	ist													
6	5	13	13	0.0	1/8	1/8	Dynamic	3/4	2	1	0						pp												
6	5	13	13	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	32														
6	5	27/2	27/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	33														
6	5	15	15	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	34														
6	5	25/2	25/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	35														
6	5	14	14	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	36														
6	5	29/2	29/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	37														
6	5	15	15	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	38														
7	6	31/2	31/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	39	an													
7	6	16	16	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	40	den													
7	6	33/2	33/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	41	Bäu-													
7	6	18	18	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	42	-men													
7	6	31/2	31/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	43														
7	6	17	17	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	44														
7	6	35/2	35/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	45														
7	6	31/2	31/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	46														
7	6	16	16	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	47														
7	6	33/2	33/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	48														
8	7	37/2	37/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	49	man-													
8	7	19	19	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	50	-ches													
8	7	39/2	39/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	51	bun-													
8	7	20	20	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	52	-te													
8	7	41/2	41/2	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	53	Blatt													
8	7	85/4	85/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	54	zu													
8	7	19	19	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	55														
8	7	39/2	39/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56										0				
8	7	41/2	41/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57										1				
8	7	19	19	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	58										2				
8	7	39/2	39/2	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	59										2				
8	7	20	20	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	60										2				
8	7	41/2	41/2	0.75	1/2	1/2	Chord	3/4	2	2	3/16		1/8	3/2	61			articAccentBelow							2				
8	7	85/4	85/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16		1/16	1	62														
8	7	37/2	37/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	63										3				
8	7	19	19	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	64										3				
8	7	39/2	39/2	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	65										4				
9	8	43/2	43/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	66	seh'n,													
9	8	43/2	43/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	67														
9	8	23	23	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	68			articStaccatoBelow											
9	8	47/2	47/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	69			articStaccatoBelow											
9	8	43/2	43/2	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	70														
9	8	43/2	43/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	71														
9	8	22	22	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	72			articStaccatoAbove											
9	8	45/2	45/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	73			articStaccatoAbove											
9	8	24	24	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	74			articAccentStaccatoAbove											
10	9	49/2	49/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	75	und													
10	9	25	25	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	76	ich													
10	9	51/2	51/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	77	blei-													
10	9	27	27	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	78	-be													
10	9	25	25	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	79			articStaccatoAbove											
10	9	51/2	51/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	80			articStaccatoAbove											
10	9	27	27	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	81														
10	9	49/2	49/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	82			articStaccatoAbove											
10	9	26	26	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	83			articStaccatoBelow											
10	9	53/2	53/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	84			articStaccatoBelow											
10	9	27	27	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	85														
11	10	55/2	55/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	86	vor													
11	10	28	28	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	87	den													
11	10	57/2	57/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	88	Bäu-													
11	10	30	30	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89	-men													
11	10	55/2	55/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	90														
11	10	29	29	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	91														
11	10	59/2	59/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	92														
11	10	55/2	55/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	93														
11	10	28	28	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	94														
11	10	57/2	57/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	95														
12	11	61/2	61/2	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	96	oft-													
12	11	32	32	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	97	-mals													
12	11	65/2	65/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	98	in													
12	11	33	33	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	99	Ge-													
12	11	61/2	61/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	100										5				
12	11	31	31	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	101										5				
12	11	63/2	63/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	102										5				
12	11	32	32	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	103										5				
12	11	65/2	65/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	104										5				
12	11	33	33	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	105														
12	11	61/2	61/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	106										6				
12	11	31	31	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	107										6				
12	11	63/2	63/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	108										6				
12	11	32	32	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	109										6				
12	11	65/2	65/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	110										6				
12	11	33	33	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	111														
13	12	67/2	67/2	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	112	-dan-													
13	12	71/2	71/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	113	-ken													
13	12	67/2	67/2	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	114										7				
13	12	67/2	67/2	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	115										8				
14	13	73/2	73/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	116	steh'n.													
14	13	73/2	73/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	117														
14	13	38	38	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	118			articAccentStaccatoAbove											
14	13	77/2	77/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	119			articStaccatoAbove											
14	13	39	39	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	120			articStaccatoAbove											
14	13	73/2	73/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	121														
14	13	37	37	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	122			articAccentStaccatoAbove											
14	13	75/2	75/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	123			articStaccatoAbove											
14	13	39	39	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	124														
15	14	83/2	83/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	125	Schau-													
15	14	42	42	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	126	-e													
15	14	79/2	79/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	127			articStaccatoAbove											
15	14	41	41	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	128			articStaccatoAbove											
15	14	83/2	83/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	129			articStaccatoAbove											
15	14	42	42	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	130			articStaccatoAbove											
15	14	79/2	79/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	131			articAccentStaccatoAbove											
15	14	40	40	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	132			articStaccatoAbove											
15	14	81/2	81/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	133			articStaccatoAbove											
15	14	42	42	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	134			articStaccatoAbove											
16	15	85/2	85/2	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	135	nach													
16	15	44	44	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	136	dem													
16	15	89/2	89/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	137	ei-													
16	15	45	45	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	138	-nen													
16	15	85/2	85/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	139			articStaccatoAbove											
16	15	44	44	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	140														
16	15	89/2	89/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	141														
16	15	45	45	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	142														
16	15	85/2	85/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	143			articStaccatoAbove											
16	15	43	43	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	144														
16	15	87/2	87/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	145														
16	15	45	45	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	146														
17	16	91/2	91/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	147	Blat-													
17	16	93/2	93/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	148	-te,													
17	16	95/2	95/2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	149	hän-													
17	16	287/6	287/6	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	150														
17	16	289/6	289/6	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	151	-ge													
17	16	91/2	91/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	152														
17	16	47	47	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	153														
17	16	95/2	95/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	154														
17	16	48	48	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	155														
17	16	91/2	91/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	156														
17	16	46	46	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	157														
17	16	93/2	93/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	158														
17	16	48	48	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	159														
18	17	97/2	97/2	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	160	mei-													
18	17	50	50	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	161	-ne													
18	17	101/2	101/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	162	Hoff-													
18	17	51	51	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	163	-nung													
18	17	97/2	97/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	164														
18	17	50	50	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	165														
18	17	101/2	101/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	166														
18	17	51	51	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	167														
18	17	97/2	97/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	168														
18	17	49	49	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	169														
18	17	99/2	99/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	170														
18	17	51	51	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	171														
19	18	103/2	103/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	172	dran;													
19	18	107/2	107/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	173	spielt													
19	18	54	54	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	174	der													
19	18	103/2	103/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	175														
19	18	53	53	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	176														
19	18	107/2	107/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	177														
19	18	54	54	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	178														
19	18	103/2	103/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	179														
19	18	52	52	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	180														
19	18	105/2	105/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	181														
19	18	54	54	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	182														
20	19	109/2	109/2	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	183	Wind													
20	19	56	56	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	184	mit													
20	19	113/2	113/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	185	mei-													
20	19	57	57	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	186	-nem													
20	19	109/2	109/2	0.0	0	0	Spanner	3/4	2	1	0															0			
20	19	109/2	109/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	187											0			
20	19	56	56	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	188			articStaccatoAbove								0			
20	19	113/2	113/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	189			articStaccatoAbove								0			
20	19	57	57	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	190			articStaccatoAbove								0			
20	19	109/2	109/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	191														
20	19	55	55	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	192			articStaccatoBelow											
20	19	111/2	111/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	193			articStaccatoBelow											
20	19	57	57	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	194			articStaccatoBelow											
21	20	115/2	115/2	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	195														
21	20	115/2	115/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	196	Blat-													
21	20	58	58	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	197	-te,													
21	20	119/2	119/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	198	zittr'													
21	20	60	60	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	199	ich,													
21	20	115/2	115/2	0.0	0	0	Spanner	3/4	2	1	0																		
21	20	115/2	115/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	200			articStaccatoAbove											
21	20	59	59	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	201			articStaccatoAbove											
21	20	119/2	119/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	202			articStaccatoAbove											
21	20	115/2	115/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	203			articStaccatoBelow											
21	20	58	58	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	204			articStaccatoBelow											
21	20	117/2	117/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	205			articStaccatoBelow											
21	20	59	59	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	206			articStaccatoBelow											
21	20	119/2	119/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	207			articStaccatoBelow											
22	21	121/2	121/2	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	208	was													
22	21	62	62	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	209	ich													
22	21	125/2	125/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	210	zit-													
22	21	63	63	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	211	-tern													
22	21	61	61	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	212										9				
22	21	123/2	123/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	213										9				
22	21	62	62	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	214										9				
22	21	125/2	125/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	215										9				
22	21	63	63	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	216														
22	21	61	61	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	217										10				
22	21	123/2	123/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	218										10				
22	21	62	62	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	219										10				
22	21	125/2	125/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	220										10				
22	21	63	63	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	221														
23	22	127/2	127/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	222			articStaccatoAbove											
23	22	64	64	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	223			articStaccatoAbove											
23	22	129/2	129/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	224			articStaccatoAbove											
23	22	65	65	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	225			articStaccatoAbove											
23	22	131/2	131/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	226			articStaccatoAbove											
23	22	66	66	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	227			articStaccatoAbove											
23	22	127/2	127/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	228			articStaccatoAbove											
23	22	64	64	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	229			articStaccatoAbove											
23	22	129/2	129/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	230			articStaccatoAbove											
23	22	65	65	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	231			articStaccatoAbove											
23	22	131/2	131/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	232			articStaccatoAbove											
23	22	66	66	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	233			articStaccatoAbove											
24	23	133/2	133/2	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	234														
24	23	267/4	267/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	235														
24	23	67	67	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	236														
24	23	269/4	269/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	237														
24	23	135/2	135/2	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	238														
24	23	271/4	271/4	0.0	5/16	5/16	Spanner	3/4	2	1	0																		0
24	23	271/4	271/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	239														0
24	23	68	68	0.0	3/8	3/8	Spanner	3/4	2	1	0																		
24	23	68	68	0.0	3/8	3/8	Spanner	3/4	2	1	0																	0	
24	23	68	68	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	240													0	
24	23	273/4	273/4	0.0	7/16	7/16	Spanner	3/4	2	1	0																		
24	23	273/4	273/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	241														
24	23	137/2	137/2	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	242														
24	23	275/4	275/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	243														
24	23	69	69	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	244														
24	23	277/4	277/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	245														
24	23	133/2	133/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	246			articStaccatoAbove											
24	23	67	67	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	247			articStaccatoAbove											
24	23	135/2	135/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	248			articStaccatoAbove											
24	23	68	68	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	249			articStaccatoAbove											
24	23	137/2	137/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	250			articStaccatoAbove											
24	23	69	69	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	251			articStaccatoAbove											
25	24	139/2	139/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	252														
25	24	139/2	139/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	253														
25	24	72	72	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	254			articAccentAbove											
26	25	73	73	0.0	1/8	1/8	Spanner	3/4	2	1	0															1			
26	25	73	73	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	255			articAccentStaccatoAbove								1			
26	25	147/2	147/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	256			articStaccatoAbove								1			
26	25	75	75	0.0	5/8	5/8	Dynamic	3/4	2	1	0						f									1			
26	25	75	75	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	257			articStaccatoAbove								1			
26	25	145/2	145/2	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	258			articStaccatoAbove											
26	25	74	74	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	259			articAccentStaccatoAbove											
26	25	149/2	149/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	260			articStaccatoAbove											
