mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_hairpin	crescendo_line
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0										𝅘𝅥=40	40.0	𝅘𝅥	40.0	1.0					
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0							pp												
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	0			articStaccatoBelow							0				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	1			articStaccatoBelow											
1	1	0	0	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	2			articStaccatoAbove							1				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	3			articStaccatoAbove											
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	4			articStaccatoBelow							2				
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	5			articStaccatoBelow											
2	2	2	2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	6			articStaccatoAbove							3				
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	7			articStaccatoAbove											
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	8			articAccentBelow							4				
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	9										4				
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	10														
3	3	4	4	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	11			articStaccatoAbove							5				
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	12			articStaccatoAbove											
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	13														
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	14			articAccentBelow							6				
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	15										6				
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	16														
4	4	6	6	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	17			articStaccatoAbove							7				
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	18			articStaccatoAbove											
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	19														
5	5	9	9	0.0	1/4	1/4	Dynamic	2/4	2	1	0							fp												
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	20										8				
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	21										8				
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	22														
5	5	8	8	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	23			articStaccatoAbove							9				
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	24			articStaccatoAbove											
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	25	Wie													
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	26														
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	27			articStaccatoBelow							10				
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	28			articStaccatoBelow											
6	6	10	10	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	29			articStaccatoAbove							11				
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	30			articStaccatoAbove											
7	7	12	12	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	31	ei-													
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	32	ne													
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	33	trü									12				
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	34	-													
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	35	be									13				
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	36														
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	37			articStaccatoBelow							14				
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	38			articStaccatoBelow											
7	7	12	12	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	39			articStaccatoAbove							15				
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	40			articStaccatoAbove											
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	41	Wol-													
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	42	ke													
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	43	durch													
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	44			articStaccatoBelow							16				
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	45			articStaccatoBelow											
8	8	14	14	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	46			articStaccatoAbove							17				
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	47			articStaccatoAbove											
9	9	16	16	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	48	hei									18				
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	49	-													
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	50	tre													
9	9	17	17	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	51	Lüf									19				
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	52	-													
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	53	fte									20				
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	54														
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	55														
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	56														
9	9	16	16	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	57														
9	9	17	17	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	58														
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	59	geht,													
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	60	wenn													
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	61														
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	62														
10	10	18	18	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	63														
11	11	20	20	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	64	in													
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	65	der													
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	66	Tan									21				
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	67	-													
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	68	ne									22				
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	69														
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	70			articStaccatoBelow							23				
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	71			articStaccatoBelow											
11	11	20	20	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	72			articStaccatoAbove							24				
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	73			articStaccatoAbove											
12	12	22	22	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	74	Wip-													
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	75	fel													
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	76	ein													
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	77			articStaccatoBelow							25				
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	78			articStaccatoBelow											
12	12	22	22	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	79			articStaccatoAbove							26				
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	80			articStaccatoAbove											
13	13	24	24	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	81	mat									27				
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	82	-													
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	83	tes													
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	84	Lüft									28				
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	85	-													
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	86	chen									29				
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	87														
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	88														
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	89														
13	13	24	24	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	90														
13	13	25	25	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	91														
14	14	26	26	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	92	weht:													
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	93	so													
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	94														
