mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
1	0	0	0	0.0	0	9/16	SystemText	6/8	1	1	0									Ziemlich geschwind, unruhig.									
1	0	0	0	0.0	0	9/16	Tempo	6/8	1	1	0										𝅘𝅥=87	87.0	𝅘𝅥	87.0	0.0				
1	0	0	0	0.0	0	9/16	Dynamic	6/8	2	1	0						f												
1	0	0	0	0.25	0	9/16	Chord	6/8	2	1	1/16		1/16	1	0											0			
1	0	1/4	1/4	0.25	1/16	5/8	Chord	6/8	2	1	1/16		1/16	1	1											0			
1	0	1/2	1/2	0.25	1/8	11/16	Chord	6/8	2	1	1/16		1/16	1	2														
1	0	0	0	0.25	0	9/16	Chord	6/8	3	1	1/16		1/16	1	3											1			
1	0	1/4	1/4	0.25	1/16	5/8	Chord	6/8	3	1	1/16		1/16	1	4											1			
1	0	1/2	1/2	0.25	1/8	11/16	Chord	6/8	3	1	1/16		1/16	1	5														
2	1	3/4	3/4	0.0	0	0	Spanner	6/8	2	1	0																0		
2	1	3/4	3/4	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	6											2	0		
2	1	5/4	5/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	7											2	0		
2	1	7/4	7/4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	8												0		
2	1	9/4	9/4	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	9												0		
2	1	3	3	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	10											3	0		
2	1	13/4	13/4	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	11											3	0		
2	1	7/2	7/2	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	12												0		
2	1	3/4	3/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	13											4			
2	1	5/4	5/4	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	14											4			
2	1	7/4	7/4	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	15														
2	1	9/4	9/4	0.75	3/8	3/8	Chord	6/8	3	1	3/16		1/8	3/2	16														
2	1	3	3	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	17											5			
2	1	13/4	13/4	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	18											5			
2	1	7/2	7/2	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	19														
3	2	15/4	15/4	0.0	0	0	Spanner	6/8	2	1	0																		
3	2	15/4	15/4	0.0	0	0	Spanner	6/8	2	1	0																1		
3	2	15/4	15/4	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	20											6	1		
3	2	17/4	17/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	21											6	1		
3	2	19/4	19/4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	22												1		
3	2	21/4	21/4	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	23												1		
3	2	6	6	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	24											7	1		
3	2	25/4	25/4	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	25											7	1		
3	2	13/2	13/2	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	26												1		
3	2	15/4	15/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	27											8			
3	2	17/4	17/4	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	28											8			
3	2	19/4	19/4	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	29														
3	2	21/4	21/4	0.75	3/8	3/8	Chord	6/8	3	1	3/16		1/8	3/2	30														
3	2	6	6	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	31											9			
3	2	25/4	25/4	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	32											9			
3	2	13/2	13/2	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	33														
4	3	27/4	27/4	0.0	0	0	Spanner	6/8	2	1	0																		
4	3	27/4	27/4	0.0	0	0	Spanner	6/8	2	1	0																2		
4	3	27/4	27/4	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	34											10	2		
