mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
4	3	29/4	29/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	35											10	2		
4	3	31/4	31/4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	36											10	2		
4	3	33/4	33/4	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	37											10	2		
4	3	35/4	35/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	38											10	2		
4	3	37/4	37/4	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	39												2		
4	3	27/4	27/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	40											11			
4	3	29/4	29/4	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	41											11			
4	3	31/4	31/4	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	42											11			
4	3	33/4	33/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	43											11			
4	3	35/4	35/4	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	44											11			
4	3	37/4	37/4	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	45														
5	4	39/4	39/4	0.0	0	0	Spanner	6/8	2	1	0																		
5	4	39/4	39/4	0.0	0	0	Chord	6/8	2	1	0	grace32	1/32	1	46														
5	4	39/4	39/4	0.0	0	0	Chord	6/8	2	1	0	grace32	1/32	1	47														
5	4	39/4	39/4	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	48			ornamentTrill								12			
5	4	45/4	45/4	0.0	3/8	3/8	Chord	6/8	2	1	0	grace32	1/32	1	49														
5	4	45/4	45/4	0.0	3/8	3/8	Chord	6/8	2	1	0	grace32	1/32	1	50														
5	4	45/4	45/4	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	51														
5	4	12	12	0.0	9/16	9/16	Dynamic	6/8	2	1	0						p												
5	4	12	12	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	52											13			
5	4	49/4	49/4	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	53											13			
5	4	25/2	25/2	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	54														
5	4	39/4	39/4	0.0	0	0	Chord	6/8	3	1	0	grace32	1/32	1	55														
5	4	39/4	39/4	0.0	0	0	Chord	6/8	3	1	0	grace32	1/32	1	56														
5	4	39/4	39/4	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	57			articAccentBelow								14			
5	4	45/4	45/4	0.0	3/8	3/8	Chord	6/8	3	1	0	grace32	1/32	1	58														
5	4	45/4	45/4	0.0	3/8	3/8	Chord	6/8	3	1	0	grace32	1/32	1	59														
5	4	45/4	45/4	0.75	3/8	3/8	Chord	6/8	3	1	3/16		1/8	3/2	60														
5	4	12	12	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	61											15			
5	4	49/4	49/4	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	62											15			
5	4	25/2	25/2	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	63														
6	5	61/4	61/4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	64	Der													
6	5	51/4	51/4	0.0	0	0	Chord	6/8	2	1	0	grace32	1/32	1	65														
6	5	51/4	51/4	0.0	0	0	Chord	6/8	2	1	0	grace32	1/32	1	66														
6	5	51/4	51/4	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	67			ornamentTrill								16			
6	5	57/4	57/4	0.0	3/8	3/8	Chord	6/8	2	1	0	grace32	1/32	1	68														
6	5	57/4	57/4	0.0	3/8	3/8	Chord	6/8	2	1	0	grace32	1/32	1	69														
6	5	57/4	57/4	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	70														
6	5	61/4	61/4	0.0	5/8	5/8	Dynamic	6/8	2	1	0						p												
6	5	61/4	61/4	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	71														
6	5	51/4	51/4	0.0	0	0	Chord	6/8	3	1	0	grace32	1/32	1	72														
6	5	51/4	51/4	0.0	0	0	Chord	6/8	3	1	0	grace32	1/32	1	73														
6	5	51/4	51/4	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	74			ornamentTrill								17			
6	5	57/4	57/4	0.0	3/8	3/8	Chord	6/8	3	1	0	grace32	1/32	1	75														
6	5	57/4	57/4	0.0	3/8	3/8	Chord	6/8	3	1	0	grace32	1/32	1	76														
6	5	57/4	57/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	77														
6	5	61/4	61/4	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	78											18			
7	6	63/4	63/4	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	79	Wind													
7	6	65/4	65/4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	80														
7	6	67/4	67/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	81	spielt													
7	6	69/4	69/4	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	82	mit													
7	6	71/4	71/4	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	83														
7	6	73/4	73/4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	84	der													
7	6	63/4	63/4	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	85											19			
7	6	65/4	65/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	86											19			
7	6	67/4	67/4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	87											19			
7	6	69/4	69/4	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	88											19			
7	6	71/4	71/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	89											19			
7	6	73/4	73/4	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	90														
7	6	63/4	63/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	91											18			
7	6	65/4	65/4	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	92											18			
7	6	67/4	67/4	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	93											18			
7	6	69/4	69/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	94											18			
7	6	71/4	71/4	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	95											18			
7	6	73/4	73/4	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	96														
8	7	75/4	75/4	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	97	Wet-													
8	7	77/4	77/4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	98														
8	7	79/4	79/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	99	-ter													
8	7	81/4	81/4	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	100	fah-													
8	7	83/4	83/4	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	101	-ne													
8	7	85/4	85/4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	102	auf													
8	7	75/4	75/4	0.0	0	0	Chord	6/8	2	1	0	grace16	1/16	1	103														
8	7	75/4	75/4	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	104											20			
8	7	77/4	77/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	105											20			
8	7	79/4	79/4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	106											20			
8	7	81/4	81/4	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	107											20			
8	7	83/4	83/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	108											20			
8	7	85/4	85/4	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	109														
8	7	75/4	75/4	0.0	0	0	Chord	6/8	3	1	0	grace16	1/16	1	110														
8	7	75/4	75/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	111											21			
8	7	77/4	77/4	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	112											21			
8	7	79/4	79/4	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	113											21			
8	7	81/4	81/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	114											21			
8	7	83/4	83/4	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	115											21			
8	7	85/4	85/4	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	116														
9	8	87/4	87/4	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	117	mei-													
9	8	89/4	89/4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	118														
9	8	91/4	91/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	119	-nes													
9	8	93/4	93/4	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	120	schö-													
9	8	95/4	95/4	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	121														
9	8	97/4	97/4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	122	-nen													
9	8	87/4	87/4	0.0	0	0	Spanner	6/8	2	1	0																	0	
9	8	87/4	87/4	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	123											22		0	
9	8	89/4	89/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	124											22		0	
9	8	91/4	91/4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	125											22		0	
9	8	93/4	93/4	0.0	3/8	3/8	Spanner	6/8	2	1	0															22	3	0	
9	8	93/4	93/4	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	126											22	3	0	
9	8	95/4	95/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	127											22	3	0	
9	8	97/4	97/4	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	128												3	0	
9	8	87/4	87/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	129											23			
9	8	89/4	89/4	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	130											23			
9	8	91/4	91/4	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	131											23			
9	8	93/4	93/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	132											23			
9	8	95/4	95/4	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	133											23			
9	8	97/4	97/4	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	134														
10	9	99/4	99/4	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	135	Lieb-													
10	9	101/4	101/4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	136														
10	9	103/4	103/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	137	-chens													
10	9	105/4	105/4	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	138	Haus.													
10	9	99/4	99/4	0.0	0	0	Spanner	6/8	2	1	0																		
10	9	99/4	99/4	0.0	0	0	Spanner	6/8	2	1	0																		
10	9	99/4	99/4	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	139														
10	9	105/4	105/4	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	140														
10	9	27	27	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	141														
10	9	109/4	109/4	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	142														
10	9	55/2	55/2	0.0	11/16	11/16	Spanner	6/8	2	1	0																	1	
10	9	55/2	55/2	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	143													1	
10	9	99/4	99/4	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	144														
10	9	105/4	105/4	0.75	3/8	3/8	Chord	6/8	3	1	3/16		1/8	3/2	145														
10	9	27	27	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	146														
10	9	109/4	109/4	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	147														
10	9	55/2	55/2	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	148														
11	10	121/4	121/4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	149	Da													
11	10	111/4	111/4	0.0	0	0	Spanner	6/8	2	1	0																		
11	10	111/4	111/4	0.0	0	0	Spanner	6/8	2	1	0																4		
11	10	111/4	111/4	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	150											24	4		
11	10	113/4	113/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	151											24	4		
11	10	115/4	115/4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	152											24	4		
11	10	117/4	117/4	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	153											24	4		
11	10	119/4	119/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	154											24	4		
11	10	121/4	121/4	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	155												4		
11	10	111/4	111/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	156											25			
11	10	113/4	113/4	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	157											25			
11	10	115/4	115/4	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	158											25			
11	10	117/4	117/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	159											25			
11	10	119/4	119/4	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	160											25			
11	10	121/4	121/4	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	161														
12	11	123/4	123/4	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	162	dacht													
12	11	127/4	127/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	163	ich													
12	11	129/4	129/4	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	164	schon													
12	11	33	33	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	165	in													
12	11	133/4	133/4	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	166	mei-													
12	11	67/2	67/2	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	167	-nem													
12	11	123/4	123/4	0.0	0	0	Dynamic	6/8	2	1	0						p												
12	11	123/4	123/4	0.0	0	0	Spanner	6/8	2	1	0																		
12	11	123/4	123/4	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	168														
12	11	129/4	129/4	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	169														
12	11	123/4	123/4	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	170														
12	11	129/4	129/4	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	171														
13	12	135/4	135/4	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	172	Wah-													
13	12	137/4	137/4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	173	-ne:													
13	12	139/4	139/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	174	sie													
13	12	141/4	141/4	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	175	pfiff													
13	12	143/4	143/4	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	176														
13	12	145/4	145/4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	177	den													
13	12	135/4	135/4	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	178														
13	12	143/4	143/4	0.0	1/2	1/2	Chord	6/8	2	1	0	grace16	1/16	1	179														
13	12	143/4	143/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	180														
13	12	135/4	135/4	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	181														
13	12	141/4	141/4	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	182														
14	13	147/4	147/4	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	183	ar--													
14	13	149/4	149/4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	184														
14	13	151/4	151/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	185	-men													
14	13	153/4	153/4	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	186	Flücht--													
14	13	155/4	155/4	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	187														
14	13	157/4	157/4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	188	-ling													
14	13	147/4	147/4	0.0	0	0	Spanner	6/8	2	1	0																		0
14	13	149/4	149/4	0.0	1/8	1/8	Chord	6/8	2	1	0	grace16	1/16	1	189														0
14	13	149/4	149/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	190														0
14	13	155/4	155/4	0.0	1/2	1/2	Chord	6/8	2	1	0	grace16	1/16	1	191														0
14	13	155/4	155/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	192														0
14	13	157/4	157/4	0.0	5/8	5/8	Chord	6/8	2	1	0	grace16	1/16	1	193														0
14	13	157/4	157/4	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	194														0
14	13	147/4	147/4	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	195														
14	13	153/4	153/4	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	196														
14	13	157/4	157/4	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	197														
15	14	159/4	159/4	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	198	aus													
15	14	165/4	165/4	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	199														
15	14	169/4	169/4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	200	Er													
15	14	159/4	159/4	0.0	0	0	Spanner	6/8	2	1	0																		
15	14	159/4	159/4	0.0	0	0	Chord	6/8	2	1	0	grace16	1/16	1	201														
15	14	159/4	159/4	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	202														
15	14	81/2	81/2	0.0	3/16	3/16	Dynamic	6/8	2	1	0						f												
15	14	81/2	81/2	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	203											26			
15	14	163/4	163/4	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	204											26			
15	14	41	41	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	205														
15	14	165/4	165/4	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	206											27			
15	14	167/4	167/4	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	207											27			
15	14	42	42	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	208											27			
15	14	169/4	169/4	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	209											27			
15	14	85/2	85/2	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	210														
15	14	159/4	159/4	0.75	0	0	Chord	6/8	3	1	3/16		1/8	3/2	211														
15	14	81/2	81/2	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	212											28			
15	14	163/4	163/4	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	213											28			
15	14	41	41	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	214														
15	14	165/4	165/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	215											29			
15	14	167/4	167/4	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	216											29			
15	14	42	42	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	217											29			
15	14	169/4	169/4	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	218											29			
15	14	85/2	85/2	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	219														
16	15	171/4	171/4	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	220	hätt'													
16	15	173/4	173/4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	221														
16	15	175/4	175/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	222	es													
16	15	177/4	177/4	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	223														
16	15	177/4	177/4	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	224	e-													
16	15	179/4	179/4	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	225	-her													
16	15	91/2	91/2	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	226	be-													
16	15	171/4	171/4	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	227														
16	15	173/4	173/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	228														
16	15	179/4	179/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	229														
16	15	171/4	171/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	230														
16	15	173/4	173/4	0.0	1/8	1/8	Dynamic	6/8	3	1	0						p												
16	15	177/4	177/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	231														
17	16	183/4	183/4	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	232	-mer-													
17	16	185/4	185/4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	233														
17	16	187/4	187/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	234	-ken													
17	16	189/4	189/4	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	235	sol-													
17	16	191/4	191/4	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	236	-len													
17	16	97/2	97/2	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	237	des													
17	16	185/4	185/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	238														
17	16	191/4	191/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	239														
17	16	183/4	183/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	240														
17	16	189/4	189/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	241														
18	17	195/4	195/4	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	242	Hau-													
18	17	197/4	197/4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	243														
18	17	199/4	199/4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	244	-ses													
18	17	201/4	201/4	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	245	auf													
18	17	203/4	203/4	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	246														
18	17	205/4	205/4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	247	ge--													
18	17	195/4	195/4	0.0	0	0	Dynamic	6/8	2	1	0						p												
18	17	197/4	197/4	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	248														
18	17	203/4	203/4	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	249														
18	17	195/4	195/4	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	250														
18	17	201/4	201/4	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	251														
