mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0								𝅘𝅥=34	34.0	𝅘𝅥	34.0	1.0			
1	0	0	0	0.0	0	5/8	Dynamic	3/4	2	1	0					p										
1	0	0	0	0.5	0	5/8	Chord	3/4	2	1	1/8	1/8	1	0												
2	1	1/2	1/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	1										0		
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	2												
2	1	3/2	3/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	3										1		
2	1	3	3	0.0	5/8	5/8	Spanner	3/4	2	1	0														0	
2	1	3	3	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	4											0	
2	1	1/2	1/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	5											0	
2	1	1/2	1/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	6										2		
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	7												
2	1	3/2	3/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	8										3		
2	1	3	3	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	9												
3	2	7/2	7/2	0.0	0	0	Spanner	3/4	2	1	0															
3	2	7/2	7/2	0.0	0	0	Spanner	3/4	2	1	0															0
3	2	7/2	7/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	10										4		0
3	2	17/4	17/4	0.0	3/16	3/16	Spanner	3/4	2	1	0															
3	2	17/4	17/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	11												
3	2	9/2	9/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	12										5		
3	2	6	6	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	13												
3	2	7/2	7/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	14										6		
3	2	17/4	17/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	15												
3	2	9/2	9/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	16										7		
3	2	6	6	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	17												
4	3	13/2	13/2	0.0	0	0	Spanner	3/4	2	1	0															1
4	3	13/2	13/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	18										8		1
4	3	29/4	29/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	19										8		1
4	3	15/2	15/2	0.0	1/4	1/4	Spanner	3/4	2	1	0															
4	3	15/2	15/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	20												
4	3	9	9	0.0	5/8	5/8	Dynamic	3/4	2	1	0					pp										
