mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=45	45.0	𝅘𝅥	45.0	1.0			
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0								Langsam								
1	1	0	0	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	0											0		
1	1	1/3	1/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	1											0		
1	1	2/3	2/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	2													
1	1	1	1	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	3				articAccentAbove							1		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	4													
1	1	0	0	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	5													
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	6													
1	1	1	1	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	7													
2	2	3	3	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	8											2		
2	2	10/3	10/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	9											2		
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	10													
2	2	4	4	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	11				articAccentAbove							3		
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	12													
2	2	3	3	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	13													
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	14													
2	2	4	4	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	15													
3	3	6	6	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	16													
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	17											4		
3	3	7	7	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	18													
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	19													
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	20											5		
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	21													
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	22													
3	3	6	6	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	23													
