mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	62													2	
6	6	65/4	65/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	63										7			2	
6	6	33/2	33/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	64										7			2	
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	65													2	
6	6	69/4	69/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	66										8			2	
6	6	35/2	35/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	67										8			2	
6	6	71/4	71/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	68													2	
6	6	15	15	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	69														
6	6	16	16	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	70														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	71														
7	7	18	18	0.0	0	0	Dynamic	3/4	2	1	0					f												
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																	
7	7	73/4	73/4	0.0	1/16	1/16	Spanner	3/4	2	1	0																	3
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	72														3
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	73														3
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	74														3
7	7	79/4	79/4	0.0	7/16	7/16	Spanner	3/4	2	1	0																3	3
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	75													3	3
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	76													3	3
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	77													3	3
7	7	18	18	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	78														
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	79														
7	7	19	19	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	80														
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	81														
7	7	20	20	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	82														
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	83														
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																	
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																	
8	8	85/4	85/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	84										9				
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	85										9				
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	86														
8	8	89/4	89/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	87										10				
8	8	45/2	45/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	88										10				
8	8	91/4	91/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	89														
8	8	93/4	93/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	90										11				
8	8	47/2	47/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	91										11				
8	8	95/4	95/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	92														
