mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥=50	50.0	𝅘𝅥	50.0	1.0					
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	0										0				
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1			articAccentAbove											
1	1	0	0	0.0	0	0	Dynamic	2/4	3	1	0						p												
1	1	0	0	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	2														
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	3			articStaccatoAbove											
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4										1				
2	2	3	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	5			articAccentBelow											
2	2	2	2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	6														
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	7			articStaccatoAbove											
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	8										2				
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	9			articAccentBelow											
3	3	4	4	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	10														
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	11			articStaccatoAbove											
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	12										3				
4	4	7	7	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	13														
4	4	6	6	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	14														
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	15														
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	16										4				
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	2	1	0																0		
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	17												0		
5	5	8	8	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	18														
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	19														
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	20	Nun													
6	6	10	10	0.0	0	0	Spanner	2/4	2	1	0																		
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	21										5				
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	22														
6	6	10	10	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	23														
7	7	12	12	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	24	merk													
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	25	ich													
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	26	erst,													
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	27	wie													
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	28										6				
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	29														
7	7	12	12	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	30														
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	31														
8	8	14	14	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	32	müd'													
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	33	ich													
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	34	bin,													
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	35	da													
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	36										7				
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	37														
8	8	14	14	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	38														
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	39														
9	9	16	16	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	40	ich													
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	41	zur													
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	42	Ruh													
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	43	mich									8				
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	44														
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	45										9				
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	46														
9	9	16	16	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	47														
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	48														
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	49	le-													
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	50	-ge;													
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	51										10				
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	52														
10	10	18	18	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	53														
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	54														
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	55	das													
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	56										11				
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	57														
11	11	20	20	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	58														
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	59														
12	12	22	22	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	60	Wan-													
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	61	-dern													
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	62	hielt													
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	63	mich													
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	64										12				
12	12	23	23	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	65														
12	12	22	22	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	66														
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	67														
13	13	24	24	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	68	mun-													
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	69	-ter													
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	70	hin													
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	71	auf													
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	72										13				
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	73										14				
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	74														
13	13	24	24	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	75														
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	76														
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	77	un-													
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	78	-wirt-													
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	79	-ba-													
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	80	-rem													
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	81														
14	14	26	26	0.0	0	0	Spanner	2/4	2	1	0																		0
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	82										15				0
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	83										15				0
14	14	27	27	0.0	1/4	1/4	Spanner	2/4	2	1	0														15			0	0
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	84										15			0	0
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	85													0	0
14	14	26	26	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	86										16				
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	87										16				
14	14	27	27	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	88										16				
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	89														
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	90	We-													
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	91	-ge.													
15	15	28	28	0.0	0	0	Spanner	2/4	2	1	0																		
15	15	28	28	0.0	0	0	Spanner	2/4	2	1	0																		
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	92										17				
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	93														
15	15	28	28	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	94														
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	95														
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	96	Die													
