mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0										𝅘𝅥=45	45.0	𝅘𝅥	45.0	0.0				
1	1	0	0	0.0	0	0	SystemText	2/4	1	1	0									Mässig									
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0						p												
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	0												0			
1	1	0	0	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	1				articStaccatoBelow								1			
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	2				articStaccatoBelow								1			
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	3				articStaccatoBelow								1			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	4				articStaccatoBelow											
1	1	0	0	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	5				articStaccatoAbove								2			
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	6				articStaccatoAbove								2			
1	1	1	1	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	7				articStaccatoAbove								2			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	8				articStaccatoAbove											
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	9												0			
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	10												0			
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	11															
2	2	7/2	7/2	0.375	3/8	3/8	Chord	2/4	2	1	3/32	1/16	3/2	12												3			
2	2	31/8	31/8	0.0	15/32	15/32	Spanner	2/4	2	1	0															3		0	
2	2	31/8	31/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32	1/32	1	13												3		0	
2	2	2	2	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	14														0	
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	15														0	
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	16														0	
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	17												4		0	
2	2	2	2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	18				articStaccatoAbove								5			
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	19				articStaccatoAbove								5			
2	2	3	3	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	20				articStaccatoAbove								5			
2	2	7/2	7/2	0.0	3/8	3/8	Dynamic	2/4	3	1	0						fp												
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	21				articStaccatoAbove											
3	3	4	4	0.0	0	0	Spanner	2/4	2	1	0																		
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	22												6			
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	23															
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	24				articAccentAbove								7			
3	3	4	4	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	25															
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	26															
3	3	5	5	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	27															
3	3	11/2	11/2	0.0	3/8	3/8	Dynamic	2/4	3	1	0						fp												
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	28															
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	29												8			
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	30															
4	4	15/2	15/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																	1	
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	31				articAccentAbove								9		1	
4	4	6	6	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	32															
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	33															
4	4	7	7	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	34															
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	35												10			
5	5	8	8	0.0	0	0	Spanner	2/4	2	1	0																		
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	36															
5	5	9	9	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	37												11			
5	5	37/4	37/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	38												11			
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	39				ornamentShortTrill								11			
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	40															
5	5	8	8	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	41															
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	42															
5	5	8	8	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	43															
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	44															
5	5	9	9	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	45															
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	46															
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	47															
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	48															
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	49															
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	50															
6	6	10	10	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	51															
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	52															
6	6	11	11	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	53															
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	54															
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	55	Fremd	Ich													
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	56															
7	7	25/2	25/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0						pp												
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	57				articStaccatoBelow								12			
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	58				articStaccatoBelow								12			
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	59				articStaccatoBelow											
7	7	12	12	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	60				articStaccatoBelow											
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	61				articStaccatoAbove								13			
7	7	13	13	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	62				articStaccatoAbove								13			
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	63				articStaccatoAbove											
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	64	bin	kann													
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	65	ich	zu													
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	66	ein-	mei-													
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	67	-ge-	-ner													
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	68				articStaccatoBelow								14			
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	69				articStaccatoBelow								14			
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	70				articStaccatoBelow								14			
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	71				articStaccatoBelow											
8	8	14	14	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	72				articStaccatoAbove								15			
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	73				articStaccatoAbove								15			
8	8	15	15	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	74				articStaccatoAbove								15			
