mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0		
1	1	0	0	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	0			articAccentBelow						0	
1	1	1/4	1/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	1									0	
1	1	1/2	1/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	2									0	
1	1	3/4	3/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	3										
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	4			articStaccatoBelow							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	5			articStaccatoBelow							
1	1	2	2	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	6			articAccentBelow						1	
1	1	9/4	9/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	7									1	
1	1	5/2	5/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	8									1	
1	1	11/4	11/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	9										
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	10			articStaccatoAbove							
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	11			articStaccatoAbove							
1	1	0	0	0.0	0	0	Dynamic	4/4	3	1	0						f								
1	1	0	0	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	12									2	
1	1	1/4	1/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	13									2	
1	1	1/2	1/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	14									2	
1	1	3/4	3/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	15										
1	1	1	1	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	16			articStaccatoAbove							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	17			articStaccatoAbove							
1	1	2	2	0.25	1/2	1/2	Chord	4/4	3	1	1/16		1/16	1	18									3	
1	1	9/4	9/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16		1/16	1	19									3	
1	1	5/2	5/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	20									3	
1	1	11/4	11/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	21										
1	1	3	3	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	22			articStaccatoAbove							
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	23			articStaccatoAbove							
2	2	4	4	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	24			articAccentBelow						4	
2	2	17/4	17/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	25									4	
2	2	9/2	9/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	26			articAccentBelow						4	
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	27									4	
2	2	5	5	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	28			articAccentBelow						4	
2	2	21/4	21/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	29									4	
2	2	11/2	11/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	30			articAccentBelow						4	
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	31										
2	2	6	6	0.0	1/2	1/2	Dynamic	4/4	2	1	0						fz								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	32										
2	2	15/2	15/2	0.16666666666666666	7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	33									5	
2	2	23/3	23/3	0.16666666666666666	11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	34									5	
2	2	47/6	47/6	0.16666666666666666	23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	35									5	
2	2	4	4	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	36									6	
2	2	17/4	17/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	37									6	
2	2	9/2	9/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	38									6	
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	39									6	
2	2	5	5	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	40									6	
2	2	21/4	21/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	41									6	
2	2	11/2	11/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	42									6	
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	43										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	44										
2	2	15/2	15/2	0.16666666666666666	7/8	7/8	Chord	4/4	3	1	1/24		1/16	2/3	45									7	
2	2	23/3	23/3	0.16666666666666666	11/12	11/12	Chord	4/4	3	1	1/24		1/16	2/3	46									7	
2	2	47/6	47/6	0.16666666666666666	23/24	23/24	Chord	4/4	3	1	1/24		1/16	2/3	47									7	
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	48	Wie									
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	49										
3	3	17/2	17/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	50									8	
3	3	26/3	26/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	51									8	
3	3	53/6	53/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	52									8	
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	53			articStaccatissimoBelow							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	54			articStaccatissimoAbove							
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	55			articStaccatoAbove							
3	3	23/2	23/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0						f								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	56			articStaccatoBelow							
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	57										
3	3	17/2	17/2	0.16666666666666666	1/8	1/8	Chord	4/4	3	1	1/24		1/16	2/3	58									9	
3	3	26/3	26/3	0.16666666666666666	1/6	1/6	Chord	4/4	3	1	1/24		1/16	2/3	59									9	
