mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0									𝅘𝅥=40	40.0	𝅘𝅥	40.0	1.0					
1	0	0	0	0.0	0	3/8	Dynamic	2/4	2	1	0							pp											
1	0	0	0	0.25	0	3/8	Chord	2/4	2	1	1/16		1/16	1	0										0				
1	0	1/4	1/4	0.25	1/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1														
1	0	0	0	0.25	0	3/8	Chord	2/4	3	1	1/16		1/16	1	2														
1	0	1/4	1/4	0.25	1/16	7/16	Chord	2/4	3	1	1/16		1/16	1	3														
2	1	1/2	1/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	4				articStaccatoBelow						1				
2	1	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	5				articStaccatoBelow						1				
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	6				articStaccatoBelow						1				
2	1	2	2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	7				articStaccatoBelow										
2	1	1/2	1/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	8				articStaccatoAbove						2				
2	1	1	1	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	9				articStaccatoAbove						2				
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	10				articStaccatoAbove						2				
2	1	2	2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	11				articStaccatoAbove										
3	2	5/2	5/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	12										3				
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	13														
3	2	5/2	5/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	14										4				
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	15														
3	2	4	4	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	16										5				
3	2	17/4	17/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	17										5				
