mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	31				articAccentBelow							
4	4	7	7	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	32				articAccentBelow							
4	4	6	6	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	33											
4	4	7	7	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	34											
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	35	Fliegt	Hö-									
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	36	der	-re									
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	37											
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	38	-Schnee	nicht									
5	5	8	8	0.0	0	0	Dynamic	2/4	2	1	0						p								
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	39											
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	40										4	
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	41										4	
5	5	8	8	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	42											
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16	1/16	1	43										5	
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	44										5	
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	45											
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	46	mir	was									
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	47	in's	es									
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	48	Ge-	mir									
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	49										4	
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	50										4	
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	51										4	
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	52											
6	6	10	10	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	53										5	
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	54										5	
6	6	11	11	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	55										5	
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	56											
7	7	12	12	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	57	-sicht,	sagt,									
7	7	12	12	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	58											
7	7	12	12	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	59											
8	8	14	14	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	60	schüttl'	ha-									
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	61	ich	-be									
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	62	ihn	kei-									
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	63											
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	64	her-	-ne									
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	65											
8	8	14	14	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	66											
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	67											
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	68											
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	69											
8	8	14	14	0.75	0	0	Chord	2/4	3	1	3/16	1/8	3/2	70											
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	71											
8	8	15	15	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	72											
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	73											
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	74	-un-	Oh-									
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	75	-ter.	-ren,									
9	9	16	16	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	76											
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	77											
9	9	16	16	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	78											
9	9	17	17	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	79											
10	10	18	18	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	80										6	
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	81										6	
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	82										6	
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	83											
10	10	19	19	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	84										7	
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	85											
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	86										8	
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	87											
10	10	18	18	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	88											
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	89											
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	90											
10	10	18	18	0.0	0	0	Dynamic	2/4	3	1	0						f								
10	10	18	18	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	91											
10	10	19	19	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	92											
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	93											
11	11	20	20	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	94				articAccentAbove							
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	95				articAccentAbove							
11	11	20	20	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	96											
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	97											
11	11	20	20	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	98											
11	11	21	21	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	99											
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	100	Wenn	füh-									
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	101	mein	-le									
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	102	Herz	nicht									
12	12	23	23	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	103											
12	12	22	22	0.0	0	0	Dynamic	2/4	2	1	0						p								
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	104											
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	105										9	
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	106										9	
12	12	22	22	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	107											
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16	1/16	1	108										10	
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	109										10	
13	13	24	24	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	110											
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	111	im	was									
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	112	Bu-	es									
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	113	-sen	mir									
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	114										9	
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	115										9	
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	116										9	
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	117											
13	13	24	24	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	118										10	
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	119										10	
13	13	25	25	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	120										10	
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	121											
14	14	26	26	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	122	spricht,	klagt,									
14	14	26	26	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	123											
14	14	26	26	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	124											
15	15	28	28	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	125	sing'	kla-									
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	126	ich	-gen									
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	127	hell	ist									
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	128											
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	129	und	für									
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	130											
15	15	28	28	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	131											
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	132											
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	133											
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	134											
15	15	28	28	0.75	0	0	Chord	2/4	3	1	3/16	1/8	3/2	135											
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	136											
15	15	29	29	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	137											
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	138											
16	16	30	30	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	139	mun-	Tho-									
16	16	31	31	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	140	-ter	-ren.									
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	141											
16	16	31	31	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	142											
16	16	30	30	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	143											
16	16	31	31	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	144											
17	17	32	32	0.0	0	0	Dynamic	2/4	2	1	0						f								
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	145										11	
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	146										11	
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	147										11	
17	17	33	33	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	148										11	
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	149										11	
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	150										11	
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	151											
17	17	32	32	0.75	0	0	Chord	2/4	3	1	3/16	1/8	3/2	152											
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	153											
17	17	33	33	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	154											
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	155											
18	18	34	34	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	156											
18	18	35	35	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	157											
18	18	34	34	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	158											
18	18	35	35	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	159											
19	19	36	36	0.0	0	0	Dynamic	2/4	1	1	0						mf								
19	19	36	36	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	160	Lus-										
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	161	-tig										
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	162	in										
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	163	die										
19	19	36	36	0.0	0	0	Dynamic	2/4	2	1	0						mf								
19	19	36	36	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	164											
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	165											
19	19	37	37	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	166											
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	167				articStaccatoBelow							
19	19	36	36	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	168											
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	169				articStaccatoAbove							
20	20	38	38	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	170	Welt										
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	171	hin-										
20	20	39	39	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	172	-ein										
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	173											
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	174											
20	20	39	39	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	175											
20	20	38	38	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	176				articStaccatoBelow							
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	177				articStaccatoBelow							
20	20	39	39	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	178				articAccentBelow							
20	20	38	38	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	179				articStaccatoAbove							
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	180				articStaccatoAbove							
20	20	39	39	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	181											
21	21	40	40	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	182	ge-										
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	183											
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	184	-gen										
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	185											
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	186	Wind										
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	187											
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	188	und										
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	189											
21	21	40	40	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	190											
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	191											
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	192											
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	193											
21	21	40	40	0.75	0	0	Chord	2/4	3	1	3/16	1/8	3/2	194											
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	195											
21	21	41	41	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	196											
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	197											
22	22	42	42	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	198	Wet-										
22	22	43	43	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	199	-ter!										
22	22	42	42	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	200											
22	22	43	43	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	201											
22	22	42	42	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	202											
22	22	43	43	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	203											
23	23	44	44	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	204											
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	205											
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	206											
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	207											
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	208											
23	23	44	44	0.0	0	0	Dynamic	2/4	3	1	0						f								
23	23	44	44	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	209											
23	23	45	45	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	210											
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	211											
24	24	46	46	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	212				articAccentBelow							
24	24	47	47	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	213				articAccentBelow							
24	24	46	46	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	214											
24	24	47	47	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	215											
25	25	48	48	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	216	will										
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	217	kein										
25	25	49	49	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	218	Gott										
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	219	auf										
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	220											
25	25	48	48	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	221											
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	222											
25	25	49	49	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	223											
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	224				articStaccatoBelow							
25	25	48	48	0.0	0	0	Dynamic	2/4	3	1	0						mf								
25	25	48	48	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	225											
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	226				articStaccatoAbove							
26	26	50	50	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	227	Er-										
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	228	-den										
26	26	51	51	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	229	sein,										
26	26	50	50	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	230											
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	231											
26	26	51	51	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	232											
26	26	50	50	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	233				articStaccatoBelow							
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	234				articStaccatoBelow							
26	26	51	51	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	235											
26	26	50	50	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	236				articStaccatoAbove							
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	237				articStaccatoAbove							
26	26	51	51	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	238											
27	27	52	52	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	239	sind										
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	240	wir										
27	27	53	53	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	241	sel-										
27	27	213/4	213/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	242											
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	243	-ber										
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	244											
27	27	52	52	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	245											
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	246											
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	247											
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	248											
27	27	52	52	0.75	0	0	Chord	2/4	3	1	3/16	1/8	3/2	249											
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	250											
27	27	53	53	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	251											
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	252											
28	28	54	54	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	253	Göt-										
28	28	55	55	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	254	-ter!										
28	28	54	54	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	255											
28	28	55	55	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	256											
28	28	54	54	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	257											
28	28	55	55	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	258											
29	29	56	56	0.0	0	0	Dynamic	2/4	2	1	0						f								
29	29	56	56	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	259										12	
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	260										12	
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	261										12	
29	29	57	57	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	262										12	
29	29	229/4	229/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	263										12	
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	264										12	
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	265											
29	29	56	56	0.75	0	0	Chord	2/4	3	1	3/16	1/8	3/2	266											
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	267											
29	29	57	57	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	268											
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	269											
30	30	58	58	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	270				articAccentBelow							
30	30	59	59	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	271				articAccentBelow							
30	30	58	58	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	272											
30	30	59	59	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	273											
31	31	60	60	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	274	Lus-										
