mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	1.0		
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	0											
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	1										0	
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	2										0	
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	3				articAccentAbove							
1	1	0	0	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	4				articStaccatoBelow							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	5				articStaccatoBelow							
1	1	0	0	0.0	0	0	Dynamic	2/4	3	1	0						f								
1	1	0	0	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	6				articStaccatoBelow							
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16	1/16	1	7										1	
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	8										1	
1	1	1	1	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	9											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	10				articStaccatoAbove							
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	11											
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	12										2	
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	13										2	
2	2	3	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	14				articAccentAbove							
2	2	2	2	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	15				articStaccatoBelow							
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	16				articStaccatoBelow							
2	2	2	2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	17				articStaccatoAbove							
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16	1/16	1	18										3	
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	19										3	
2	2	3	3	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	20											
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	21				articStaccatoAbove							
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	22											
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	23											
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	24											
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	25											
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	26											
3	3	4	4	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	27				articStaccatoAbove							
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	28				articStaccatoAbove							
3	3	5	5	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	29				articStaccatoBelow							
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	30				articStaccatoBelow							
