mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	1.0			
1	1	0	0	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	0			articAccentBelow						0		
1	1	1/2	1/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	1											
1	1	0	0	0.0	0	0	Dynamic	3/8	3	1	0						p									
1	1	0	0	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	2									1		
1	1	1/2	1/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	3											
2	2	3/2	3/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	4			articAccentBelow						2		
2	2	2	2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	5											
2	2	3/2	3/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	6									3		
2	2	2	2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	7											
3	3	3	3	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	8			articStaccatoAbove						4		
3	3	19/6	19/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	9			articStaccatoAbove						4		
3	3	10/3	10/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	10			articStaccatoAbove								
3	3	7/2	7/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	11			articStaccatoAbove						5		
3	3	11/3	11/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	12			articStaccatoAbove						5		
3	3	23/6	23/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	13			articStaccatoAbove								
3	3	4	4	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	14			articStaccatoAbove						6		
3	3	25/6	25/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	15			articStaccatoAbove						6		
3	3	13/3	13/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	16			articStaccatoAbove								
3	3	3	3	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	17											
