mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥=43	43.0	𝅘𝅥	43.0	0.0					
1	1	1/2	1/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0						pp												
1	1	1/2	1/2	0.0	1/8	1/8	StaffText	2/4	2	1	0								staccato										
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	0														
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1														
1	1	0	0	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	2														
1	1	1	1	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	3														
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4														
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	5														
2	2	2	2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	6														
2	2	3	3	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	7														
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	8														
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	9														
3	3	4	4	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	10														
3	3	5	5	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	11														
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	12														
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	13														
4	4	6	6	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	14														
4	4	7	7	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	15														
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	16	"<font face=""Times New Roman""/>Der"													
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	17	"<font face=""Times New Roman""/>du"													
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	18	"<font face=""Times New Roman""/>so"													
5	5	9	9	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	19	"<font face=""Times New Roman""/>lu-"													
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	20	"-<font face=""Times New Roman""/>stig"													
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	21														
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	22														
5	5	8	8	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	23														
5	5	9	9	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	24														
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	25	"<font face=""Times New Roman""/>rausch-"													
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	26	"-<font face=""Times New Roman""/>test,"													
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	27	"<font face=""Times New Roman""/>du"													
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	28														
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	29														
6	6	10	10	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	30														
