mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=30	30.0	𝅘𝅥	30.0	1.0				
1	1	0	0	0.0	0	0	Dynamic	4/4	2	1	0						pp											
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	0			articAccentStaccatoBelow							0			
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	1			articStaccatoBelow							0			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	2			articStaccatoBelow										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	3			articAccentStaccatoBelow							1			
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	4			articStaccatoBelow							1			
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	5			articStaccatoBelow										
1	1	0	0	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	6			articStaccatoBelow							2			
1	1	1	1	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	7			articStaccatoBelow							2			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	8			articStaccatoBelow										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	9			articStaccatoBelow							3			
1	1	3	3	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	10			articStaccatoBelow							3			
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	11			articStaccatoBelow										
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	12										4			
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	13										4			
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	14													
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	15										5			
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	16													
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	17													
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	18													
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	19													
2	2	6	6	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	20													
3	3	8	8	0.0	0	0	StaffText	4/4	2	1	0								cresc.									
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	21			articAccentBelow							6			
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	22										6			
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	23													
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	24			articAccentBelow							7			
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	25										7			
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	26													
3	3	8	8	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	27													
3	3	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	28													
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	29													
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	30													
3	3	11	11	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	31													
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	32													
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	33										8			
4	4	25/2	25/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														8		0	
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	34										8		0	
