mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.25	-3	3/4	1/16	11/16		1			firstMeasure	2
2	1	1/4	3.0	-3	3/4	3/4	0						3
3	2	13/4	3.0	-3	3/4	3/4	0						4
4	3	25/4	3.0	-3	3/4	3/4	0						5
5	4	37/4	3.0	-3	3/4	3/4	0						6
6	5	49/4	3.0	-3	3/4	3/4	0						7
7	6	61/4	3.0	-3	3/4	3/4	0						8
8	7	73/4	3.0	-3	3/4	3/4	0						9
9	8	85/4	3.0	-3	3/4	3/4	0						10
10	9	97/4	3.0	-3	3/4	3/4	0						11
11	10	109/4	3.0	-3	3/4	3/4	0						12
12	11	121/4	3.0	-3	3/4	3/4	0						13
13	12	133/4	3.0	-3	3/4	3/4	0						14
14	13	145/4	3.0	-3	3/4	3/4	0						15
15	14	157/4	3.0	-3	3/4	3/4	0						16
16	15	169/4	3.0	-3	3/4	3/4	0						17
17	16	181/4	3.0	-3	3/4	3/4	0						18
18	17	193/4	3.0	-3	3/4	3/4	0						19
19	18	205/4	3.0	-3	3/4	3/4	0						20
20	19	217/4	3.0	-3	3/4	3/4	0						21
21	20	229/4	3.0	-3	3/4	3/4	0						22
22	21	241/4	3.0	-3	3/4	3/4	0						23
23	22	253/4	3.0	-3	3/4	3/4	0						24
24	23	265/4	3.0	-3	3/4	3/4	0						25
25	24	277/4	3.0	-3	3/4	3/4	0						26
26	25	289/4	3.0	-3	3/4	3/4	0						27
27	26	301/4	3.0	-3	3/4	3/4	0						28
28	27	313/4	3.0	-3	3/4	3/4	0						29
29	28	325/4	3.0	-3	3/4	3/4	0						30
30	29	337/4	3.0	-3	3/4	3/4	0						31
31	30	349/4	3.0	-3	3/4	3/4	0						32
32	31	361/4	3.0	-3	3/4	3/4	0						33
33	32	373/4	3.0	-3	3/4	3/4	0						34
34	33	385/4	3.0	-3	3/4	3/4	0						35
35	34	397/4	3.0	-3	3/4	3/4	0						36
36	35	409/4	3.0	-3	3/4	3/4	0						37
37	36	421/4	3.0	-3	3/4	3/4	0						38
38	37	433/4	3.0	-3	3/4	3/4	0						39
39	38	445/4	3.0	-3	3/4	3/4	0						40
40	39	457/4	3.0	-3	3/4	3/4	0						41
41	40	469/4	3.0	-3	3/4	3/4	0						42
42	41	481/4	3.0	-3	3/4	3/4	0						43
43	42	493/4	3.0	-3	3/4	3/4	0						44
44	43	505/4	3.0	-3	3/4	3/4	0						45
45	44	517/4	3.0	-3	3/4	3/4	0			end		lastMeasure	-1
