mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-1	4/4	1	0	3	firstMeasure					2
2	2	-1	4/4	1	0	3						3
3	3	-1	4/4	1	0	3						4
4	4	-1	4/4	1	0	5						5
5	5	-1	4/4	1	0	4						6
6	6	-1	4/4	1	0	3						7
7	7	-1	4/4	1	0	3						8
8	8	-1	4/4	1	0	3						9
9	9	-1	4/4	1	0	3						10
10	10	-1	4/4	1	0	3						11
11	11	-1	4/4	1	0	5						12
12	12	-1	4/4	1	0	5						13
13	13	-1	4/4	1	0	6						14
14	14	-1	4/4	1	0	6						15
15	15	-1	4/4	1	0	4						16
16	16	-1	4/4	1	0	3						17
17	17	-1	4/4	1	0	4						18
18	18	-1	4/4	1	0	5						19
19	19	-1	4/4	1	0	5						20
20	20	-1	4/4	1	0	5						21
21	21	-1	4/4	1	0	4						22
22	22	-1	4/4	1	0	3						23
23	23	-1	4/4	1	0	3						24
24	24	-1	4/4	1	0	3						25
25	25	-1	4/4	1	0	3						26
26	26	-1	4/4	1	0	3						27
27	27	-1	4/4	1	0	3						28
28	28	-1	4/4	1	0	3						29
29	29	-1	4/4	1	0	3						30
30	30	-1	4/4	1	0	5						31
31	31	-1	4/4	1	0	3						32
32	32	-1	4/4	1	0	3	lastMeasure		end			-1
