mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	1.0	0	0	4/4	1	1	0	.F.I[I	dcml
1	1	1	0.5	1/4	1/4	4/4	1	1	0	V2	dcml
1	1	3/2	1.5	3/8	3/8	4/4	1	1	0	I	dcml
1	1	3	0.5	3/4	3/4	4/4	1	1	0	V2	dcml
1	1	7/2	0.5	7/8	7/8	4/4	1	1	0	I]	dcml
2	2	4	1.0	0	0	4/4	1	1	0	V	dcml
2	2	5	2.0	1/4	1/4	4/4	1	1	0	V(64)	dcml
2	2	7	1.0	3/4	3/4	4/4	1	1	0	V	dcml
3	3	8	1.0	0	0	4/4	1	1	0	I[I	dcml
3	3	9	0.5	1/4	1/4	4/4	1	1	0	V2	dcml
3	3	19/2	0.5	3/8	3/8	4/4	1	1	0	I	dcml
3	3	10	1.0	1/2	1/2	4/4	1	1	0	V7/IV	dcml
3	3	11	0.5	3/4	3/4	4/4	1	1	0	V7(94)/IV	dcml
3	3	23/2	0.5	7/8	7/8	4/4	1	1	0	V7/IV]	dcml
4	4	12	0.5	0	0	4/4	1	1	0	IV[IV(4)	dcml
4	4	25/2	0.5	1/8	1/8	4/4	1	1	0	IV	dcml
4	4	13	0.5	1/4	1/4	4/4	1	1	0	#viio2/ii	dcml
4	4	27/2	0.5	3/8	3/8	4/4	1	1	0	ii6]	dcml
4	4	14	1.0	1/2	1/2	4/4	1	1	0	V(64)	dcml
4	4	15	1.0	3/4	3/4	4/4	1	1	0	#viio7/vi	dcml
5	5	16	1.0	0	0	4/4	1	1	0	vi	dcml
5	5	17	1.0	1/4	1/4	4/4	1	1	0	V/vi	dcml
5	5	18	2.0	1/2	1/2	4/4	1	1	0	V7	dcml
6	6	20	1.0	0	0	4/4	1	1	0	I	dcml
6	6	21	0.5	1/4	1/4	4/4	1	1	0	IV64	dcml
6	6	43/2	0.5	3/8	3/8	4/4	1	1	0	I	dcml
6	6	22	1.0	1/2	1/2	4/4	1	1	0	V(64)	dcml
6	6	23	0.5	3/4	3/4	4/4	1	1	0	V	dcml
6	6	47/2	0.5	7/8	7/8	4/4	1	1	0	iv/ii	dcml
7	7	24	1.0	0	0	4/4	1	1	0	V(64)/ii	dcml
7	7	25	0.5	1/4	1/4	4/4	1	1	0	V7/ii	dcml
7	7	51/2	0.5	3/8	3/8	4/4	1	1	0	V/ii	dcml
7	7	26	2.0	1/2	1/2	4/4	1	1	0	ii\\	dcml
8	8	28	1.0	0	0	4/4	1	1	0	IV	dcml
8	8	29	0.5	1/4	1/4	4/4	1	1	0	iv	dcml
8	8	59/2	0.5	3/8	3/8	4/4	1	1	0	iio6	dcml
8	8	30	1.0	1/2	1/2	4/4	1	1	0	V(64)	dcml
8	8	31	1.0	3/4	3/4	4/4	1	1	0	V	dcml
9	9	32	0.5	0	0	4/4	1	1	0	V2/IV	dcml
9	9	65/2	0.5	1/8	1/8	4/4	1	1	0	IV6	dcml
9	9	33	0.75	1/4	1/4	4/4	1	1	0	V(64)	dcml
9	9	135/4	0.25	7/16	7/16	4/4	1	1	0	V7	dcml
9	9	34	3.0	1/2	1/2	4/4	1	1	0	I[I\\	dcml
10	10	37	0.5	1/4	1/4	4/4	1	1	0	V2	dcml
10	10	75/2	0.5	3/8	3/8	4/4	1	1	0	I	dcml
10	10	38	1.0	1/2	1/2	4/4	1	1	0	V7/IV	dcml
10	10	39	0.5	3/4	3/4	4/4	1	1	0	V7(94)/IV	dcml
10	10	79/2	0.5	7/8	7/8	4/4	1	1	0	V7/IV]	dcml
11	11	40	0.5	0	0	4/4	1	1	0	IV[IV(4)	dcml
11	11	81/2	0.5	1/8	1/8	4/4	1	1	0	IV	dcml
11	11	41	0.5	1/4	1/4	4/4	1	1	0	#viio2/ii	dcml
11	11	83/2	0.5	3/8	3/8	4/4	1	1	0	ii6]	dcml
11	11	42	1.0	1/2	1/2	4/4	1	1	0	V(64)	dcml
11	11	43	1.0	3/4	3/4	4/4	1	1	0	V	dcml
12	12	44	1.0	0	0	4/4	1	1	0	I	dcml
12	12	45	0.5	1/4	1/4	4/4	1	1	0	IV64	dcml
12	12	91/2	0.5	3/8	3/8	4/4	1	1	0	I	dcml
12	12	46	1.0	1/2	1/2	4/4	1	1	0	V(64)	dcml
12	12	47	0.5	3/4	3/4	4/4	1	1	0	V	dcml
12	12	95/2	0.5	7/8	7/8	4/4	1	1	0	iv/ii	dcml
13	13	48	1.0	0	0	4/4	1	1	0	V(64)/ii	dcml
13	13	49	0.5	1/4	1/4	4/4	1	1	0	V//ii	
13	13	99/2	0.5	3/8	3/8	4/4	1	1	0	V/ii	dcml
13	13	50	2.0	1/2	1/2	4/4	1	1	0	ii\\	dcml
14	14	52	1.5	0	0	4/4	1	1	0	IV	dcml
14	14	107/2	0.5	3/8	3/8	4/4	1	1	0	iio6	dcml
14	14	54	1.0	1/2	1/2	4/4	1	1	0	V(64)	dcml
14	14	55	1.0	3/4	3/4	4/4	1	1	0	V	dcml
15	15	56	0.5	0	0	4/4	1	1	0	V2/IV	dcml
15	15	113/2	0.5	1/8	1/8	4/4	1	1	0	IV6	dcml
15	15	57	0.75	1/4	1/4	4/4	1	1	0	V(64)	dcml
15	15	231/4	0.25	7/16	7/16	4/4	1	1	0	V7	dcml
15	15	58	3.0	1/2	1/2	4/4	1	1	0	I[I\\	dcml
16	16	61	0.5	1/4	1/4	4/4	1	1	0	V2	dcml
16	16	123/2	0.5	3/8	3/8	4/4	1	1	0	I	dcml
16	16	62	1.0	1/2	1/2	4/4	1	1	0	V7/IV	dcml
16	16	63	0.5	3/4	3/4	4/4	1	1	0	V7(94)/IV	dcml
16	16	127/2	0.5	7/8	7/8	4/4	1	1	0	V7/IV]	dcml
17	17	64	0.5	0	0	4/4	1	1	0	IV[IV(4)	dcml
17	17	129/2	0.5	1/8	1/8	4/4	1	1	0	IV	dcml
17	17	65	0.5	1/4	1/4	4/4	1	1	0	#viio2/ii	dcml
17	17	131/2	0.5	3/8	3/8	4/4	1	1	0	ii6]	dcml
17	17	66	1.0	1/2	1/2	4/4	1	1	0	V(64)	dcml
17	17	67	0.5	3/4	3/4	4/4	1	1	0	V	dcml
17	17	135/2	2.5	7/8	7/8	4/4	1	1	0	I[V7/IV	dcml
18	18	70	0.5	1/2	1/2	4/4	1	1	0	IV(4)	dcml
18	18	141/2	1.0	5/8	5/8	4/4	1	1	0	IV	dcml
18	18	143/2	0.5	7/8	7/8	4/4	1	1	0	vii%65	dcml
19	19	72	0.75	0	0	4/4	1	1	0	I(6)	dcml
19	19	291/4	0.75	3/16	3/16	4/4	1	1	0	I]	dcml
19	19	147/2	0.5	3/8	3/8	4/4	1	1	0	I6	dcml
19	19	74	1.5	1/2	1/2	4/4	1	1	0	V	dcml
19	19	151/2	1.5	7/8	7/8	4/4	1	1	0	I[V7/IV	dcml
20	20	77	0.5	1/4	1/4	4/4	1	1	0	viio43/IV	dcml
20	20	155/2	0.5	3/8	3/8	4/4	1	1	0	V7/IV	dcml
20	20	78	0.5	1/2	1/2	4/4	1	1	0	IV6(9)	dcml
20	20	157/2	1.0	5/8	5/8	4/4	1	1	0	IV6	dcml
20	20	159/2	0.5	7/8	7/8	4/4	1	1	0	viio7	dcml
21	21	80	0.75	0	0	4/4	1	1	0	I(b6)	dcml
21	21	323/4	0.75	3/16	3/16	4/4	1	1	0	I]	dcml
21	21	163/2	0.5	3/8	3/8	4/4	1	1	0	I6	dcml
21	21	82	2.0	1/2	1/2	4/4	1	1	0	V	dcml
22	22	84	1.5	0	0	4/4	1	1	0	V65/V	dcml
22	22	171/2	0.5	3/8	3/8	4/4	1	1	0	viio7/V	dcml
22	22	86	1.0	1/2	1/2	4/4	1	1	0	V(b64)	dcml
22	22	87	1.0	3/4	3/4	4/4	1	1	0	V	dcml
23	23	88	1.0	0	0	4/4	1	1	0	i	dcml
23	23	89	0.5	1/4	1/4	4/4	1	1	0	iv64	dcml
23	23	179/2	0.5	3/8	3/8	4/4	1	1	0	i	dcml
23	23	90	1.0	1/2	1/2	4/4	1	1	0	V(b64)	dcml
23	23	91	0.5	3/4	3/4	4/4	1	1	0	V	dcml
23	23	183/2	0.5	7/8	7/8	4/4	1	1	0	i	dcml
24	24	92	1.0	0	0	4/4	1	1	0	V7/bIII	dcml
24	24	93	0.5	1/4	1/4	4/4	1	1	0	V(6)/bIII	dcml
24	24	187/2	0.5	3/8	3/8	4/4	1	1	0	V+/bIII	dcml
24	24	94	2.0	1/2	1/2	4/4	1	1	0	.bIII	dcml
25	25	96	1.0	0	0	4/4	1	1	0	v	dcml
25	25	97	0.5	1/4	1/4	4/4	1	1	0	.bIII	dcml
25	25	195/2	0.5	3/8	3/8	4/4	1	1	0	iio6/V	dcml
25	25	98	1.0	1/2	1/2	4/4	1	1	0	V(b64)/V	dcml
25	25	99	0.5	3/4	3/4	4/4	1	1	0	V/V	dcml
25	25	199/2	0.5	7/8	7/8	4/4	1	1	0	V6	dcml
26	26	100	0.5	0	0	4/4	1	1	0	I	dcml
26	26	201/2	0.5	1/8	1/8	4/4	1	1	0	IV6	dcml
26	26	101	0.75	1/4	1/4	4/4	1	1	0	V(64)	dcml
26	26	407/4	0.25	7/16	7/16	4/4	1	1	0	V7	dcml
26	26	102	0.5	1/2	1/2	4/4	1	1	0	I\\	dcml
26	26	205/2	0.5	5/8	5/8	4/4	1	1	0	i	dcml
26	26	103	0.5	3/4	3/4	4/4	1	1	0	v6	dcml
26	26	207/2	0.5	7/8	7/8	4/4	1	1	0	V43/v	dcml
27	27	104	1.0	0	0	4/4	1	1	0	v	dcml
27	27	105	0.5	1/4	1/4	4/4	1	1	0	.bIII	dcml
27	27	211/2	0.5	3/8	3/8	4/4	1	1	0	iio6/V	dcml
27	27	106	1.0	1/2	1/2	4/4	1	1	0	V(b64)/V	dcml
27	27	107	0.5	3/4	3/4	4/4	1	1	0	V/V	dcml
27	27	215/2	0.5	7/8	7/8	4/4	1	1	0	V6	dcml
28	28	108	0.5	0	0	4/4	1	1	0	I	dcml
28	28	217/2	0.5	1/8	1/8	4/4	1	1	0	#viio65/ii	dcml
28	28	109	0.5	1/4	1/4	4/4	1	1	0	ii6	dcml
28	28	219/2	0.5	3/8	3/8	4/4	1	1	0	V7	dcml
28	28	110	3.0	1/2	1/2	4/4	1	1	0	I[I\\	dcml
29	29	113	0.5	1/4	1/4	4/4	1	1	0	V2	dcml
29	29	227/2	0.5	3/8	3/8	4/4	1	1	0	I	dcml
29	29	114	1.0	1/2	1/2	4/4	1	1	0	V7/IV	dcml
29	29	115	0.5	3/4	3/4	4/4	1	1	0	V7(94)/IV	dcml
29	29	231/2	0.5	7/8	7/8	4/4	1	1	0	V7/IV]	dcml
30	30	116	0.5	0	0	4/4	1	1	0	IV[IV(4)	dcml
30	30	233/2	0.5	1/8	1/8	4/4	1	1	0	IV	dcml
30	30	117	0.5	1/4	1/4	4/4	1	1	0	#viio2/ii	dcml
30	30	235/2	0.5	3/8	3/8	4/4	1	1	0	ii6]	dcml
30	30	118	1.0	1/2	1/2	4/4	1	1	0	V(64)	dcml
30	30	119	1.0	3/4	3/4	4/4	1	1	0	V7	dcml
31	31	120	8.0	0	0	4/4	1	1	0	I\\	dcml
