mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	1.0	0	0	3/4	1	1	0	.f#.i	dcml
1	1	1	2.0	1/4	1/4	3/4	1	1	0	V43	dcml
2	2	3	1.0	0	0	3/4	1	1	0	i	dcml
2	2	4	2.0	1/4	1/4	3/4	1	1	0	V43	dcml
3	3	6	1.0	0	0	3/4	1	1	0	i	dcml
3	3	7	1.0	1/4	1/4	3/4	1	1	0	V(64)	dcml
3	3	8	1.0	1/2	1/2	3/4	1	1	0	V7	dcml
4	4	9	9.0	0	0	3/4	1	1	0	i\\	dcml
7	7	18	2.0	0	0	3/4	1	1	0	V	dcml
7	7	20	1.0	1/2	1/2	3/4	1	1	0	V7	dcml
8	8	21	9.0	0	0	3/4	1	1	0	i\\	dcml
11	11	30	2.0	0	0	3/4	1	1	0	V(64)	dcml
11	11	32	1.0	1/2	1/2	3/4	1	1	0	V7	dcml
12	12	33	1.0	0	0	3/4	1	1	0	V65/iv	dcml
12	12	34	2.0	1/4	1/4	3/4	1	1	0	#viio7/iv	dcml
13	13	36	1.0	0	0	3/4	1	1	0	iv	dcml
13	13	37	1.0	1/4	1/4	3/4	1	1	0	V(64)	dcml
13	13	38	1.0	1/2	1/2	3/4	1	1	0	V7	dcml
14	14	39	4.0	0	0	3/4	1	1	0	i\\	dcml
15	15	43	2.0	1/4	1/4	3/4	1	1	0	V43	dcml
16	16	45	1.0	0	0	3/4	1	1	0	i	dcml
16	16	46	2.0	1/4	1/4	3/4	1	1	0	V43	dcml
17	17	48	1.0	0	0	3/4	1	1	0	i	dcml
17	17	49	1.0	1/4	1/4	3/4	1	1	0	III.V(64)	dcml
17	17	50	1.0	1/2	1/2	3/4	1	1	0	V7	dcml
18	18	51	3.0	0	0	3/4	1	1	0	I\\	dcml
19	19	54	6.0	0	0	3/4	1	1	0	viio2	dcml
21	21	60	3.0	0	0	3/4	1	1	0	V(64)	dcml
22	22	63	3.0	0	0	3/4	1	1	0	V	dcml
23	23	66	6.0	0	0	3/4	1	1	0	viio2	dcml
25	25	72	2.0	0	0	3/4	1	1	0	V(64)	dcml
25	25	74	0.6666666666666714	1/2	1/2	3/4	1	1	0	viio2	dcml
25	25	224/3	0.3333333333333286	2/3	2/3	3/4	1	1	0	V7	dcml
26	26	75	3.0	0	0	3/4	1	1	0	I\\	dcml
27	27	78	2.0	0	0	3/4	1	1	0	i.V(64)	dcml
27	27	80	1.0	1/2	1/2	3/4	1	1	0	V7	dcml
28	28	81	4.0	0	0	3/4	1	1	0	i\\	dcml
29	29	85	2.0	1/4	1/4	3/4	1	1	0	V43	dcml
30	30	87	1.0	0	0	3/4	1	1	0	i	dcml
30	30	88	2.0	1/4	1/4	3/4	1	1	0	V43	dcml
31	31	90	1.0	0	0	3/4	1	1	0	i	dcml
31	31	91	1.0	1/4	1/4	3/4	1	1	0	V(64)	dcml
31	31	92	1.0	1/2	1/2	3/4	1	1	0	V7	dcml
32	32	93	3.0	0	0	3/4	1	1	0	i\\	dcml
