mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	18.0	0	0	6/8	1	1	0	.Eb.I[I	dcml
7	7	18	1.5	0	0	6/8	1	1	0	V2	dcml
7	7	39/2	1.5	3/8	3/8	6/8	1	1	0	I	dcml
8	8	21	1.5	0	0	6/8	1	1	0	V2	dcml
8	8	45/2	1.5	3/8	3/8	6/8	1	1	0	I]	dcml
9	9	24	1.5	0	0	6/8	1	1	0	V	dcml
9	9	51/2	1.5	3/8	3/8	6/8	1	1	0	I	dcml
10	10	27	1.5	0	0	6/8	1	1	0	V	dcml
10	10	57/2	1.5	3/8	3/8	6/8	1	1	0	I	dcml
11	11	30	1.5	0	0	6/8	1	1	0	V	dcml
11	11	63/2	1.5	3/8	3/8	6/8	1	1	0	I	dcml
12	12	33	1.5	0	0	6/8	1	1	0	V	dcml
12	12	69/2	1.5	3/8	3/8	6/8	1	1	0	V7/IV	dcml
13	13	36	6.0	0	0	6/8	1	1	0	V7/bVII	dcml
15	15	42	6.0	0	0	6/8	1	1	0	.bVII	dcml
17	17	48	3.0	0	0	6/8	1	1	0	V43/V	dcml
18	18	51	3.0	0	0	6/8	1	1	0	.Ger6	dcml
19	19	54	3.0	0	0	6/8	1	1	0	V(64)	dcml
20	20	57	1.0	0	0	6/8	1	1	0	V(964)	dcml
20	20	58	3.5	1/4	1/4	6/8	1	1	0	V(64)	dcml
21	21	123/2	1.0	3/8	3/8	6/8	1	1	0	#viio43/ii	dcml
21	21	125/2	0.5	5/8	5/8	6/8	1	1	0	V2/ii	dcml
22	22	63	1.5	0	0	6/8	1	1	0	V7(9)	dcml
22	22	129/2	1.5	3/8	3/8	6/8	1	1	0	V7(964)	dcml
23	23	66	1.0	0	0	6/8	1	1	0	V7(9)	dcml
23	23	67	0.5	1/4	1/4	6/8	1	1	0	V7	dcml
23	23	135/2	1.0	3/8	3/8	6/8	1	1	0	V7(9)	dcml
23	23	137/2	0.5	5/8	5/8	6/8	1	1	0	V7	dcml
24	24	69	9.0	0	0	6/8	1	1	0	I\\	dcml
27	27	78	8.5	0	0	6/8	1	1	0	.bIII.vi	dcml
29	29	173/2	0.5	5/8	5/8	6/8	1	1	0	vii%7/V	dcml
30	30	87	4.5	0	0	6/8	1	1	0	V	dcml
31	31	183/2	1.5	3/8	3/8	6/8	1	1	0	.Fr6	dcml
32	32	93	1.5	0	0	6/8	1	1	0	V(4)	dcml
32	32	189/2	1.0	3/8	3/8	6/8	1	1	0	V	dcml
32	32	191/2	0.5	5/8	5/8	6/8	1	1	0	V7	dcml
33	33	96	3.0	0	0	6/8	1	1	0	I\\	dcml
34	34	99	3.0	0	0	6/8	1	1	0	I(6#4#2)	dcml
35	35	102	3.0	0	0	6/8	1	1	0	I	dcml
36	36	105	3.0	0	0	6/8	1	1	0	I(6#4#2)	dcml
37	37	108	2.5	0	0	6/8	1	1	0	I	dcml
37	37	221/2	1.5	5/8	5/8	6/8	1	1	0	I.V[V7	dcml
38	38	112	0.5	1/4	1/4	6/8	1	1	0	V7(b9)	dcml
38	38	225/2	1.0	3/8	3/8	6/8	1	1	0	V7	dcml
38	38	227/2	0.5	5/8	5/8	6/8	1	1	0	V7(b9)	dcml
39	39	114	3.0	0	0	6/8	1	1	0	V(64)	dcml
40	40	117	3.0	0	0	6/8	1	1	0	V7	dcml
41	41	120	3.0	0	0	6/8	1	1	0	V(64)	dcml
42	42	123	1.0	0	0	6/8	1	1	0	V7	dcml
42	42	124	0.5	1/4	1/4	6/8	1	1	0	V7(9)	dcml
42	42	249/2	1.0	3/8	3/8	6/8	1	1	0	V7	dcml
42	42	251/2	0.5	5/8	5/8	6/8	1	1	0	V7(9)	dcml
43	43	126	3.0	0	0	6/8	1	1	0	V(64)	dcml
44	44	129	3.0	0	0	6/8	1	1	0	V7/V	dcml
45	45	132	3.0	0	0	6/8	1	1	0	V7]	dcml
46	46	135	18.0	0	0	6/8	1	1	0	I[I\\	dcml
52	52	153	1.5	0	0	6/8	1	1	0	V2	dcml
