mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	1.0	0	0	4/4	1	1	0	.d.i	dcml
1	1	1	1.0	1/4	1/4	4/4	1	1	0	V64	dcml
1	1	2	1.0	1/2	1/2	4/4	1	1	0	#viio/iv	dcml
1	1	3	1.0	3/4	3/4	4/4	1	1	0	iv	dcml
2	2	4	2.0	0	0	4/4	1	1	0	viio7/V	dcml
2	2	6	2.5	1/2	1/2	4/4	1	1	0	viio65/V	dcml
3	3	17/2	0.5	1/8	1/8	4/4	1	1	0	VI	dcml
3	3	9	1.0	1/4	1/4	4/4	1	1	0	V	dcml
3	3	10	8.0	1/2	1/2	4/4	1	1	0	i\\	dcml
5	5	18	2.0	1/2	1/2	4/4	1	1	0	V	dcml
6	6	20	3.0	0	0	4/4	1	1	0	viio7	dcml
6	6	23	1.0	3/4	3/4	4/4	1	1	0	V6	dcml
7	7	24	1.0	0	0	4/4	1	1	0	i	dcml
7	7	25	1.0	1/4	1/4	4/4	1	1	0	V64	dcml
7	7	26	1.0	1/2	1/2	4/4	1	1	0	#viio7/iv	dcml
7	7	27	1.0	3/4	3/4	4/4	1	1	0	iv6	dcml
8	8	28	1.0	0	0	4/4	1	1	0	viio/V	dcml
8	8	29	1.0	1/4	1/4	4/4	1	1	0	V	dcml
8	8	30	0.5	1/2	1/2	4/4	1	1	0	i	dcml
8	8	61/2	0.5	5/8	5/8	4/4	1	1	0	viio7/V	dcml
8	8	31	0.5	3/4	3/4	4/4	1	1	0	viio65/V	dcml
8	8	63/2	0.5	7/8	7/8	4/4	1	1	0	viio43/V	dcml
9	9	32	0.5	0	0	4/4	1	1	0	viio2/V	dcml
9	9	65/2	0.5	1/8	1/8	4/4	1	1	0	viio7/V	dcml
9	9	33	1.0	1/4	1/4	4/4	1	1	0	V	dcml
9	9	34	1.5	1/2	1/2	4/4	1	1	0	i\\	dcml
9	9	71/2	2.0	7/8	7/8	4/4	1	1	0	VI.I[I	dcml
10	10	75/2	0.5	3/8	3/8	4/4	1	1	0	viio2	dcml
10	10	38	1.5	1/2	1/2	4/4	1	1	0	I]	dcml
10	10	79/2	0.5	7/8	7/8	4/4	1	1	0	I6	dcml
11	11	40	0.5	0	0	4/4	1	1	0	IV	dcml
11	11	81/2	0.5	1/8	1/8	4/4	1	1	0	viio6	dcml
11	11	41	0.5	1/4	1/4	4/4	1	1	0	vi	dcml
11	11	83/2	0.5	3/8	3/8	4/4	1	1	0	V7	dcml
11	11	42	3.5	1/2	1/2	4/4	1	1	0	I[I\\	dcml
12	12	91/2	0.5	3/8	3/8	4/4	1	1	0	viio2	dcml
12	12	46	2.0	1/2	1/2	4/4	1	1	0	I]	dcml
13	13	48	0.5	0	0	4/4	1	1	0	V2/IV	dcml
13	13	97/2	0.5	1/8	1/8	4/4	1	1	0	IV6	dcml
13	13	49	0.5	1/4	1/4	4/4	1	1	0	ii%43	dcml
13	13	99/2	0.5	3/8	3/8	4/4	1	1	0	V(6)	dcml
13	13	50	2.0	1/2	1/2	4/4	1	1	0	I\\	dcml
14	14	52	3.0	0	0	4/4	1	1	0	i.#viio7	dcml
14	14	55	1.0	3/4	3/4	4/4	1	1	0	V6	dcml
15	15	56	1.0	0	0	4/4	1	1	0	i	dcml
15	15	57	1.0	1/4	1/4	4/4	1	1	0	V64	dcml
15	15	58	2.0	1/2	1/2	4/4	1	1	0	#viio7/iv	dcml
16	16	60	3.5	0	0	4/4	1	1	0	#viio2/iv	dcml
16	16	127/2	0.5	7/8	7/8	4/4	1	1	0	iv64	dcml
17	17	64	4.0	0	0	4/4	1	1	0	V65	dcml
18	18	68	1.0	0	0	4/4	1	1	0	iv6	dcml
18	18	69	0.5	1/4	1/4	4/4	1	1	0	viio/V	dcml
18	18	139/2	0.5	3/8	3/8	4/4	1	1	0	V	dcml
18	18	70	0.5	1/2	1/2	4/4	1	1	0	i\\	dcml
18	18	141/2	0.5	5/8	5/8	4/4	1	1	0	viio7/V	dcml
18	18	71	0.5	3/4	3/4	4/4	1	1	0	viio65/V	dcml
18	18	143/2	0.5	7/8	7/8	4/4	1	1	0	viio43/V	dcml
19	19	72	0.5	0	0	4/4	1	1	0	viio2/V	dcml
19	19	145/2	0.5	1/8	1/8	4/4	1	1	0	viio7/V	dcml
19	19	73	1.0	1/4	1/4	4/4	1	1	0	V	dcml
19	19	74	2.0	1/2	1/2	4/4	1	1	0	i\\	dcml
